Source	Target	Type	Class	FDR_log
ADIPOQ	ACSL5	Directed	cytokine	11.906578314837764
ADIPOQ	BAX	Directed	cytokine	11.906578314837764
ADIPOQ	BCL3	Directed	cytokine	11.906578314837764
ADIPOQ	CCL2	Directed	cytokine	11.906578314837764
ADIPOQ	CCL20	Directed	cytokine	11.906578314837764
ADIPOQ	CCL5	Directed	cytokine	11.906578314837764
ADIPOQ	CD163	Directed	cytokine	11.906578314837764
ADIPOQ	CDKN1A	Directed	cytokine	11.906578314837764
ADIPOQ	CDKN2A	Directed	cytokine	11.906578314837764
ADIPOQ	CMKLR1	Directed	cytokine	11.906578314837764
ADIPOQ	CXCL1	Directed	cytokine	11.906578314837764
ADIPOQ	CXCL10	Directed	cytokine	11.906578314837764
ADIPOQ	CXCL11	Directed	cytokine	11.906578314837764
ADIPOQ	CXCL3	Directed	cytokine	11.906578314837764
ADIPOQ	CXCL8	Directed	cytokine	11.906578314837764
ADIPOQ	CXCL9	Directed	cytokine	11.906578314837764
ADIPOQ	CYBA	Directed	cytokine	11.906578314837764
ADIPOQ	CYBB	Directed	cytokine	11.906578314837764
ADIPOQ	CYP19A1	Directed	cytokine	11.906578314837764
ADIPOQ	FOXP3	Directed	cytokine	11.906578314837764
ADIPOQ	FZD2	Directed	cytokine	11.906578314837764
ADIPOQ	GK	Directed	cytokine	11.906578314837764
ADIPOQ	GPI	Directed	cytokine	11.906578314837764
ADIPOQ	HBEGF	Directed	cytokine	11.906578314837764
ADIPOQ	ICAM1	Directed	cytokine	11.906578314837764
ADIPOQ	IFNB1	Directed	cytokine	11.906578314837764
ADIPOQ	IFNG	Directed	cytokine	11.906578314837764
ADIPOQ	IL10	Directed	cytokine	11.906578314837764
ADIPOQ	IL12A	Directed	cytokine	11.906578314837764
ADIPOQ	IL12B	Directed	cytokine	11.906578314837764
ADIPOQ	IL13	Directed	cytokine	11.906578314837764
ADIPOQ	IL17A	Directed	cytokine	11.906578314837764
ADIPOQ	IL1B	Directed	cytokine	11.906578314837764
ADIPOQ	IL4	Directed	cytokine	11.906578314837764
ADIPOQ	IL4R	Directed	cytokine	11.906578314837764
ADIPOQ	IL6	Directed	cytokine	11.906578314837764
ADIPOQ	ITGA4	Directed	cytokine	11.906578314837764
ADIPOQ	KLRK1	Directed	cytokine	11.906578314837764
ADIPOQ	LDLR	Directed	cytokine	11.906578314837764
ADIPOQ	MMP1	Directed	cytokine	11.906578314837764
ADIPOQ	MMP13	Directed	cytokine	11.906578314837764
ADIPOQ	MMP3	Directed	cytokine	11.906578314837764
ADIPOQ	MMP9	Directed	cytokine	11.906578314837764
ADIPOQ	MSR1	Directed	cytokine	11.906578314837764
ADIPOQ	NCF1	Directed	cytokine	11.906578314837764
ADIPOQ	NCF2	Directed	cytokine	11.906578314837764
ADIPOQ	NCF4	Directed	cytokine	11.906578314837764
ADIPOQ	NFKBIA	Directed	cytokine	11.906578314837764
ADIPOQ	NOS2	Directed	cytokine	11.906578314837764
ADIPOQ	PGAM1	Directed	cytokine	11.906578314837764
ADIPOQ	PTGS2	Directed	cytokine	11.906578314837764
ADIPOQ	RUNX2	Directed	cytokine	11.906578314837764
ADIPOQ	SIGLEC10	Directed	cytokine	11.906578314837764
ADIPOQ	SLC27A2	Directed	cytokine	11.906578314837764
ADIPOQ	SLC2A3	Directed	cytokine	11.906578314837764
ADIPOQ	SOCS3	Directed	cytokine	11.906578314837764
ADIPOQ	SOD2	Directed	cytokine	11.906578314837764
ADIPOQ	SPI1	Directed	cytokine	11.906578314837764
ADIPOQ	STAT3	Directed	cytokine	11.906578314837764
ADIPOQ	TGFB1	Directed	cytokine	11.906578314837764
ADIPOQ	TIMP1	Directed	cytokine	11.906578314837764
ADIPOQ	TNF	Directed	cytokine	11.906578314837764
ADIPOQ	TNFAIP3	Directed	cytokine	11.906578314837764
ADIPOQ	TNIP3	Directed	cytokine	11.906578314837764
ADIPOQ	TRAF1	Directed	cytokine	11.906578314837764
ADIPOQ	UCP2	Directed	cytokine	11.906578314837764
ADIPOQ	VCAM1	Directed	cytokine	11.906578314837764
ADIPOQ	VEGFC	Directed	cytokine	11.906578314837764
ADIPOQ	WNT1	Directed	cytokine	11.906578314837764
CCL20	C3	Directed	cytokine	12.161780778092375
CCL20	C3AR1	Directed	cytokine	12.161780778092375
CCL20	CASP1	Directed	cytokine	12.161780778092375
CCL20	CCL2	Directed	cytokine	12.161780778092375
CCL20	CCR2	Directed	cytokine	12.161780778092375
CCL20	CLEC7A	Directed	cytokine	12.161780778092375
CCL20	CYBB	Directed	cytokine	12.161780778092375
CCL20	FCER1G	Directed	cytokine	12.161780778092375
