Id	Label	Class	FDR_log
ADIPOQ	ADIPOQ	cytokine	11.906578314837764
CCL20	CCL20	cytokine	12.161780778092375
CCL3	CCL3	cytokine	12.3767507096021
CD40LG	CD40LG	cytokine	107.06803388527183
CSF1	CSF1	cytokine	92.85078088734463
CSF2	CSF2	cytokine	79.95078197732983
CSF3	CSF3	cytokine	35.85387196432176
CXCL12	CXCL12	cytokine	18.497572880015568
EDN1	EDN1	cytokine	16.602059991327963
FGF2	FGF2	cytokine	9.987162775294827
FLT3LG	FLT3LG	cytokine	19.560667306169737
GRN	GRN	cytokine	25.7594507517174
HMGB1	HMGB1	cytokine	24.010995384301463
IFNA10	IFNA10	cytokine	9.705533773838408
IFNA17	IFNA17	cytokine	9.434152181326482
IFNA2	IFNA2	cytokine	99.29499204066667
IFNA4	IFNA4	cytokine	12.795880017344075
IFNB1	IFNB1	cytokine	51.350665141287855
IFNE	IFNE	cytokine	21.48678239993206
IFNG	IFNG	cytokine	219.09908693226234
IFNK	IFNK	cytokine	13.40340290437354
IFNL1	IFNL1	cytokine	63.59516628338006
IFNL4	IFNL4	cytokine	12.508638306165727
IFNW1	IFNW1	cytokine	9.356547323513812
IL10	IL10	cytokine	98.31695296176115
IL12A	IL12A	cytokine	23.33161408331
IL13	IL13	cytokine	57.1518108830086
IL15	IL15	cytokine	103.39794000867204
IL17F	IL17F	cytokine	39.25103713874384
IL18	IL18	cytokine	57.832682665251824
IL1A	IL1A	cytokine	69.0467236633327
IL1B	IL1B	cytokine	121.71896663275227
IL1RN	IL1RN	cytokine	46.769551078621724
IL2	IL2	cytokine	125.040481623027
IL21	IL21	cytokine	63.131355561605176
IL24	IL24	cytokine	16.241088107602028
IL27	IL27	cytokine	110.7619538968712
IL3	IL3	cytokine	48.94309514866353
IL31	IL31	cytokine	3.040005161671584
IL32	IL32	cytokine	19.292429823902065
IL33	IL33	cytokine	84.23732143627257
IL36G	IL36G	cytokine	23.723538195826755
IL4	IL4	cytokine	184.89962945488244
IL5	IL5	cytokine	53.58670023591875
IL6	IL6	cytokine	82.37778597703371
IL7	IL7	cytokine	51.694648630553374
KITLG	KITLG	cytokine	23.175223537524456
PF4	PF4	cytokine	22.482804102050025
TGFB1	TGFB1	cytokine	80.62893213772827
THPO	THPO	cytokine	12.480172006224281
TIMP1	TIMP1	cytokine	9.29413628771608
TNF	TNF	cytokine	180.5543957967264
TNFSF10	TNFSF10	cytokine	42.09420411963213
TNFSF11	TNFSF11	cytokine	40.06905096883248
TNFSF13B	TNFSF13B	cytokine	29.943095148663527
TNFSF14	TNFSF14	cytokine	16.2580609222708
TNFSF15	TNFSF15	cytokine	13.272458742971443
TSLP	TSLP	cytokine	14.047207556955907
VEGFA	VEGFA	cytokine	24.42481215507234
ACSL5	ACSL5	target	1
BAX	BAX	target	1
BCL3	BCL3	target	1
CCL2	CCL2	target	1
CCL5	CCL5	target	1
CD163	CD163	target	1
CDKN1A	CDKN1A	target	1
CDKN2A	CDKN2A	target	1
CMKLR1	CMKLR1	target	1
CXCL1	CXCL1	target	1
CXCL10	CXCL10	target	1
CXCL11	CXCL11	target	1
CXCL3	CXCL3	target	1
CXCL8	CXCL8	target	1
CXCL9	CXCL9	target	1
CYBA	CYBA	target	1
CYBB	CYBB	target	1
CYP19A1	CYP19A1	target	1
FOXP3	FOXP3	target	1
FZD2	FZD2	target	1
GK	GK	target	1
GPI	GPI	target	1
HBEGF	HBEGF	target	1
ICAM1	ICAM1	target	1
IL12B	IL12B	target	1
IL17A	IL17A	target	1
IL4R	IL4R	target	1
ITGA4	ITGA4	target	1
KLRK1	KLRK1	target	1
LDLR	LDLR	target	1
MMP1	MMP1	target	1
MMP13	MMP13	target	1
MMP3	MMP3	target	1
MMP9	MMP9	target	1
MSR1	MSR1	target	1
NCF1	NCF1	target	1
NCF2	NCF2	target	1
NCF4	NCF4	target	1
NFKBIA	NFKBIA	target	1
NOS2	NOS2	target	1
PGAM1	PGAM1	target	1
PTGS2	PTGS2	target	1
RUNX2	RUNX2	target	1
SIGLEC10	SIGLEC10	target	1
SLC27A2	SLC27A2	target	1
SLC2A3	SLC2A3	target	1
SOCS3	SOCS3	target	1
SOD2	SOD2	target	1
SPI1	SPI1	target	1
STAT3	STAT3	target	1
TNFAIP3	TNFAIP3	target	1
TNIP3	TNIP3	target	1
TRAF1	TRAF1	target	1
UCP2	UCP2	target	1
VCAM1	VCAM1	target	1
VEGFC	VEGFC	target	1
WNT1	WNT1	target	1
C3	C3	target	1
C3AR1	C3AR1	target	1
CASP1	CASP1	target	1
CCR2	CCR2	target	1
CLEC7A	CLEC7A	target	1
FCER1G	FCER1G	target	1
FCGR1A	FCGR1A	target	1
HAVCR2	HAVCR2	target	1
ITGAM	ITGAM	target	1
NLRC4	NLRC4	target	1
NLRP3	NLRP3	target	1
OLR1	OLR1	target	1
PIK3CG	PIK3CG	target	1
PLA2G7	PLA2G7	target	1
PLD4	PLD4	target	1
SYK	SYK	target	1
TLR4	TLR4	target	1
ZC3H12A	ZC3H12A	target	1
APOBEC3G	APOBEC3G	target	1
CCL4	CCL4	target	1
CCR1	CCR1	target	1
CCR5	CCR5	target	1
ITGA5	ITGA5	target	1
SELE	SELE	target	1
STAT1	STAT1	target	1
ANXA6	ANXA6	target	1
ARSB	ARSB	target	1
ASCC3	ASCC3	target	1
ATF3	ATF3	target	1
ATF5	ATF5	target	1
B2M	B2M	target	1
BAK1	BAK1	target	1
BATF	BATF	target	1
BATF3	BATF3	target	1
BCL2A1	BCL2A1	target	1
BIRC3	BIRC3	target	1
CA2	CA2	target	1
CCL17	CCL17	target	1
CCL18	CCL18	target	1
CCL19	CCL19	target	1
CCL22	CCL22	target	1
CCND3	CCND3	target	1
CCR7	CCR7	target	1
CD1C	CD1C	target	1
CD1D	CD1D	target	1
CD27	CD27	target	1
CD38	CD38	target	1
CD40	CD40	target	1
CD63	CD63	target	1
CD69	CD69	target	1
CD80	CD80	target	1
CD83	CD83	target	1
CD86	CD86	target	1
CD8A	CD8A	target	1
CDC25B	CDC25B	target	1
CELF2	CELF2	target	1
CFLAR	CFLAR	target	1
CFP	CFP	target	1
CIITA	CIITA	target	1
CLU	CLU	target	1
CSF2RA	CSF2RA	target	1
CTSC	CTSC	target	1
CXCL2	CXCL2	target	1
CXCL5	CXCL5	target	1
CXCR3	CXCR3	target	1
CXCR4	CXCR4	target	1
CYTIP	CYTIP	target	1
DAPP1	DAPP1	target	1
DUSP5	DUSP5	target	1
EBI3	EBI3	target	1
EGR4	EGR4	target	1
EIF2AK2	EIF2AK2	target	1
FAS	FAS	target	1
FASLG	FASLG	target	1
FCER2	FCER2	target	1
FCGR2B	FCGR2B	target	1
FLT1	FLT1	target	1
FSCN1	FSCN1	target	1
G0S2	G0S2	target	1
GCH1	GCH1	target	1
GPR183	GPR183	target	1
GZMB	GZMB	target	1
HIF1A	HIF1A	target	1
HK2	HK2	target	1
HLA-DQA1	HLA-DQA1	target	1
HLA-DQA2	HLA-DQA2	target	1
HLA-DRB4	HLA-DRB4	target	1
HSP90AA1	HSP90AA1	target	1
IDO1	IDO1	target	1
IDO2	IDO2	target	1
IFI44	IFI44	target	1
IFI6	IFI6	target	1
IFIT1	IFIT1	target	1
IFIT2	IFIT2	target	1
IFIT3	IFIT3	target	1
IFITM1	IFITM1	target	1
IGHG1	IGHG1	target	1
IGHG3	IGHG3	target	1
IL10RA	IL10RA	target	1
IL12RB1	IL12RB1	target	1
IL13RA1	IL13RA1	target	1
IL21R	IL21R	target	1
IL2RA	IL2RA	target	1
IL2RB	IL2RB	target	1
IL36A	IL36A	target	1
IL3RA	IL3RA	target	1
IL7R	IL7R	target	1
INHBA	INHBA	target	1
IRF1	IRF1	target	1
IRF2	IRF2	target	1
IRF4	IRF4	target	1
ISG15	ISG15	target	1
ITGB2	ITGB2	target	1
ITGB7	ITGB7	target	1
JAK2	JAK2	target	1
JUNB	JUNB	target	1
KIF2A	KIF2A	target	1
LAMP3	LAMP3	target	1
LIG4	LIG4	target	1
LTA	LTA	target	1
LTB	LTB	target	1
LYL1	LYL1	target	1
MARCKS	MARCKS	target	1
MARCKSL1	MARCKSL1	target	1
MCL1	MCL1	target	1
MT1E	MT1E	target	1
MT1G	MT1G	target	1
MT2A	MT2A	target	1
MX1	MX1	target	1
NAMPT	NAMPT	target	1
NEFH	NEFH	target	1
NFKB1	NFKB1	target	1
NFKB2	NFKB2	target	1
NFKBIB	NFKBIB	target	1
NFKBIE	NFKBIE	target	1
NINJ1	NINJ1	target	1
NR4A3	NR4A3	target	1
PALM2AKAP2	PALM2AKAP2	target	1
PIM1	PIM1	target	1
PLAU	PLAU	target	1
PLAUR	PLAUR	target	1
PLEK	PLEK	target	1
PMAIP1	PMAIP1	target	1
PML	PML	target	1
PSMA2	PSMA2	target	1
PSMB10	PSMB10	target	1
PSMB8	PSMB8	target	1
