Id	log2FoldChange	padj
ENSG00000000938	3.968	2.0880545144136e-159
ENSG00000002549	4.494	3.82513724508343e-220
ENSG00000002834	1.072	2.88086899951556e-60
ENSG00000002919	1.174	1.47054455540801e-39
ENSG00000002933	2.614	3.47176038994253e-45
ENSG00000003056	1.151	6.70200526534269e-80
ENSG00000003400	1.5	4.88989375128786e-66
ENSG00000003402	1.169	6.9679719195581e-42
ENSG00000004468	6.866	1.71516267778949e-185
ENSG00000004700	1.118	1.03582816947973e-32
ENSG00000004809	1.452	4.36777872372837e-14
ENSG00000004939	2.081	1.44931403384957e-09
ENSG00000005001	1.058	1.96682942926533e-10
ENSG00000005020	1.067	1.19422370573869e-37
ENSG00000005059	1.909	6.69269784901953e-100
ENSG00000005381	2.708	1.10005027976481e-37
ENSG00000005844	3.189	4.6422293277384e-152
ENSG00000006062	1.725	3.35242294590801e-71
ENSG00000006118	1.482	2.3300238792409e-19
ENSG00000006210	2.296	1.05788113472435e-75
ENSG00000006327	1.722	2.44930226956223e-37
ENSG00000006606	1.734	7.15226547717794e-10
ENSG00000007129	3.732	4.27565650001929e-61
ENSG00000007171	1.633	3.31133699899911e-08
ENSG00000007174	1.072	3.89114148719702e-20
ENSG00000007264	2.252	2.50122243374314e-59
ENSG00000007312	1.796	1.69053406979263e-37
ENSG00000007908	4.085	1.3495588903099e-98
ENSG00000008056	1.314	1.92501263714978e-24
ENSG00000008118	2.424	1.13902050330789e-22
ENSG00000008513	1.9	2.74000995110434e-76
ENSG00000008516	3.139	9.14480237155019e-81
ENSG00000008517	4.875	1.4355362804632e-163
ENSG00000009790	2.863	1.99122493254528e-111
ENSG00000010030	2.596	4.22079328577055e-130
ENSG00000010270	1.626	2.39739090402394e-74
ENSG00000010610	2.349	3.28696731626365e-81
ENSG00000010671	1.583	1.05498829605865e-67
ENSG00000011422	3.258	1.23407005144677e-92
ENSG00000011590	3.949	2.21826518254346e-62
ENSG00000011600	3.293	3.774058744615e-86
ENSG00000012223	2.844	2.3249242191871e-29
ENSG00000012779	1.604	5.60946860459729e-12
ENSG00000013275	1.165	3.31313028016925e-67
ENSG00000013364	2.13	1.2626731447935e-144
ENSG00000013374	2.228	1.83398483732463e-92
ENSG00000013725	3.36	3.98343672430137e-105
ENSG00000015285	3.216	2.76854368085002e-121
ENSG00000015475	2.044	1.76919861680738e-81
ENSG00000017483	1.63	4.37687471855286e-38
ENSG00000019582	2.747	8.94793281167647e-121
ENSG00000020577	1.286	3.10950488674996e-43
ENSG00000020633	1.857	1.34077807801611e-56
ENSG00000021355	2.85	1.58299919098104e-91
ENSG00000023171	2.936	1.48563822026609e-65
ENSG00000023318	1.146	1.30509882177003e-55
ENSG00000023330	1.221	2.64865167968165e-46
ENSG00000023445	4.473	5.77810868634142e-127
ENSG00000023902	3.72	2.98632108641538e-142
ENSG00000023909	1.265	1.18308520060411e-50
ENSG00000025708	4.686	4.89563837240938e-176
ENSG00000025770	1.282	1.73638656850428e-63
ENSG00000026103	1.704	1.77907061293668e-50
ENSG00000026297	1.198	2.8836008420999e-28
ENSG00000026751	5.931	2.949049854894e-182
ENSG00000026950	1.735	2.11938667306975e-92
ENSG00000027644	2.342	2.66479296121782e-16
ENSG00000027869	5.737	1.96308923730254e-156
ENSG00000028116	2.475	7.60706656541561e-75
ENSG00000028137	3.003	8.22468166716938e-123
ENSG00000028277	1.765	4.66001414179908e-65
ENSG00000029153	1.966	3.0426215923186e-54
ENSG00000029534	1.295	3.07613380377505e-29
ENSG00000030110	1.914	4.68576211352501e-88
ENSG00000031081	1.428	2.2254611732952e-39
ENSG00000033178	1.449	3.2584281270149e-31
ENSG00000034510	3.166	6.70570174599407e-108
ENSG00000035720	3.735	3.0821843955877e-59
ENSG00000037897	1.604	1.14741137601472e-71
ENSG00000038945	2.082	1.18883373663436e-40
ENSG00000039600	1.226	2.72592727814414e-07
ENSG00000040933	1.005	1.54514549718886e-32
ENSG00000041357	1.971	7.84563439353382e-95
ENSG00000041880	1.087	2.74021292778358e-59
ENSG00000041982	3.148	5.73139772984186e-94
ENSG00000043462	3.659	3.15737595529505e-146
ENSG00000044574	1.917	7.9597293609718e-106
ENSG00000047579	1.478	2.53841848050368e-64
ENSG00000048140	1.017	7.80112272148979e-54
ENSG00000048740	1.135	2.83558709415553e-30
ENSG00000049247	1.698	3.63056223351641e-06
ENSG00000049249	2.353	1.3802127848869e-53
ENSG00000049449	1.428	7.75385681271607e-84
ENSG00000049768	2.968	2.79128980700922e-69
ENSG00000050344	1.389	2.06797999358794e-31
ENSG00000050405	1.094	2.61061162859083e-29
ENSG00000050730	3.041	4.2729710760888e-61
ENSG00000050820	1.011	1.42881973250406e-27
ENSG00000051523	2.848	2.22099120863565e-81
ENSG00000054219	1.795	5.13041652124735e-31
ENSG00000054938	1.436	6.6108851244592e-08
ENSG00000054967	2.362	2.3825163173919e-76
ENSG00000055130	1.108	1.30295914005314e-43
ENSG00000055163	2.585	2.3361147595935e-101
ENSG00000055332	2.186	3.5924345757413e-60
ENSG00000055957	1.805	7.93895918838087e-13
ENSG00000056558	3.571	7.30697817707532e-105
ENSG00000057149	1.716	1.13617503671881e-09
ENSG00000058335	3.264	6.80838139285892e-69
ENSG00000059377	1.567	8.35782582966772e-39
ENSG00000059378	3.089	6.2362205841045e-140
ENSG00000059804	3.332	3.40225749049797e-118
ENSG00000060491	1.487	4.55958314537034e-56
ENSG00000060558	1.169	5.1706860510133e-31
ENSG00000060566	2.994	1.42749096739876e-10
ENSG00000062038	2.265	3.85848438859517e-47
