"regulator","ID","FDR","count","avg_corr","significant"
"ADIPOQ",149,3.45063493764283e-24,369,0.395462503446582,TRUE
"AREG",112,1.22588215374006e-67,404,0.417242533508763,TRUE
"BMP1",165,0.00272637626461118,146,0.366423632207113,FALSE
"BMP2",159,2.82107121257499e-09,275,0.386082158631922,FALSE
"BMP4",163,0.000913925661621496,323,0.373615435084679,FALSE
"BMP6",160,1.42703527756874e-07,165,0.374239461524565,FALSE
"BMP7",164,0.0022435877763491,230,0.374431707408874,FALSE
"C17orf99",161,5.44438388200049e-06,27,0.428987430538317,FALSE
"CCL1",81,1.97067962997182e-118,272,0.442508345297989,TRUE
"CCL11",67,1.84646749935913e-139,396,0.421873454174496,TRUE
"CCL13",46,4.59367654169185e-176,357,0.440240025138907,TRUE
"CCL14",120,9.8347006825056e-60,167,0.418743745053917,TRUE
"CCL15",118,3.56299894060934e-61,156,0.41599997142094,TRUE
"CCL16",128,2.15892921996309e-50,143,0.429336796434408,TRUE
"CCL17",45,2.97423955546286e-178,447,0.423204125623211,TRUE
"CCL18",38,3.92759580165637e-189,440,0.42257449311107,TRUE
"CCL19",9,2.08491128253306e-258,584,0.419704263197262,TRUE
"CCL2",35,1.46356348459427e-194,909,0.408009318841817,TRUE
"CCL20",39,1.00074535748774e-188,610,0.420266200298056,TRUE
"CCL21",53,3.56984552426877e-166,488,0.417572380197929,TRUE
"CCL22",31,1.42391719559312e-201,484,0.426324915191039,TRUE
"CCL23",65,1.62035805386692e-143,304,0.431867564154814,TRUE
"CCL24",69,2.21455747299219e-130,297,0.441294938980648,TRUE
"CCL25",101,1.75075244924948e-91,227,0.424490481070194,TRUE
"CCL26",105,9.85390776779644e-78,225,0.394387614503393,FALSE
"CCL27",109,3.40650084460062e-71,204,0.410475030605648,TRUE
"CCL28",152,5.26680765504415e-17,85,0.39792204196949,FALSE
"CCL3",7,2.3531666296905e-306,780,0.423794274360788,TRUE
"CCL4",1,0,763,0.425193901834197,TRUE
"CCL4L2",55,2.64946081633833e-162,299,0.456993720947702,TRUE
"CCL5",2,0,900,0.42711218244305,TRUE
"CCL7",42,6.50248709296108e-182,390,0.436649548027881,TRUE
"CCL8",10,1.76573185236561e-256,496,0.443781304269357,TRUE
"CD40LG",8,1.14506454119399e-268,721,0.423008194868746,TRUE
"CKLF",151,4.51124638024791e-20,63,0.431094723071495,FALSE
"CLCF1",142,2.35272028003894e-32,103,0.437641338710523,TRUE
"CMTM1",170,0.0437703811472534,22,0.436981283010341,FALSE
"CMTM2",146,3.15890029511187e-28,92,0.419075492207295,FALSE
"CMTM7",162,0.000577281284675621,42,0.443748310726528,FALSE
"CNTF",155,1.12711312391033e-14,161,0.43345531252806,TRUE
"CRLF1",169,0.0103861861459206,45,0.411530752834787,FALSE
"CSF1",37,2.02106173412723e-190,669,0.43058894713552,TRUE
"CSF2",27,5.42034030131854e-206,741,0.415465075832698,TRUE
"CSF3",59,1.21535223179891e-156,620,0.410007753208972,TRUE
"CTF1",158,2.08236618716266e-09,98,0.439210822377589,TRUE
"CX3CL1",77,2.15095693585478e-120,470,0.414032939746449,TRUE
"CXCL1",24,5.14104597788013e-211,688,0.414279610677256,TRUE
"CXCL10",5,1.82722966542904e-311,854,0.42159235809077,TRUE
"CXCL11",12,3.72306335474472e-252,607,0.431805666812351,TRUE
"CXCL12",72,1.78624260374334e-127,716,0.410784499668155,TRUE
"CXCL13",16,1.79804938398159e-248,586,0.423641642821282,TRUE
"CXCL14",122,7.62275012176105e-58,280,0.397407371006998,FALSE
"CXCL16",21,9.7100669962456e-219,475,0.430925154396016,TRUE
"CXCL2",20,6.64363415507751e-226,580,0.422234187481323,TRUE
"CXCL3",40,8.36619969065746e-188,400,0.442146715297499,TRUE
"CXCL5",51,4.20813703283563e-169,479,0.429172639709017,TRUE
"CXCL6",73,1.55398894920951e-125,326,0.428576298493074,TRUE
"CXCL8",25,3.37403541534364e-208,898,0.408471748566101,TRUE
"CXCL9",4,1.04926545743811e-312,719,0.422640266401264,TRUE
"EBI3",125,1.02749207677486e-52,121,0.511842237220144,TRUE
"EDN1",136,5.59707444099537e-41,438,0.386840432951732,FALSE
"EPO",139,7.48168451053469e-35,351,0.406194782256264,TRUE
"FASLG",49,2.82609895967765e-172,717,0.422328796886369,TRUE
