regulator,Coef,StdErr,zscore,adj_pvalue
CXCL12,0.01254,0.002173,5.793,0
IFNG,0.02671,0.002031,13.155,0
IL18,0.009256,0.002093,4.424,0
IL1B,0.01346,0.001831,7.342,0
IL27,0.02396,0.00212,11.288,0
IL21,0.01277,0.002181,5.887,0
OSM,0.01419,0.00214,6.613,0
LIF,0.009609,0.002186,4.386,0
HMGB1,0.006523,0.002252,2.906,0.001
IL6,0.009303,0.002165,4.272,0.001
IL1A,0.007363,0.001937,3.791,0.003
IL15,0.006595,0.002206,3.016,0.005
FGF2,0.006314,0.002223,2.879,0.006
WNT5A,0.006389,0.002264,2.797,0.007
IL33,0.005273,0.002025,2.6,0.01
