hgnc_symbol	score
AAGAB	1.005
AANAT	2.252
ABCD1	1.629
ABCF1	1.0878
ABCG4	1.026
ABHD16A	1.298
ABHD3	1.03
ABI3	2.413
ABI3BP	1.065
ABRACL	1.47
ACAP1	2.243
ACE2	2.487
ACHE	3.112
ACKR2	1.578
ACOD1	9.925
ACOT9	1.489
ACP2	1.849
ACRV1	1.776
ACSL4	1.984
ACSL5	2.744
ACSL6	2.267
ACTB	2.497
ACTC1	1.151
ACTG1	1.14
ACTN1	1.503
ACTR2	1.16
ACTR3	1.579
ACTR3C	1.262
ACTRT3	1.249
ACVRL1	1.045
ACY3	2.196
ADA2	2.728
ADAM12	1.811
ADAM19	4.619
ADAM8	3.522
ADAMDEC1	3.033
ADAMTS1	2.086
ADAMTS14	1.312
ADAMTS4	4.689
ADAMTS8	4.069
ADAMTS9	2.195
ADAP1	2.186
ADAP2	1.082
ADAR	1.747
ADCY7	1.124
ADGRD1	1.018
ADGRE1	4.53
ADGRE2	2.206
ADGRE3	1.028
ADGRE5	3.344
ADGRG2	1.147
ADGRG3	2.109
ADGRG5	3.193
ADM	1.569
ADM2	1.359
ADORA2A	3.944
ADORA3	1.21
ADPGK	1.417
ADPRH	1.87
ADPRS	1.378
ADRB3	1.188
ADSL	1.046
AEN	1.607
AGAP2	2.179
AGER	1.043
AGMAT	1.084
AGTRAP	1.203
AIF1	3.34816666666667
AIM2	4.403
AKIP1	1.071
AKIRIN2	1.437
AKNA	2.565
AKR1A1	1.024
AKR1B10	3.249
AKT3	4.065
ALAS1	1.221
ALDH1A3	1.197
ALDH1B1	1.005
ALOX15	1.096
ALOX5	1.7935
ALOX5AP	2.771
ALPK2	1.021
ALYREF	1.116
ANGPTL4	2.806
ANK1	1.295
ANKRD22	1.829
ANKRD34B	1.032
ANKRD44	2.565
ANO4	1.858
ANPEP	2.245
ANTXR2	1.071
ANXA1	1.496
ANXA10	3.415
ANXA2R	2.239
ANXA3	1.916
ANXA6	1.433
AOAH	3.777
APBB1IP	2.14
APOBEC3A	6.402
APOBEC3B	2.351
APOBEC3C	1.82
APOBEC3D	2.248
APOBEC3F	1.954
APOBEC3G	3.494
APOBEC3H	2.993
APOBR	2.686
APOL1	5.426
APOL2	4.337
APOL3	4.064
APOL4	3.004
APOL6	3.752
AREG	1.587
ARFGAP3	1.081
ARFRP1	1.192
ARHGAP15	2.588
ARHGAP22	1.596
ARHGAP25	3.092
ARHGAP30	2.317
ARHGAP31	1.428
ARHGAP4	2.135
ARHGAP45	2.455
ARHGAP9	2.75
ARHGDIA	1.381
ARHGDIB	2.471
ARHGEF1	1.006
ARHGEF2	1.372
ARHGEF3	1.408
ARID5A	2.59
ARL11	1.32
ARL14	3.348
ARL4C	1.575
ARL5B	1.06
ARMH1	2.346
ARMH2	2.684
ARPC1B	2.587
ARPC3	1.586
ARPC4	1.444
ARPC5	1.381
ARRB2	2.376
ARRDC5	2.993
ARSB	1.561
ART3	2.145
ASAP1	1
ASCC3	1.24
ASCL2	1.135
ASGR2	1.84
ASPHD2	1.731
ASS1	1.225
ATF3	2.902
ATF5	3.093
ATG3	1.564
ATP10A	1.774
ATP11C	1.203
ATP13A3	1.35
ATP5F1E	1.412
ATP6V0E1	1.236
ATP6V1B2	1.437
ATP8B4	1.357
B2M	2.3715
B4GALT1	1.316
B4GALT5	1.682
BACC1	1.49
BACH1	1.104
BAK1	1.914
BANF1	1
BANK1	1.611
BARX1	2.753
BASP1	1.824
BATF	3.819
BATF2	6.534
BATF3	4.758
BAX	1.28
BAZ1A	1.831
BCAP29	1.215
BCAR1	1.011
BCL10	1.045
BCL2A1	6.052
BCL2L11	1.45
BCL2L14	4.937
BCL3	2.228
BFAR	1.053
BHLHE40	1.203
BID	2.044
BIN2	3.225
BIRC3	4.473
BLK	1.9925
BLVRA	1.994
BMAL2	1.966
BOLA2B	1.463
BOLA3	1.051
BRCA2	1.116
BRD2	1.6375
BST2	4.134
BTK	1.583
BTLA	2.674
BTN2A1	1.225
BTN2A2	1.977
BTN3A1	1.735
BTN3A2	1.582
BTN3A3	2.034
BYSL	1.134
C11orf21	1.863
C11orf98	1.403
C12orf42	2.241
C15orf48	2.61
C16orf46	1.139
C16orf54	2.841
C17orf58	1.932
C17orf67	1.1
C19orf38	3.627
C19orf84	3.102
C1GALT1	1.342
C1GALT1C1	1.232
C1QA	1.403
C1QB	2.593
C1QC	2.097
C1QTNF1	1.224
C1R	1.504
C1orf162	3.626
C1orf54	1.108
C2	1.83114285714286
C20orf141	3.121
C2CD4A	1.795
C2CD4B	1.594
C3	1.565
C3AR1	2.723
C3orf38	1.507
C4A	2.15775
C4B	2.2365
C4BPA	2.35
C4B_2	2.051
C4orf50	2.534
C4orf54	1.939
C5AR1	1.655
C5orf15	1.265
C5orf58	1.846
C6orf62	1.213
C9orf72	1.17
CA2	2.172
CA9	1.512
CACNA1I	2.977
CACNG6	2.595
CALCA	4.483
CALHM6	7.202
CALR	2.062
CAMK1G	2.424
CAMK2D	1.263
CAMK4	2.978
CAP1	1.562
CAPNS1	1.539
CAPZA1	1.069
CARD11	4.021
CARD16	3.082
CARD6	1.336
CARD9	1.023
CARHSP1	1.061
CARMIL2	3.05
CASP1	2.703
CASP10	1.5
CASP3	1.213
CASP4	2.136
CASP5	6.86
CASP7	2.556
CASP8	1.577
CASP8AP2	1.003
CASS4	3.076
CATSPERZ	2.053
CBLB	1.168
CBLN3	1.063
CBR3	1.522
CBX6	1.22
CCDC167	1.745
CCDC168	1.171
CCDC175	1.005
CCDC200	1.404
CCDC42	2.022
CCDC71L	2.304
CCDC73	1.9
CCDC88A	1.073
CCDC88B	2.362
CCL1	2.655
CCL11	4.839
CCL13	2.199
CCL17	5.429
CCL18	1.2395
CCL19	5.64
CCL2	5.247
CCL20	2.768
CCL22	3.45
CCL25	2.577
CCL26	1.734
CCL3	5.52466666666667
CCL3L3	3.63775
CCL4	4.888
CCL4L2	4.56475
CCL5	3.834
CCL7	8.62
CCL8	8.66
CCM2	1.326
CCN1	2.432
CCNA1	3.218
CCND2	2.304
CCND3	1.84
CCNYL1	1.202
CCR1	4.644
CCR2	3.629
CCR3	1.77
CCR4	2.471
CCR5	4.801
CCR6	1.826
CCR7	5.949
CCR8	1.22
CCRL2	4.091
CCT5	1.154
CD14	1.116
CD163	2.784
CD180	1.707
CD19	1.505
CD1B	2.107
CD1C	1.359
CD1D	4.621
CD2	4.559
CD200	1.19
CD209	1.298
CD226	3.443
CD244	3.06
CD247	4.23
CD27	1.659
CD274	6.742
CD28	3.722
CD300A	3.546
CD300C	3.066
CD300E	3.744
CD300H	1.323
CD300LB	2.24
CD300LF	4.138
CD33	2.323
CD37	2.29
CD38	6.866
CD3D	4.364
CD3E	4.149
CD3G	3.003
CD4	2.349
CD40	3.483
CD40LG	3.719
CD47	1.143
CD48	4.236
CD5	3.842
CD52	3.09
CD53	4.322
CD6	3.36
CD63	1.484
CD68	2.263
CD69	5.074
CD7	5.47
CD72	1.758
CD74	2.747
CD79A	2.52
CD79B	1.796
CD80	7.38
CD83	4.73
CD84	1.654
CD86	3.874
CD8A	4.147
CD8B	3.221
CD93	1.555
CD96	3.496
CDC25B	1.194
CDC26	1.187
CDC42EP2	1.74
CDC42SE2	1.833
CDC7	1.221
CDH3	2.265
CDK18	1.804
CDK2AP2	1.674
CDKN1A	2.609
CDKN2A	1.467
CDKN2D	1.098
CDV3	1.019
CDYL2	1.9
CEACAM1	1.782
CEACAM21	3.34
CEACAM3	3.591
CEACAM4	3.4695
CEBPE	1.393
CELA1	1.17
CELF2	1.135
CEMIP2	1.863
CERKL	2.623
CETP	1.21
CFAP97D2	2.176
CFAP99	1.104
CFB	5.06942857142857
CFHR3	1.049
CFL1	1.735
CFLAR	1.169
CFP	2.365
CGAS	3.537
CH25H	2.585
CHCT1	2.17
CHD5	1.798
CHI3L1	1.362
CHI3L2	4.787
CHMP4A	1.093
CHMP5	1.058
CHN1	1.278
CHRDL2	1.436
CHRNA6	3.578
CHST11	2.95
CHST2	1.657
CIAO2B	1.027
CIB1	1.379
CIITA	2.705
CIMAP1B	2.365
CISH	2.889
CKAP4	1.158
CKLF	1.714
CLC	3.627
CLCN1	2.075
CLDN14	1.435
CLDND2	1.646
CLEC10A	3.417
CLEC12A	1.635
CLEC1A	1.587
CLEC1B	1.028
CLEC2D	1.802
CLEC4A	2.983
CLEC4C	2.448
CLEC4D	6.164
CLEC4E	4.086
CLEC4G	1.477
CLEC5A	1.484
CLEC6A	6.867
CLEC7A	3.292
CLEC9A	2.558
CLIC1	2.35757142857143
CLIC2	1.896
CLSTN3	1.166
CLU	1.268
CMKLR1	2.293
CMPK2	5.418
CMTM3	1.046
CMTM7	1.907
CMTR1	1.073
CNBD1	1.846
CNDP2	2.494
CNGA3	5.279
CNN2	1.598
CNP	1.54
CNPY3	1.274
CNR2	1.107
COL15A1	1.255
COL22A1	2.721
COL4A1	1.884
COL4A2	1.384
COL4A4	1.365
COL6A5	1.364
COMMD3-BMI1	1.373
CORO1A	3.389
CORO7	1.828
COTL1	3.649
COX17	1.108
CPA6	2.126
CPNE8	1.102
CPVL	1.075
CPXM2	1.086
CR1	1.35
CR1L	5.378
CREB3L3	2.994
CRELD2	1.415
CREM	2.08
CRISPLD2	1.78
CRLF2	2.069
CRP	5.078
CRTAM	2.036
CSAG1	2.49
CSAG2	5.217
CSAG3	6.771
CSF1	2.157
CSF1R	1.45
CSF2	4.616
CSF2RA	3.228
CSF2RB	3.765
CSF3	8.079
CSF3R	2.224
CSK	1.369
CSRNP1	1.629
CST7	4.656
CSTF2T	1.09
CTLA4	5.549
CTNNBL1	1.646
CTPS1	1.056
CTRL	2.864
CTSB	1.5095
CTSC	2.599
CTSH	1.408
CTSL	2.829
CTSS	3.753
CTSW	3.847
CTSZ	2.841
CUL1	1.108
CX3CL1	2.296
CXCL1	4.478
CXCL10	9.281
CXCL11	9.119
CXCL13	1.498
CXCL16	2.033
CXCL17	2.536
CXCL2	3.486
CXCL3	2.624
CXCL5	3.648
CXCL6	1.863
CXCL8	1.339
CXCL9	8.672
CXCR1	1.05
CXCR2	1.253
CXCR3	4.116
CXCR4	4.14
CXCR5	4.796
CXCR6	3.919
CXorf38	1.517
CXorf49	1.337
CXorf49B	1.393
CXorf65	2.903
CYB561D2	1.231
CYBA	2.848
CYBB	3.898
CYBC1	1.744
CYFIP2	2.585
CYLD	1.765
CYP19A1	2.555
CYP21A2	1.697
CYP27B1	3.192
CYP2S1	2.021
CYRIA	2.818
CYRIB	2.289
CYSLTR2	1.501
CYTH1	1.174
CYTH4	2.509
CYTIP	3.855
DAPP1	1.984
DAXX	1.259
DCANP1	2.094
DCK	1.353
DCSTAMP	2.563
DDIT4	1.38
DDO	1.069
DDX21	1.429
DDX39A	1.382
DDX60	2.733
DDX60L	3.06
DEFB103A	2.306
DEFB103B	1.928
DEFB4A	7.862
DEFB4B	5.466
DENND1A	1.122
DENND1B	2.145
DENND2D	1.234
DENND3	1.114
DENND4A	1.509
DENND5A	1.589
DEPP1	1.049
DERL1	1.19
DHX16	1.04
DHX58	2.767
DLGAP3	1.743
DMRTA2	1.207
DMXL2	2.021
DNAH9	1.072
DNAI2	1.594
DNAJA1	2.159
DNAJB11	1.526
DNAJB13	1.085
DNAJC15	1.001
DNAJC25-GNG10	1.04
DNAJC5B	1.083
DNASE1L3	1.193
DNTT	2.073
DOC2B	2.39
DOCK10	2.641
DOCK11	1.163
DOCK2	3.279
DOCK4	1.211
DOCK8	2.353
DOK1	1.768
DOK2	3.467
DOK3	1.854
DOK5	2.568
DPH3	1.094
DPP3	1.297
DPYD	1.944
DPYS	1.435
DRAM1	3.416
DRAP1	1.117
DRD3	1.722
DSE	1.618
DSG3	1.187
DTHD1	3.026
DTNBP1	1.478
DTX3L	3.048
DUSP10	1.826
DUSP5	2.614
DUSP6	1.478
DYNLT1	2.322
DYSF	2.068
E2F3	1.655
EAF2	2.435
EBF4	1.297
EBI3	5.685
ECEL1	2.304
EDARADD	1.276
EDEM1	1.453
EDEM2	1.487
EDN2	2.836
EFHD2	2.175
EGLN2	1.039
EGR4	2.034
EHBP1L1	1.581
EHD1	1.7
EHD4	1.613
EID3	1.135
EIF2AK2	2.186
EIF2S2	1.089
EIF4A1	1.299
EIF4A3	1.043
EIF4EBP1	1.046
EIF5A	1.224
EIF5AL1	1.381
ELAVL4	2.593
ELF4	1.381
ELMO1	1.38
ELMO2	1.173
ELP5	1.165
EMILIN1	1.54
EMILIN2	2.36
EMP3	1.614
ENAM	1.715
ENG	1.402
ENKUR	1.4
ENO1	1.824
ENOX1	1.321
ENPP2	1.714
ENPP7	1.158
ENTHD1	1.532
EOMES	4.262
EPB41L3	1.525
EPGN	3.121
EPOP	2.469
EPSTI1	5.278
ERAP1	1.383
ERAP2	2.268
ERFE	1.621
ERI1	1.4145
ERICH3	1.543
ERMN	2.422
ERO1A	1.361
ERP44	1.146
ETHE1	2.322
ETS1	1.97
ETV3L	1.992
ETV6	1.149
ETV7	2.596
EVI2A	2.135
EVI2B	1.861
EVL	1.057
EXOC3L1	1.078
EXOC3L4	2.355
FAM107B	1.152
FAM124A	1.112
FAM167B	1.492
FAM169A	1.851
FAM20A	2.146
FAM20C	3.241
FAM78A	2.359
FAM83A	1.331
FAR1	1.071
FAS	1.704
FASLG	4.368
FBN2	1.57
FBP1	2.42
FBXO6	3.136
FCAR	3.61233333333333
FCER1G	3.844
FCER2	3.307
FCGR1A	6.427
FCGR2A	3.048
FCGR2B	1.232
FCGR2C	1.198
FCGR3A	4.143
FCGR3B	1.226
FCHSD2	1.442
FCMR	3.709
FCN1	3.295
FCRL1	1.426
FCRL3	3.688
FCRL6	3.415
FDCSP	8.222
FERMT3	2.96
FFAR2	2.972
FFAR3	3.629
FGD2	2.862
FGD3	1.815
FGL2	2.515
FGR	3.968
FHAD1	1.341
FICD	1.411
FKBP11	1.213
FKBP1A	1.231
FKBP1C	1.758
FLACC1	1.427
FLI1	1.266
FLOT1	1.47425
FLOT2	1.555
FLT1	1.342
FLT3	2.702
FLT3LG	1.516
FLVCR2	2.066
FMNL1	2.677
FMNL2	1.564
FMNL3	1.256
FNBP1	1.389
FOLR3	1.582
FOSL1	3.262
FOXB1	1.227
FOXF1	1.099
FOXH1	1.024
FOXL3	3.253
FOXN2	1.764
FOXP3	2.968
FPGS	1.225
FPR1	5.676
FPR2	6.28
FPR3	2.995
FSCN1	1.675
FSD1	1.74
FTH1	1.814
FUOM	2.339
FUT4	2.336
FUT7	3.238
FXYD2	1.701
FXYD5	1.762
FYB1	4.047
FZD2	2.532
FZD5	1.057
G0S2	1.587
GAB3	1.96
GABPB1	1.084
GABRR2	1.031
GAD1	1.074
GADD45B	2.253
GALE	1.112
GALM	2.458
GALNT10	1.093
GALNT4	1.072
GALNT6	1.522
GAPDH	1.167
GAPT	1.141
GARIN4	2.186
GART	1.061
GBGT1	1.503
GBP1	6.403
GBP2	3.729
GBP3	3.217
GBP4	5.465
GBP5	6.988
GBP6	1.18
GBP7	4.625
GCA	2.02
GCH1	3.889
GCLM	1.265
GCNT1	3.002
GFI1	3.048
GFPT2	1.371
GFUS	1.153
GGT5	2.31
GIMAP1	1.497
GIMAP1-GIMAP5	1.94
GIMAP2	2.036
GIMAP4	2.969
GIMAP5	3.154
GIMAP6	1.855
GIMAP7	2.72
GIMAP8	2.147
GJA4	2.472
GJA5	1.482
GK	2.277
GLIPR1	1.244
GLIPR2	3.277
GLIS3	1.864
GLS	1.032
GLT1D1	2.722
GLUL	2.095
GMFG	2.655
GMIP	1.847
GNA13	1.16
GNA14	2.886
GNA15	1.169
GNAI2	1.547
GNG10	1.437
GNG5	1.231
GNGT2	3.033
GNLY	6.006
GOLM1	1.829
GON7	1.608
GP5	1.259
GPA33	4.157
GPATCH4	1.281
GPBAR1	1.539
GPC5	1.136
GPI	1.276
GPR132	3.278
GPR141	2.386
GPR142	1.45
GPR15	2.863
GPR150	1.034
GPR171	4.619
GPR174	3.431
GPR18	3.38
GPR183	3.542
GPR19	1.322
GPR22	1.2675
GPR25	3.776
GPR31	4.461
GPR33	1.695
GPR35	1.084
GPR39	2.114
GPR4	2.535
GPR42	3.612
GPR55	1.833
GPR65	3.597
GPR68	1.597
GPR84	4.917
GPR88	2.769
GPRIN3	2.869
GPSM3	2.55257142857143
GPX1	1.742
GRAMD1A	1.3
GRAMD1B	2.936
GRAP	2.053
GRAP2	2.73
GRB2	1.387
GRINA	1.538
GRK3	1.144
GRK6	1.161
GRPR	1.073
GSAP	1.467
GSDMC	1.645
GSDMD	2.221
GSTK1	1.257
GSTO1	2.097
GTF2H2	1.581
GTF2H2C_2	1.299
GTF3C6	1.525
GTPBP1	1.027
GTPBP4	1.047
GTSF1	1.44
GYG1	1.151
GYPC	1.416
GZMA	5.357
GZMB	8.369
GZMH	4.833
GZMK	4.224
GZMM	3.226
H2AC18	3.01
