"regulator","ID","type","FDR","count","avg_corr","rc_mean","rc_sd","zscore","pvalue","adj_pvalue"
"CCL3",69,"cytokine",4.2e-13,18,0.55680756470584,0.357873577280386,0.0446984680943848,4.45057729954834,4.28198802735992e-06,0.000483864647091671
"CD40LG",7,"cytokine",8.55e-108,209,0.483569905601917,0.35936139044408,0.0117100003224975,10.6070462627746,1.38173693436128e-26,1.56136273582825e-24
"CSF1",11,"cytokine",1.41e-93,184,0.506834098417238,0.359851398172265,0.0142889348928914,10.2864700096083,4.05475181306509e-25,4.58186954876355e-23
"CSF2",15,"cytokine",1.12e-80,211,0.472819335575928,0.358097139070403,0.0132514330261321,8.65734266469829,2.41444694372544e-18,2.72832504640974e-16
"CSF3",31,"cytokine",1.4e-36,92,0.451224744079668,0.363116496981815,0.0214870622582718,4.10052551804442,2.06106488021158e-05,0.00232900331463908
"CXCL1",105,"cytokine",7.05e-07,11,0.558374690217302,0.354743639333836,0.0570243639845045,3.57094821677976,0.00017784560917278,0.0200965538365242
"CXCL12",49,"cytokine",3.18e-19,68,0.450157006888636,0.356876765427077,0.0251423810285173,3.71007985901404,0.000103596939814446,0.0117064541990324
"CXCL8",53,"cytokine",2.91e-17,47,0.448926586413903,0.356387535334879,0.0269772618869306,3.43026106455433,0.000301500390823612,0.0340695441630682
"EBI3",33,"cytokine",1.84e-30,43,0.46599743273736,0.354542739412842,0.031748798822688,3.51051685284142,0.000223618228687564,0.0252688598416948
"EDN1",52,"cytokine",2.5e-17,64,0.454593178057438,0.357743156520233,0.0229831252824361,4.2139622156269,1.25464641312242e-05,0.00141775044682833
"FASLG",73,"cytokine",8.71e-13,25,0.496885504080795,0.363475029238068,0.0379352747524283,3.51679210743524,0.000218397873121686,0.0246789596627505
"FGF2",81,"growth factor",1.03e-10,95,0.441956526421061,0.358428941229943,0.0242831799663826,3.43973010564321,0.000291147276244515,0.0328996422156302
"FLT3LG",45,"cytokine",2.75e-20,41,0.535518496682513,0.354736577038558,0.0301767853340368,5.99076136317438,1.0443046106568e-09,1.18006421004219e-07
"GRN",34,"growth factor",1.74e-26,75,0.449864485779672,0.35694500074815,0.0244780408266307,3.79603440036879,7.35145526485105e-05,0.00830714444928169
"IFNA10",84,"cytokine",1.97e-10,12,0.714607464856195,0.348646165844348,0.06532583436577,5.60209146296961,1.05890374213084e-08,1.19656122860785e-06
"IFNA14",83,"cytokine",1.97e-10,12,0.714607464856195,0.348646165844348,0.06532583436577,5.60209146296961,1.05890374213084e-08,1.19656122860785e-06
"IFNA16",93,"cytokine",8.4e-10,12,0.714607464856195,0.348646165844348,0.06532583436577,5.60209146296961,1.05890374213084e-08,1.19656122860785e-06
"IFNA17",89,"cytokine",3.68e-10,13,0.722118300759887,0.35614599546319,0.0654668842395856,5.59018975085737,1.13410805300736e-08,1.28154209989831e-06
"IFNA2",9,"cytokine",5.07e-100,166,0.499455691205319,0.361818638703986,0.0131836124090655,10.4400105396522,8.13963161069146e-26,9.19778372008135e-24
"IFNA21",85,"cytokine",1.97e-10,12,0.714607464856195,0.348646165844348,0.06532583436577,5.60209146296961,1.05890374213084e-08,1.19656122860785e-06
"IFNA4",66,"cytokine",1.6e-13,26,0.628684641518973,0.361910211311994,0.0392493454871207,6.79691411145998,5.34418865859895e-12,6.03893318421682e-10
