"regulator","ID","type","FDR","count","avg_corr","rc_mean","rc_sd","zscore","pvalue","adj_pvalue"
"ADIPOQ",149,"cytokine",3.45063493764283e-24,369,0.395462503446582,0.358519054427927,0.00915525453590611,4.03521812241991,2.72757977256782e-05,0.00441867923155987
"AREG",112,"cytokine",1.22588215374006e-67,404,0.417242533508763,0.359625378904263,0.00883689007605398,6.52007144013595,3.51369565230713e-11,5.69218695673755e-09
"CCL1",81,"cytokine",1.97067962997182e-118,272,0.442508345297989,0.361190277365678,0.0127987571621291,6.35359096998323,1.0517284850232e-10,1.70380014573758e-08
"CCL11",67,"cytokine",1.84646749935913e-139,396,0.421873454174496,0.359238917696464,0.00950621589962792,6.58879801798777,2.21700750823992e-11,3.59155216334867e-09
"CCL13",46,"cytokine",4.59367654169185e-176,357,0.440240025138907,0.360335828001086,0.0105015753532189,7.60878196368214,1.38345534362393e-14,2.24119765667077e-12
"CCL14",120,"cytokine",9.8347006825056e-60,167,0.418743745053917,0.358675842866406,0.0167777719407918,3.58020733619989,0.000171660840689005,0.0278090561916189
"CCL15",118,"cytokine",3.56299894060934e-61,156,0.41599997142094,0.360476355577223,0.0142513603014646,3.89602218098509,4.88927187426346e-05,0.00792062043630681
"CCL16",128,"cytokine",2.15892921996309e-50,143,0.429336796434408,0.359237527519173,0.0164821005047752,4.25305432975158,1.05437194412547e-05,0.00170808254948326
"CCL17",45,"cytokine",2.97423955546286e-178,447,0.423204125623211,0.359044509059388,0.00866652416108946,7.40315441014796,6.6493480094586e-14,1.07719437753229e-11
"CCL18",38,"cytokine",3.92759580165637e-189,440,0.42257449311107,0.361511028092001,0.00852445211163033,7.16333017294532,3.93701967118976e-13,6.37797186732740e-11
"CCL19",9,"cytokine",2.08491128253306e-258,584,0.419704263197262,0.359538192505333,0.00770833117878513,7.80533027142342,2.96729615997136e-15,4.8070197791536e-13
"CCL2",35,"cytokine",1.46356348459427e-194,909,0.408009318841817,0.358686103321262,0.00458530993188041,10.7567898906078,2.75273302967081e-27,4.45942750806672e-25
"CCL20",39,"cytokine",1.00074535748774e-188,610,0.420266200298056,0.358956050105049,0.00714645435289505,8.57910051131442,4.78089489130489e-18,7.74504972391392e-16
"CCL21",53,"cytokine",3.56984552426877e-166,488,0.417572380197929,0.358451234651005,0.00797659911435045,7.41182359792424,6.22871956541545e-14,1.0090525695973e-11
"CCL22",31,"cytokine",1.42391719559312e-201,484,0.426324915191039,0.358863423723932,0.00847718698613694,7.95800441554832,8.74180584305919e-16,1.41617254657559e-13
"CCL23",65,"cytokine",1.62035805386692e-143,304,0.431867564154814,0.36139760075644,0.0115789886232785,6.08602060949435,5.78757742805088e-10,9.37587543344242e-08
"CCL24",69,"cytokine",2.21455747299219e-130,297,0.441294938980648,0.360129361315544,0.0108050211053532,7.51183888247021,2.91512590671558e-14,4.72250396887924e-12
"CCL25",101,"cytokine",1.75075244924948e-91,227,0.424490481070194,0.36077962277295,0.0119294718186011,5.3406269167678,4.63128519883911e-08,7.50268202211936e-06
"CCL27",109,"cytokine",3.40650084460062e-71,204,0.410475030605648,0.361014287671508,0.0129152440006338,3.82964061164562,6.41652695787812e-05,0.0103947736717626
"CCL3",7,"cytokine",2.3531666296905e-306,780,0.423794274360788,0.360099271022785,0.00622111235001085,10.2385232341757,6.66273703070095e-25,1.07936339897355e-22
"CCL4",1,"cytokine",0,763,0.425193901834197,0.359253968372467,0.00554810911404917,11.8851183540631,7.07172976951788e-33,1.1456202226619e-30
"CCL4L2",55,"cytokine",2.64946081633833e-162,299,0.456993720947702,0.359776784266536,0.0103130028665925,9.42663722087065,2.11723540652105e-21,3.42992135856411e-19
"CCL5",2,"cytokine",0,900,0.42711218244305,0.359814046078439,0.00557423238798495,12.0730769154278,7.32751793625957e-34,1.18705790567405e-31
"CCL7",42,"cytokine",6.50248709296108e-182,390,0.436649548027881,0.359413328386701,0.00905815719950002,8.52670338349213,7.52886594390888e-18,1.21967628291324e-15
"CCL8",10,"cytokine",1.76573185236561e-256,496,0.443781304269357,0.360608030419796,0.00839057526437905,9.91270219607715,1.83297272480246e-23,2.96941581417998e-21
"CD40LG",8,"cytokine",1.14506454119399e-268,721,0.423008194868746,0.359406519624948,0.00678979364998006,9.36724715396689,3.72244503444388e-21,6.03036095579908e-19
"CLCF1",142,"cytokine",2.35272028003894e-32,103,0.437641338710523,0.360507845574945,0.0162923120281217,4.73434912137945,1.09879587436029e-06,0.000178004931646367
"CNTF",155,"cytokine",1.12711312391033e-14,161,0.43345531252806,0.360527814323286,0.0149137161447884,4.88996152915644,5.04278433696024e-07,8.16931062587559e-05
"CSF1",37,"cytokine",2.02106173412723e-190,669,0.43058894713552,0.359536940256372,0.00690193897616601,10.2944994333486,3.73032972324623e-25,6.04313415165889e-23
"CSF2",27,"cytokine",5.42034030131854e-206,741,0.415465075832698,0.359293011736145,0.00611272061094057,9.18937207697926,1.97570583455869e-20,3.20064345198508e-18
"CSF3",59,"cytokine",1.21535223179891e-156,620,0.410007753208972,0.360594074456865,0.00695609747728352,7.10364955544069,6.0752363835015e-13,9.84188294127243e-11
"CTF1",158,"cytokine",2.08236618716266e-09,98,0.439210822377589,0.358651257087081,0.0189217383921792,4.25751395674117,1.03356379559416e-05,0.00167437334886254
"CX3CL1",77,"cytokine",2.15095693585478e-120,470,0.414032939746449,0.360168165538376,0.00896542197012848,6.00805789036403,9.3879402708253e-10,1.5208463238737e-07
"CXCL1",24,"cytokine",5.14104597788013e-211,688,0.414279610677256,0.359677533829407,0.00701243153230814,7.78646844483006,3.44540600714944e-15,5.58155773158209e-13
"CXCL10",5,"cytokine",1.82722966542904e-311,854,0.42159235809077,0.360214595358758,0.00548936728366447,11.181208973694,2.51993404026959e-29,4.08229314523674e-27
"CXCL11",12,"cytokine",3.72306335474472e-252,607,0.431805666812351,0.36060143434684,0.00853991524172901,8.33781489043149,3.78379582992367e-17,6.12974924447634e-15
"CXCL12",72,"cytokine",1.78624260374334e-127,716,0.410784499668155,0.35991765874112,0.00638997804151697,7.96040934672124,8.57355227479196e-16,1.3889154685163e-13
"CXCL13",16,"cytokine",1.79804938398159e-248,586,0.423641642821282,0.35939379216723,0.006951822353503,9.24187175491868,1.21111156677722e-20,1.96200073817909e-18
"CXCL16",21,"cytokine",9.7100669962456e-219,475,0.430925154396016,0.359440857472531,0.00852912308191154,8.38120123686432,2.61951193315668e-17,4.24360933171382e-15
"CXCL2",20,"cytokine",6.64363415507751e-226,580,0.422234187481323,0.359747452074524,0.00760226482923592,8.21948942984663,1.02185686180016e-16,1.65540811611626e-14
"CXCL3",40,"cytokine",8.36619969065746e-188,400,0.442146715297499,0.358453605659063,0.00829122121089313,10.0941836563809,2.93083716279003e-24,4.74795620371984e-22
"CXCL5",51,"cytokine",4.20813703283563e-169,479,0.429172639709017,0.358694639156865,0.00735233892126027,9.5857932158643,4.58749460044728e-22,7.4317412527246e-20
"CXCL6",73,"cytokine",1.55398894920951e-125,326,0.428576298493074,0.358983489292186,0.00930330056553523,7.48044295792184,3.70362572091109e-14,5.99987366787596e-12
"CXCL8",25,"cytokine",3.37403541534364e-208,898,0.408471748566101,0.359932776619893,0.00558183406516427,8.69588228162059,1.72072548070432e-18,2.78757527874101e-16
"CXCL9",4,"cytokine",1.04926545743811e-312,719,0.422640266401264,0.360533027955741,0.00645751015407286,9.6178305513544,3.36170980220747e-22,5.4459698795761e-20
"EBI3",125,"cytokine",1.02749207677486e-52,121,0.511842237220144,0.362437574874609,0.0172639336345677,8.65414948342834,2.48300440059254e-18,4.02246712895992e-16
"EPO",139,"cytokine",7.48168451053469e-35,351,0.406194782256264,0.361922802587012,0.00920846636282196,4.80774734085956,7.63202537611293e-07,0.00012363881109303
"FASLG",49,"cytokine",2.82609895967765e-172,717,0.422328796886369,0.358918303537745,0.0061187142402705,10.3633689789411,1.81956866652124e-25,2.9477012397644e-23
"FGF2",147,"cytokine",4.10496410776185e-28,540,0.393082997421414,0.359828538770176,0.00762629823423313,4.36049805946017,6.48833664734556e-06,0.00105111053686998
"FLT3LG",113,"cytokine",1.47086231015059e-66,654,0.407775148567452,0.359446666974736,0.00653479928983707,7.39555714708426,7.04082906359898e-14,1.14061430830303e-11
"GDF15",148,"cytokine",5.08261563947767e-28,310,0.396027468958943,0.359405475575757,0.0106394935748448,3.44208050181748,0.000288629216946402,0.0467579331453171
"GRN",144,"cytokine",6.22715843859778e-29,286,0.418002006489727,0.360562665481346,0.0112375110743518,5.11139349526243,1.59895548115797e-07,2.59030787947592e-05
"HMGB1",119,"cytokine",1.09054962414776e-60,556,0.405583618079989,0.358370438934006,0.00754121504126657,6.2606859620931,1.91643848860077e-10,3.10463035153324e-08
"IFNA1",19,"cytokine",3.60742597150627e-226,729,0.417867013420802,0.360053623775015,0.00685953302656546,8.42818154266304,1.75539053216713e-17,2.84373266211074e-15
"IFNA10",97,"cytokine",1.54310285705803e-97,296,0.464043635085329,0.360249024366064,0.0116370410402257,8.91933012528511,2.34558522671435e-19,3.79984806727725e-17
"IFNA13",90,"cytokine",5.16633502484004e-101,310,0.457190338175169,0.359405475575757,0.0106394935748448,9.19074408114751,1.95066623155592e-20,3.16007929512059e-18
"IFNA14",95,"cytokine",7.26511719924353e-99,306,0.457628780241427,0.35784248115579,0.0110654126276636,9.01785612912173,9.59030022673531e-20,1.55362863673112e-17
"IFNA16",98,"cytokine",8.2009739205742e-97,293,0.464377779081732,0.360918307471216,0.00991720717686584,10.432319277534,8.82630293177307e-26,1.42986107494724e-23
"IFNA17",76,"cytokine",8.09883524621826e-122,357,0.44979403390087,0.360335828001086,0.0105015753532189,8.51855106408997,8.07809005819777e-18,1.30865058942804e-15
"IFNA2",64,"cytokine",8.65691317133268e-151,422,0.432903925951204,0.359298236187055,0.00860351819480218,8.55530122649336,5.87806691485309e-18,9.522468402062e-16
"IFNA21",94,"cytokine",1.0006881976818e-99,305,0.458015251480314,0.359663910605433,0.00985548254067792,9.97935316398174,9.38431451041915e-24,1.5202589506879e-21
"IFNA4",86,"cytokine",1.44522449590607e-106,315,0.463722128905989,0.35881348726756,0.010325957702463,10.1597008879289,1.49997687085662e-24,2.42996253078773e-22
"IFNA5",87,"cytokine",1.16938522938628e-102,311,0.455198462993807,0.359318154929178,0.0109610589538433,8.7473581219094,1.09202854745672e-18,1.76908624687989e-16
"IFNA6",92,"cytokine",2.5685679225355e-100,306,0.45843512091041,0.35784248115579,0.0110654126276636,9.09072649519982,4.91897322995262e-20,7.96873663252324e-18
"IFNA7",93,"cytokine",3.90923659473204e-100,300,0.462250441624293,0.358758706832071,0.0121757688443278,8.49981106864019,9.49497579727601e-18,1.53818607915871e-15
"IFNA8",91,"cytokine",5.54624222223876e-101,311,0.456127365085965,0.359318154929178,0.0109610589538433,8.83210377432033,5.13625358624559e-19,8.32073080971786e-17
"IFNB1",22,"cytokine",3.52531156910255e-213,727,0.422796218438596,0.358547958536154,0.0060764303237853,10.5733558156591,1.98031692490747e-26,3.2081134183501e-24
"IFNE",114,"cytokine",5.19964520129687e-65,155,0.50233220980864,0.359077325428668,0.015593998822821,9.18653938657003,2.02841307768006e-20,3.28602918584171e-18
"IFNG",18,"cytokine",9.73883923196482e-236,1125,0.408248930733071,0.360183500845722,0.00477283301071797,10.0706288653746,3.72500967788788e-24,6.03451567817837e-22
"IFNK",108,"cytokine",6.63975422629029e-75,166,0.513182107968448,0.360184737138659,0.0160430948645911,9.53664938848369,7.37607913993761e-22,1.19492482066989e-19
"IFNL1",74,"cytokine",1.04382623151548e-123,276,0.472830266564973,0.361118382291005,0.0108890691005575,10.2590848898413,5.38613594962743e-25,8.72554023839644e-23
"IFNL2",88,"cytokine",1.99450474817807e-102,221,0.45463164531189,0.358034004541305,0.0143383002922678,6.73703568774308,8.08252440444219e-12,1.30936895351963e-09
"IFNL3",102,"cytokine",1.25441735482502e-87,213,0.461256625484209,0.358488153011087,0.0131802843409631,7.79713622366452,3.16639337718087e-15,5.129557271033e-13
"IFNW1",150,"cytokine",2.12417766409215e-23,83,0.437994546700787,0.362886876698604,0.0205532901947299,3.6542893760845,0.000128947635948673,0.0208895170236851
