"regulator","ID","type","FDR","count","avg_corr","rc_mean","rc_sd","zscore","pvalue","adj_pvalue"
"CCL2",8,"cytokine",4.26553543298932e-27,41,0.458621751607777,0.357392187585862,0.0300375316823768,3.37010261336843,0.000375700985633822,0.0176579463247896
"CCL20",12,"cytokine",2.3060997033419e-21,32,0.466494445834673,0.354502976997336,0.0331899284416781,3.37426062951989,0.000370071276106435,0.0173933499770025
"CCL3",16,"cytokine",3.06251599365623e-18,28,0.482955827683024,0.359796394815585,0.0305138561517842,4.03618055531267,2.7164205978094e-05,0.00127671768097042
"CCL4",11,"cytokine",8.47024298229711e-24,33,0.486023539082658,0.355457263799259,0.0371616847252692,3.513464910126,0.000221151415080631,0.0103941165087897
"CCL5",7,"cytokine",8.67346531075933e-28,51,0.453104775994842,0.357223684729161,0.0264524217679008,3.62466212382981,0.000144669735169441,0.00679947755296371
"CD40LG",36,"cytokine",1.38255608588937e-11,20,0.493300140564428,0.354832460643252,0.0434034080541938,3.19024901796386,0.00071075125688372,0.0334053090735349
"CSF2",17,"cytokine",6.41470708996893e-18,30,0.47211588084741,0.354737356539061,0.0337378518554175,3.47913449888187,0.000251518023957333,0.0118213471259947
"CXCL1",14,"cytokine",3.63986863144501e-20,33,0.481321186357026,0.355457263799259,0.0371616847252692,3.38692724746631,0.000353400640983412,0.0166098301262203
"CXCL10",3,"cytokine",6.88254742948789e-32,49,0.45275122001898,0.360394619896501,0.0293876184990188,3.14270447350344,0.000836973759501758,0.0393377666965826
"CXCL2",22,"cytokine",9.98241417372501e-16,27,0.499471783105549,0.357325149110632,0.0371038648160487,3.83104656885861,6.37996748204566e-05,0.00299858471656146
"CXCL8",5,"cytokine",5.83470744804477e-28,44,0.50217402006665,0.355381167574598,0.0320929772701073,4.57398674035707,2.39265068527426e-06,0.00011245458220789
"FASLG",45,"cytokine",3.30462137312366e-08,16,0.526524313854167,0.357448121045384,0.0480639834713468,3.51773158605501,0.000217626187858876,0.0102284308293672
"IFNB1",41,"cytokine",8.63846020156706e-10,20,0.519667238864199,0.354832460643252,0.0434034080541938,3.79773814109559,7.30112321041868e-05,0.00343152790889678
"IFNG",1,"cytokine",3.41887299321941e-46,70,0.508140474162551,0.358232562755788,0.0242972235261627,6.16975479710039,3.41979880678647e-10,1.60730543918964e-08
"IL10",6,"cytokine",7.03233466752468e-28,47,0.541889726514366,0.363502753521379,0.0294600675943381,6.05521261693475,7.01161592006013e-10,3.29545948242826e-08
"IL18",38,"cytokine",4.40420771598453e-11,20,0.540416402142228,0.354832460643252,0.0434034080541938,4.27579192093061,9.52295258449665e-06,0.000447578771471342
"IL1A",26,"cytokine",1.99644858041362e-13,27,0.531218199152284,0.357325149110632,0.0371038648160487,4.6866559832451,1.38852590877486e-06,6.52607177124184e-05
"IL1B",9,"cytokine",7.70705005042908e-26,47,0.512109742894218,0.363502753521379,0.0294600675943381,5.04435330628363,2.27528894685211e-07,1.06938580502049e-05
"IL2",10,"cytokine",5.37981185031318e-24,38,0.505741335099328,0.363424969520804,0.029843334805888,4.76878225922813,9.26714263187997e-07,4.35555703698359e-05
"IL4",13,"cytokine",2.46465763859496e-20,34,0.520389813579122,0.358985090786978,0.0331708303810423,4.865863197817,5.69791629324573e-07,2.67802065782549e-05
"IL5",37,"cytokine",2.27825853047408e-11,19,0.519727178147654,0.359175115958967,0.0471689263273313,3.40376757941293,0.000332316400998205,0.0156188708469156
"IL6",4,"cytokine",1.72780990819398e-28,61,0.479846056669644,0.358960391510906,0.0266286830487929,4.53967869673593,2.81700074625838e-06,0.000132399035074144
"IL7",21,"cytokine",8.49192041748595e-16,23,0.553760794379519,0.35687727246203,0.045193509374219,4.3564557088767,6.60927128961323e-06,0.000310635750611822
"TNF",2,"cytokine",8.69486972142304e-34,72,0.533091229994365,0.356373196510444,0.0232440458736455,7.60272262602469,1.44982276170484e-14,6.81416698001277e-13
