regulator,p_adj,n_overlap,overlap_genes
IFNG,3.4188729932194096e-46,70,"CCL11,CCL2,CCL3,CCL4,CCL5,CCR5,CD28,CD4,CD40,CD40LG,CD69,CD80,CD86,CD8A,CSF2,CSF3,CTLA4,CX3CL1,CXCL10,CXCL8,CXCL9,CXCR3,FASLG,FCGR3A,FCGR3B,FOXP3,GZMB,ICAM1,IDO1,IFNAR2,IFNB1,IFNGR2,IL10,IL10RA,IL12RB1,IL12RB2,IL13,IL15,IL17A,IL1B,IL2,IL22,IL27RA,IL2RA,IL2RB,IL2RG,IL3,IL4,IL4R,IL5,IL6,IL7R,IRF1,ITGAM,ITGAX,JAK2,NFKB1,PDCD1,PRF1,PSME1,PSME2,PTPRC,SOCS1,STAT1,STAT3,STAT4,TBX21,TLR2,TLR4,TNF"
TNF,8.69486972142304e-34,72,"BIRC3,CASP1,CASP3,CASP8,CCL2,CCL20,CCL3,CCL4,CCL5,CD4,CD40,CD40LG,CD80,CD83,CD86,CD8A,CRP,CSF2,CSF3,CXCL1,CXCL10,CXCL2,CXCL8,CYLD,FAS,FASLG,FOXP3,ICAM1,IFNB1,IFNG,IKBKE,IL10,IL13,IL17A,IL1B,IL2,IL4,IL5,IL6,IL6R,ITGAM,LTA,MLKL,MMP9,MYD88,NFKB1,NFKBIA,OPTN,PSME1,PSME2,PTGS2,RBCK1,RIPK3,SRC,STAT3,TANK,TGFB1,TLR2,TLR4,TNFAIP3,TNFRSF10A,TNFRSF10B,TNFRSF14,TNFRSF1B,TNFSF10,TNIP1,TRADD,TRAF1,TRAF2,TRAF3,VCAM1,ZFP36"
CXCL10,6.882547429487895e-32,49,"CCL11,CCL13,CCL19,CCL2,CCL20,CCL22,CCL26,CCL3,CCL4,CCL5,CCL8,CCR1,CCR2,CCR3,CCR5,CCR6,CCR7,CSF2,CSF3,CX3CL1,CXCL1,CXCL11,CXCL13,CXCL16,CXCL17,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,IFIT1,IFNB1,IFNG,IL10,IL1B,IL6,ISG15,STAT1,TLR2,TLR4,TNF,XCL1"
IL6,1.7278099081939815e-28,61,"CCL2,CCL20,CCL3,CCL4,CCL5,CD163,CD4,CD8A,CRP,CSF2,CSF3,CXCL1,CXCL10,CXCL2,CXCL8,CXCR4,FOXP3,ICAM1,IFNB1,IFNG,IL10,IL10RA,IL12RB1,IL12RB2,IL13,IL17A,IL17F,IL1B,IL1RN,IL2,IL21R,IL27RA,IL2RA,IL3,IL4,IL4R,IL5,IL6R,IL7R,IL9,JAK2,JAK3,LIF,LIFR,MMP9,MYD88,NFKB1,NFKBIA,OSM,OSMR,PTGS2,SAA1,SOCS3,STAT1,STAT3,TGFB1,TIMP1,TLR2,TLR4,TNF,VCAM1"
CXCL8,5.834707448044769e-28,44,"CCL11,CCL19,CCL2,CCL20,CCL22,CCL3,CCL4,CCL5,CCL7,CCL8,CCR1,CCR2,CCR3,CCR5,CCR6,CCR7,CSF2,CSF3,CXCL1,CXCL10,CXCL11,CXCL2,CXCL5,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,ICAM1,IFNG,IL10,IL13,IL17A,IL1B,IL1RN,IL2,IL4,IL5,IL6,NFKB1,PTGS2,TLR4,TNF,TNFAIP6"
IL10,7.032334667524685e-28,47,"CCL2,CCL22,CCL3,CCL4,CCL5,CD163,CD28,CD4,CD40,CD80,CD86,CD8A,CSF2,CSF3,CTLA4,CXCL1,CXCL10,CXCL8,FOXP3,IFNG,IL10RA,IL10RB,IL12RB1,IL12RB2,IL13,IL15,IL17A,IL1B,IL1RN,IL2,IL22,IL2RA,IL2RB,IL4,IL4R,IL5,IL6,IL6R,IL7R,IL9,STAT3,STAT4,TGFB1,TIMP1,TLR2,TLR4,TNF"
CCL5,8.673465310759328e-28,51,"ACKR2,CCL1,CCL11,CCL13,CCL17,CCL2,CCL20,CCL22,CCL25,CCL26,CCL3,CCL4,CCL8,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCRL2,CD8A,CSF2,CSF3,CX3CL1,CXCL1,CXCL10,CXCL11,CXCL13,CXCL17,CXCL2,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,GZMA,IFNG,IL10,IL1B,IL6,NFKB1,TNF,XCL1,XCL2"
CCL2,4.265535432989318e-27,41,"ACKR2,CCL11,CCL20,CCL22,CCL26,CCL4L2,CCL5,CCL8,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCRL2,CSF2,CSF3,CXCL1,CXCL10,CXCL13,CXCL17,CXCL2,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,ICAM1,IFNG,IL10,IL13,IL1B,IL4,IL6,NFKB1,SERPINE1,TNF,VCAM1"
IL1B,7.707050050429083e-26,47,"CASP1,CASP4,CASP8,CCL11,CCL2,CCL20,CCL3,CCL4,CCL5,CD4,CD40,CD8A,CSF2,CSF3,CXCL1,CXCL10,CXCL2,CXCL8,GSDMD,ICAM1,IFNG,IL10,IL13,IL17A,IL1RN,IL2,IL3,IL4,IL5,IL6,IL6R,IL9,MEFV,MMP9,MYD88,NFKB1,NFKBIA,NLRC4,NLRP3,PTGS2,STAT3,TGFB1,TLR2,TLR4,TLR9,TNF,TNFRSF1B"
IL2,5.379811850313184e-24,38,"ACE2,CD28,CD4,CD40LG,CD69,CD80,CD8A,CSF2,CSF3,CTLA4,CXCL8,FOXP3,IFNG,IL10,IL12RB1,IL13,IL15,IL15RA,IL17A,IL1B,IL21R,IL2RA,IL2RB,IL2RG,IL3,IL4,IL4R,IL5,IL6,IL6R,IL7R,IL9,JAK3,JCHAIN,LCK,PIGR,STAT5A,TNF"
