"regulator","ID","type","FDR","count","avg_corr","rc_mean","rc_sd","zscore","pvalue"
"ADIPOQ",74,"other",1.24e-12,69,0.442017229782287,0.357951225264284,0.0229312982578518,3.66599411741626,0.00012318979420331
"AIMP1",79,"cytokine",2.25e-11,13,0.52884960771344,0.360729652108559,0.0661367471318267,2.54200520732864,0.00551092657094513
"AREG",95,"growth factor",9.87e-09,31,0.453640920244462,0.354023804784847,0.0404786507310223,2.46097914976374,0.0069279209052992
"BMP10",97,"growth factor",5.85e-08,28,0.428973666690699,0.356872048665345,0.0422223280489018,1.70766562047091,0.0438492023927748
"BMP15",144,"growth factor",0.0153,7,0.392386721018879,0.350371709618014,0.0858538568112617,0.489378263963489,0.312286960815726
"BMP2",153,"growth factor",0.0329,31,0.385434570009448,0.354023804784847,0.0404786507310223,0.77598350383077,0.21887936300183
"BMP4",111,"growth factor",3.01e-06,57,0.362370333753705,0.358905069353335,0.0243294659151166,0.142430763275269,0.443369882251986
"BMP6",132,"growth factor",0.00225,20,0.44138317697206,0.352202039067602,0.0456027354971476,1.9556093934329,0.0252555927454722
"BMP7",140,"growth factor",0.00905,34,0.450223282952773,0.361105645239357,0.0355508397214853,2.50676604017196,0.00609206644393311
"CCL1",128,"cytokine",0.000984,6,0.482615080579431,0.377902301681026,0.092483599074943,1.13223079492778,0.128768708254364
"CCL11",65,"other",1.43e-13,25,0.39369238189889,0.359323444446249,0.0438350280491658,0.784051909675818,0.216504825897323
"CCL18",121,"cytokine",5.43e-05,6,0.33716105283769,0.377902301681026,0.092483599074943,-0.440524041568946,0.670221198185502
"CCL19",96,"cytokine",2.21e-08,11,0.468607134646585,0.357019464908338,0.0639687546423127,1.74440897532241,0.0405439005331556
"CCL2",51,"cytokine",5.25e-18,53,0.436447091654293,0.366285670327399,0.0277919686022878,2.52452146628859,0.00579279645000759
"CCL20",72,"cytokine",6.89e-13,23,0.50538866936895,0.356973200449334,0.0416199244359115,3.56597160929866,0.000181255308825943
"CCL21",104,"cytokine",3.18e-07,7,0.549090600217951,0.350371709618014,0.0858538568112617,2.31461809615373,0.0103169208210427
"CCL3",69,"cytokine",4.2e-13,18,0.55680756470584,0.360242370641057,0.0515487745933677,3.81318849216783,6.85927022332714e-05
"CCL4",117,"cytokine",1.18e-05,9,0.517467281231427,0.356339055362872,0.0696742325524647,2.31259419681767,0.0103724804479754
"CCL5",59,"cytokine",5.52e-15,35,0.464147388487148,0.354093880532423,0.0393189746867146,2.79899231431157,0.00256311787957021
"CD40LG",7,"cytokine",8.55e-108,209,0.483569905601917,0.360783657495487,0.0132266916371364,9.28321695817602,8.22186163767048e-21
"CMTM3",152,"cytokine",0.0292,15,0.409336679531692,0.361682077882925,0.0569063445258109,0.837421592370109,0.201177816431187
"CNTF",48,"cytokine",1.41e-19,68,0.428458856785459,0.358633811161296,0.0248073033289947,2.81469713568389,0.00244116112210388
"CRLF1",125,"cytokine",0.000251,4,0.500062701811419,0.343697834809809,0.121609177422783,1.28579824578532,0.0992567413062681
