regulator,p_value,overlap_genes,n_overlap,fdr
IFNG,9.35372136245428e-133,"APOBEC3F,APOL2,B2M,BAK1,BBX,BTN3A1,BTN3A2,C1R,C1RL,C1S,CALCOCO2,CASP4,CASP7,CBR3,CD47,CDCP1,CTNNBL1,CYLD,DDX23,DNPEP,DRAM1,ELF4,ERAP1,ERAP2,FEM1C,FZD5,GBP1,GBP2,GCH1,GCLM,GOLM1,GSTK1,GTPBP1,HLA-A,HLA-C,HLA-DPA1,HLA-E,HLA-F,HLA-G,IFI16,IFI35,IFI44,IFI6,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL15,IL32,IRF1,IRF2,IRF7,JAK2,KLF4,LAP3,LGALS3BP,LYN,MICB,MR1,MUC1,MVP,MYD88,NAPA,NMI,OGFR,OPTN,PANX1,PARP12,PARP3,PHF11,PIM1,PLSCR1,PMAIP1,PML,PROCR,PSMB8,PSME1,PTGS2,PUS3,RALA,RBCK1,RFX5,RIPK1,RIPK2,RNF114,RNF19B,RNF24,SAMD9,SAMHD1,SCYL3,SECTM1,SERPINB1,SFT2D2,SLC12A7,SLC25A28,SP100,SP110,STAT1,STAT2,STAT3,TAP1,TAP2,TAPBP,TAPBPL,TDRD7,TNFAIP2,TOP1,TRAFD1,TRIM22,UBE2L6,ZC3HAV1,ZNF267",113,4.770397894851683e-131
IFN1,1.4777311534502573e-99,"APOBEC3F,APOL2,B2M,BBX,BLZF1,BTN3A1,BTN3A2,C1GALT1C1,CALCOCO2,CASP4,CASP7,CD47,CEBPD,CFLAR,CPEB3,CYP2J2,DCP1A,DNPEP,ELF4,ERAP2,GBP1,GBP2,GCH1,GTPBP1,HLA-A,HLA-C,HLA-E,HLA-F,HLA-G,IFI16,IFI35,IFI44,IFI6,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL15,IRF1,IRF2,IRF7,JAK2,KLF6,LAP3,LGALS3BP,LGMN,MICB,MR1,MVP,MYD88,N4BP1,NAPA,NMI,OGFR,OPTN,PANX1,PARP12,PHF11,PLSCR1,PMAIP1,PML,PRKD2,PSMB8,PSME1,RAB8B,RBCK1,RIPK1,RIPK2,RNF114,RNF19B,SAMD9,SAMHD1,SECTM1,SERPINB1,SLC25A28,SP100,SP110,SPSB1,SPTLC2,STAT1,STAT2,STAT3,TAP1,TAP2,TAPBP,TAPBPL,TDRD7,TINF2,TMEM62,TRAFD1,TRIM22,UBE2L6,ZC3HAV1",94,3.768214441298156e-98
IL27,3.177926851814576e-88,"APOBEC3F,APOL2,B2M,BAK1,BLZF1,BTN3A1,BTN3A2,C1R,C1RL,C1S,CALCOCO2,CASP4,CASP7,CD47,CEBPD,DNPEP,DPYD,DRAM1,ERAP2,FLNB,GBP1,GBP2,GCH1,GSTK1,HLA-A,HLA-C,HLA-E,HLA-F,HLA-G,IFI16,IFI35,IFI44,IFI6,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL15,IL32,IRF1,IRF2,JAK2,LAP3,LGALS3BP,LGALS8,LGMN,MVP,MYD88,NAPA,NMI,OGFR,OPTN,PARP12,PARP3,PHF11,PLSCR1,PML,PSMB8,PSME1,QPCT,RAB27A,RBCK1,RIPK2,RNF114,RNF19B,SAMD9,SAMHD1,SECTM1,SLC12A7,SLC25A28,SNX16,SP100,SP110,STAT1,STAT2,STAT3,TAP1,TAP2,TAPBP,TAPBPL,TDRD7,TMEM62,TNFAIP2,TRAFD1,TRIM22,UBE2L6",87,5.402475648084779e-87
TNFA,1.4807377130403953e-58,"BHLHE40,BMP2,BTN2A2,CASP7,CBR3,CD47,CEBPD,CFLAR,CYLD,DRAM1,DUSP10,EDN1,EHD1,ERAP2,GBP1,GBP2,GCH1,HBEGF,HLA-A,HLA-F,ID1,IFI35,IFIT2,IFIT3,IL15,IL32,IRF1,IRF2,IRF7,JUNB,KLF6,MICB,N4BP1,NECAP2,NEDD9,NFKBIA,NINJ1,NMI,OPTN,PANX1,PARP12,PLAUR,PMAIP1,PML,PPP1R15A,PRDM1,PTGS2,RFX5,RIPK2,RNF19B,SLC12A7,SLC25A28,SLC2A6,SPHK1,TAP1,TAPBP,TAPBPL,TDRD7,TICAM1,TNFAIP1,TNFAIP2,TNFAIP3,TNFAIP8,TNIP1,TNIP2,TP53BP2,ZNF267",67,1.887940584126504e-57
IL1B,7.168337384782353e-48,"APOL2,BMP2,CASP7,CBR3,CEBPD,CFLAR,CYLD,DRAM1,EHD1,GBP1,GBP2,GCH1,HBEGF,HLA-E,HLA-F,ID1,IFI35,IFIT2,IFIT3,IFIT5,IL15,IL32,IRF1,IRF2,IRF7,JUNB,LYN,MMP1,NAV3,NFKBIA,NINJ1,NMI,OPTN,PANX1,PARP12,PDLIM4,PIM1,PLAUR,PLSCR1,PMAIP1,PPP1R15A,PSMB8,PTGS2,RIPK2,RNF19B,SLC12A7,SLC25A28,SLC2A6,SPHK1,SPSB1,TAP1,TAP2,TAPBP,TICAM1,TNC,TNFAIP2,TNFAIP3,TNFAIP8,TNIP1",59,7.311704132477999e-47
TWEAK,8.410663871447803e-43,"BHLHE40,BMP2,BTN2A2,BTN3A1,CD47,CDC42EP4,CFLAR,CYLD,DRAM1,DUSP10,EDN1,EHD1,ERAP1,GBP1,GCH1,GPRC5A,HBEGF,HLA-A,HLA-E,HLA-F,HLA-G,ID1,IL15,IL32,IRF1,ITSN2,JUNB,LBH,NECAP2,NFKBIA,NINJ1,NMI,NRG1,PANX1,PARP12,PDLIM4,PHF11,PML,PSMB8,RFX5,RNF19B,SLC12A7,SLC2A6,SPHK1,TAP1,TAP2,TAPBP,TAPBPL,TICAM1,TNFAIP2,TNFAIP3,TNIP1,TNIP2,UBE2L6,ZNF267",55,7.149064290730632e-42
IFNL,2.1699960117461017e-34,"APOL2,B2M,BHLHE40,CASP7,ERAP2,GBP1,GBP2,GCLM,HLA-E,IFI35,IFI6,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IRF1,IRF7,JUNB,KLF6,LAP3,LGALS3BP,MYD88,N4BP1,NMI,OGFR,PARP12,PHF11,PIM1,PLSCR1,PML,PRKD2,PSMB8,RBCK1,RIPK1,SAMD9,SLC25A28,SP100,SP110,STAT1,STAT2,TAP1,TAP2,TDRD7,TMEM62,TRIM22,UBE2L6,ZC3HAV1",48,1.58099709427216e-33
IL1A,4.2555914998094084e-32,"B2M,BACH1,BMP2,BTN2A2,C1S,CD47,CDCP1,CEBPD,EDN1,EHD1,ERAP1,GBP1,GCH1,HBEGF,HDAC9,HLA-F,HLA-G,ID1,IFITM1,IL32,IRF1,KLF6,MMP1,NAV3,NEDD9,NFKBIA,NINJ1,OPTN,PARP12,PHF11,PLAUR,PMAIP1,PPP1R15A,PTGS2,SERPINB1,SLC2A6,TAP1,TAPBP,TICAM1,TNC,TNFAIP1,TNFAIP2,TNFAIP3,TNFAIP8,TNIP1,ZC3HAV1",46,2.712939581128498e-31
CD40L,7.345955693803964e-30,"BHLHE40,BMP2,CDC42EP4,CFLAR,CTSC,DRAM1,EDN1,EHD1,GBP1,GCH1,HLA-G,ID1,IFIT2,IL32,IRF7,JUNB,KLF6,LYN,MARCKSL1,MUC1,NDRG1,NFKBIA,NINJ1,PANX1,PLAGL2,PLAUR,PLOD2,PMAIP1,PPP1R15A,PTGS2,RIPK2,RNF19B,SERPINB1,SLC2A6,SPHK1,TICAM1,TNC,TNFAIP1,TNFAIP2,TNFAIP3,TNFAIP8,TNIP1,TP53BP2,ZNF672",44,4.162708226488913e-29
OSM,1.1220408229899672e-27,"APOL2,ATG4A,B2M,BAK1,BHLHE40,C1R,C1RL,C1S,CARHSP1,CASP4,CASP7,CD47,CEBPD,EDN1,FLOT2,GBP2,GOLM1,HLA-E,IFITM1,IFITM2,IRF1,JUNB,LGMN,LY96,MUC1,MVP,NMI,PIM1,PLOD2,PLSCR1,PMAIP1,PROS1,PUS3,RAB27A,SERPINB1,SOCS6,SP110,STAT1,STAT2,STAT3,TAP1,UBE2L6",42,5.722408197248833e-27
