regulator,p_value,overlap_genes,n_overlap,fdr
IFN1,1.0495795196470223e-9,"IFI35,IFI6,IFIT3,IFITM1,IFITM2,IRF7,LGALS3BP,LY6E,UBE2L6",9,1.5393832954822993e-8
IFNG,1.0491224943082219e-9,"IFI35,IFI6,IFIT3,IFITM1,IFITM2,IRF7,LGALS3BP,LY6E,UBE2L6",9,1.5393832954822993e-8
IFNL,1.0491224943082219e-9,"IFI35,IFI6,IFIT3,IFITM1,IFITM2,IRF7,LGALS3BP,LY6E,UBE2L6",9,1.5393832954822993e-8
IL27,2.4296088220793438e-8,"IFI35,IFI6,IFIT3,IFITM1,IFITM2,LGALS3BP,LY6E,UBE2L6",8,2.6725697042872784e-7
IL6,4.8626039811144e-7,"DKK1,IFI35,IFITM1,IFITM2,IRF7,LGALS3BP,UBE2L6",7,4.279091503380672e-6
IL10,1.1795246824077359e-4,"IFI6,IFIT3,IFITM2,LY6E,TIMP1",5,7.414155146562912e-4
TGFB2,1.1795246824077359e-4,"IFI35,IFIT3,IFITM1,LY6E,S100A4",5,7.414155146562912e-4
IL22,0.001366368473632245,"DKK1,IFIT3,IFITM1,IFITM2",4,0.006013126323559391
LIF,0.0013666196189907704,"IFI6,IFIT3,IFITM2,IRF7",4,0.006013126323559391
OSM,0.001366368473632245,"IFITM1,IFITM2,TIMP1,UBE2L6",4,0.006013126323559391
HGF,0.012432343476665688,"DKK1,IFIT3,TIMP1",3,0.03039833546573693
HMGB1,0.012432343476665688,"ADAMTS1,DKK1,IRF7",3,0.03039833546573693
IL1B,0.012434012934627614,"IFI35,IFIT3,IRF7",3,0.03039833546573693
IL21,0.012434012934627614,"IFI35,IFITM1,IRF7",3,0.03039833546573693
NO,0.012432343476665688,"IFITM2,IRF7,UBE2L6",3,0.03039833546573693
PGE2,0.012435682690528744,"ADAMTS1,DKK1,IFIT3",3,0.03039833546573693
TNFA,0.012432343476665688,"IFI35,IFIT3,IRF7",3,0.03039833546573693
WNT3A,0.012434012934627614,"ADAMTS1,DKK1,IFITM1",3,0.03039833546573693
