Upstream.Regulator,Molecule.Type,p.value.of.overlap,B.H.corrected.p.value,Target.Molecules.in.Dataset
IFNL1,cytokine,4.2e-42,1.07e-39,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,LGALS3BP,MX1,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,UBE2L6,USP18"
IFNA2,cytokine,2.33e-40,3.78e-38,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18"
CSF1,cytokine,3.77e-37,4.49e-35,"BST2,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18"
IFNG,cytokine,1.38e-26,6.86e-25,"BST2,CFB,CMPK2,DDX60,DKK1,HCP5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RIGI,RSAD2,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18"
IFNB1,cytokine,6.97e-25,2.96e-23,"BST2,CMPK2,HERC5,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,PARP9,RIGI,RSAD2,TIMP1,TRIM21,USP18"
IL4,cytokine,1.38e-24,5.73e-23,"BST2,CARD16,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TIMP1,TRIM21,UBE2L6,USP18"
IL27,cytokine,2.11e-24,8.55e-23,"BST2,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,TRIM21,UBE2L6"
IL1RN,cytokine,5.73e-21,1.86e-19,"IFI44L,IFI6,IFIT3,IRF7,MX1,MX2,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,TIMP1,USP18"
TNF,cytokine,8.5e-20,2.62e-18,"BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GAST,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RIGI,RSAD2,SLC40A1,TIMP1,TRIM21"
IFNL4,cytokine,1.3e-19,3.93e-18,"IFI6,IFIT1,ISG15,MX1,OAS1,OAS2,OASL,RIGI"
IL1B,cytokine,6.11e-18,1.68e-16,"ADAMTS1,CFB,CMPK2,DDX60,GAST,HELZ2,HERC5,IFIT1,IFIT3,IFITM2,IRF7,ISG15,MX1,OAS1,OAS2,OAS3,PARP9,RGCC,RIGI,RSAD2,TIMP1,TRIM21,UBE2L6,USP18"
IFNA4,cytokine,6.91e-10,8.33e-9,"BST2,IFIT1,ISG15,MX1,RSAD2,USP18"
IFNE,cytokine,1.91e-8,1.95e-7,"BST2,HERC5,ISG15,MX2,USP18"
IL15,cytokine,4.22e-8,4.12e-7,"BST2,IFI35,IFI6,IFIT1,IFITM1,ISG15,LY6E,MX1,TIMP1,UBE2L6"
IFNL2,other,4.51e-8,4.33e-7,"IFIT1,IRF7,MX1,RSAD2"
TNFSF10,cytokine,3.45e-7,3.03e-6,"IFI6,IFIT1,IFITM1,IFITM2,ISG15,TIMP1"
PF4,cytokine,1.38e-6,1.08e-5,"CMPK2,ISG15,RIGI,RSAD2,USP18"
IFNA14,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1"
IFNA10,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1"
IFNA21,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1"
IFNA5,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1"
IFNA7,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1"
IFNA6,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1"
IFNA8,cytokine,2.95e-6,2.16e-5,"IFIT1,ISG15,MX1"
IFNA16,cytokine,2.95e-6,2.16e-5,"IFIT1,ISG15,MX1"
THPO,cytokine,2.99e-6,2.18e-5,"CMPK2,ISG15,RIGI,RSAD2,USP18"
MIF,cytokine,1.14e-5,7.63e-5,"IRF7,ISG15,OAS3,TIMP1,USP18"
