Upstream.Regulator,Molecule.Type,p.value.of.overlap,B.H.corrected.p.value,Target.Molecules.in.Dataset
IL1B,cytokine,3.51e-34,1.53e-30,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,IL1R2,IL36G,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,SAA1,SAA2,SOCS1,SQSTM1,TMEM132A,TNFAIP3,TNFSF10,TYMP"
IL1A,cytokine,4.56e-32,9.96e-29,"BIRC3,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,IL1R2,IL36G,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NOD2,RHCG,S100A7,SAA1,SAA2,TNFAIP3"
TNF,cytokine,7.56e-32,1.1e-28,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,HDAC9,ICAM1,IGFBP3,IL1R2,IL36G,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SEMA3C,SERPINB1,SOCS1,SQSTM1,TNFAIP3,TNFSF10,TYMP"
IL17A,cytokine,2.61e-29,2.84e-26,"C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,IL36G,LYN,MMP1,MMP9,MUC1,NOD2,PLAUR,S100A7,SAA1,SOCS1,SQSTM1,TNFAIP3,TNFSF10,TYMP"
IFNG,cytokine,2.74e-27,2.39e-24,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,HDAC9,ICAM1,IL36G,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SEMA3C,SOCS1,SQSTM1,TNFSF10,TYMP"
IL10,cytokine,2.81e-21,8.19e-19,"BMP2,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HDAC9,ICAM1,IL1R2,INHBA,LYN,MMP1,MMP9,MUC1,NOD2,PSMB9,SOCS1,TNFSF10"
OSM,cytokine,1.17e-19,2.33e-17,"CCL20,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,IL1R2,MMP1,MMP10,MMP9,PSMB9,S100A7,S100P,SAA1,SERPINB1,SOCS1,TYMP"
CD40LG,cytokine,1.4e-19,2.66e-17,"BIRC3,CCL20,CD83,CXCL5,CXCL8,ICAM1,INHBA,MMP10,NFKB2,NFKBIE,PLAUR,PSMB9,RELB,SOCS1,TNFAIP3,TNFSF10,TYMP"
IL17F,cytokine,2.82e-19,4.92e-17,"CCL20,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,LYN,MMP1,PLAUR,SAA1,TNFSF10"
IL22,cytokine,8.37e-19,1.26e-16,"C3,CCL20,CXCL3,CXCL5,CXCL8,HBEGF,IL36G,MMP1,MMP9,MUC1,S100A7,SAA1"
TNFSF14,cytokine,6.03e-18,7.98e-16,"BIRC3,CCL20,CSF2,CXCL3,CXCL5,ICAM1,IL1R2,INHBA,MMP1,MMP9"
IL6,cytokine,8.3e-18,9.8e-16,"BMP2,C3,CCL20,CD83,CSF2,CXCL5,CXCL8,ICAM1,IGFBP3,MMP1,MMP10,MMP9,MUC1,NCF2,PSMB9,S100A7,SAA1,SAA2,SOCS1,TNFSF10"
CSF2,cytokine,1.52e-17,1.7e-15,"BIRC3,C3,CD83,CSF2,CXCL8,HBEGF,ICAM1,IL36G,INHBA,MMP1,MMP9,NFKB2,PLAUR,RELB,SOCS1,SQSTM1,TNFAIP3"
TGFB1,growth factor,2.02e-14,1.32e-12,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL8,HBEGF,HDAC9,ICAM1,IGFBP3,INHBA,MMP1,MMP10,MMP9,NCF2,NFKB2,PLAUR,SOCS1,SQSTM1,TNFAIP3,TNFSF10,TYMP"
TNFSF11,cytokine,7.01e-14,3.82e-12,"CD83,CXCL8,ICAM1,MMP1,MMP9,NFKB2,NFKBIE,PLAUR,RELB,SAA1,SAA2,SOCS1"
IL4,cytokine,2.79e-13,1.35e-11,"C3,CCL20,CD83,CSF2,CXCL8,HBEGF,ICAM1,IL1R2,MMP1,MMP10,MMP9,MUC1,NFKB2,NFKBIE,PSMB9,SOCS1,SQSTM1,TNFAIP3,TYMP"
HMGB1,transcription regulator,7.47e-13,3.47e-11,"CCL20,CD83,CXCL5,CXCL8,ICAM1,MMP1,MMP9,RELB,SQSTM1"
IL1RN,cytokine,1.98e-12,8.02e-11,"C3,CCL20,CXCL5,CXCL8,HDAC9,ICAM1,MMP1,MMP9,TNFSF10"
ADIPOQ,other,3.85e-12,1.46e-10,"BMP2,CCL20,CXCL3,CXCL8,HBEGF,HDAC9,ICAM1,MMP1,MMP9,NCF2,TNFAIP3"
TNFSF13B,cytokine,4.49e-12,1.66e-10,"CD83,CSF2,CXCL8,ICAM1,INHBA,MMP9,NFKB2,PLAUR,RELB"
PF4,cytokine,7.02e-12,2.51e-10,"C3,CD83,CXCL3,CXCL8,ICAM1,INHBA,NFKB2,TNFAIP3"
IL3,cytokine,5.76e-11,1.67e-9,"BIRC3,BMP2,CD83,CSF2,CXCL8,HBEGF,ICAM1,LYN,MMP1,SOCS1,TNFSF10"
IL13,cytokine,6e-11,1.71e-9,"C3,CCL20,CXCL5,CXCL8,HBEGF,ICAM1,IL1R2,MMP1,MMP10,MMP9,SOCS1,TNFSF10"
CXCL8,cytokine,7.09e-11,1.98e-9,"C3,CXCL5,CXCL8,ICAM1,MMP10,MMP9,NCF2,SOCS1"
TNFSF12,cytokine,9.54e-11,2.6e-9,"CSF2,CXCL8,ICAM1,IL1R2,MMP1,MMP10,MMP9,NFKB2"
TNFSF15,cytokine,1.79e-10,4.62e-9,"BIRC3,C3,CD83,CSF2,CXCL5,CXCL8,MMP9"
VEGFA,growth factor,1.98e-10,4.97e-9,"BMP2,CD83,CSF2,CXCL8,HBEGF,ICAM1,MMP1,MMP10,MMP9,PLAUR"
IL33,cytokine,2.14e-10,5.31e-9,"CD83,CSF2,CXCL8,ICAM1,MMP10,MMP9,NFKB2,NFKBIE,RELB,TNFAIP3,TNFSF10"
CSF3,cytokine,3.29e-10,7.77e-9,"BIRC3,CXCL5,CXCL8,ICAM1,MMP9,S100P,SOCS1,TNFAIP3,TNFSF10"
IL36A,cytokine,5.14e-10,1.18e-8,"CCL20,CSF2,CXCL8,IL36G,S100A7"
TIMP1,cytokine,5.2e-10,1.19e-8,"CCL20,CSF2,CXCL5,IGFBP3,MMP9,PLAUR"
IL2,cytokine,5.46e-10,1.24e-8,"BIRC3,BMP2,C3,CD83,CSF2,CXCL8,HBEGF,ICAM1,IL1R2,MMP9,SOCS1,TNFAIP3,TNFSF10"
FGF2,growth factor,1.1e-9,2.33e-8,"BMP2,CCL20,HBEGF,ICAM1,IGFBP3,INHBA,MMP1,MMP9,PLAUR,SQSTM1,TNFSF10"
EDN1,cytokine,3.23e-9,6.25e-8,"CXCL8,HBEGF,ICAM1,INHBA,MMP1,MMP9,PLAUR,SOCS1"
TSLP,cytokine,3.52e-9,6.72e-8,"CD83,CSF2,CXCL8,ICAM1,MMP10,SQSTM1"
IL18,cytokine,3.74e-9,7.06e-8,"CCL20,CD83,CSF2,CXCL8,ICAM1,MMP1,MMP9,SERPINB1"
CXCL12,cytokine,4.31e-9,8e-8,"BMP2,CXCL8,ICAM1,MMP9,SAA2,SOCS1,SQSTM1,TNFSF10"
IFNB1,cytokine,7.37e-9,1.3e-7,"CD83,CSF2,CXCL8,ICAM1,MMP9,NFKBIE,NOD2,SOCS1,TNFSF10"
CCL2,cytokine,1.1e-8,1.86e-7,"CXCL5,CXCL8,ICAM1,INHBA,MMP1,MMP10,MMP9"
SPP1,cytokine,1.66e-8,2.72e-7,"CCL20,CXCL3,CXCL5,CXCL8,ICAM1,MMP1,MMP9,NRCAM"
IL11,cytokine,2.27e-8,3.61e-7,"CCL20,CXCL8,ICAM1,MMP1,MMP9,MUC1"
IL36G,cytokine,3.01e-8,4.66e-7,"C3,CCL20,CD83,CSF2,CXCL8,MMP9,RELB"
WNT7A,cytokine,1.33e-7,1.7e-6,"MMP1,MMP10,MMP9,PLAUR"
IL17C,cytokine,1.56e-7,1.92e-6,"CCL20,CXCL8,IL36G,S100A7"
IL27,cytokine,1.88e-7,2.26e-6,"CCL20,CSF2,CXCL8,ICAM1,PSMB9,SOCS1,TNFSF10"
CSF1,cytokine,1.94e-7,2.32e-6,"CD83,MMP9,NCF2,NFKB2,PSMB9,SOCS1,TNFAIP3,TYMP"
IL26,cytokine,4.03e-7,4.51e-6,"CCL20,CXCL8,ICAM1"
IL37,cytokine,5.54e-7,6.01e-6,"BMP2,CSF2,CXCL8,S100A7"
IL5,cytokine,6.82e-7,7.14e-6,"CSF2,CXCL8,HBEGF,ICAM1,IL1R2,MMP9,SOCS1"
IL21,cytokine,8.29e-7,8.49e-6,"CCL20,CSF2,CXCL8,MMP9,PSMB9,SOCS1"
AREG,growth factor,1.05e-6,1.05e-5,"C3,CCL20,CXCL8,MMP1,MMP9"
IL24,cytokine,2.5e-6,2.2e-5,"CCL20,CXCL8,HBEGF,TNFSF10"
IL15,cytokine,2.58e-6,2.25e-5,"CD83,CSF2,CXCL8,HBEGF,LYN,PSMB9,SOCS1,TNFSF10"
BMP7,growth factor,3.52e-6,3e-5,"BMP2,CXCL8,ICAM1,IGFBP3,MMP9,TMEM132A"
IL12B,cytokine,3.56e-6,3.02e-5,"CSF2,CXCL8,ICAM1,SOCS1"
TNFSF10,cytokine,5.15e-6,4.12e-5,"BIRC3,CXCL8,MMP9,TNFAIP3,TNFSF10"
IL19,cytokine,5.4e-6,4.27e-5,"MMP1,MMP9,SOCS1"
IL7,cytokine,6.08e-6,4.73e-5,"CSF2,LYN,MMP9,SOCS1,TNFSF10"
GDF2,growth factor,6.48e-6,4.97e-5,"CXCL8,ICAM1,MMP9,NRCAM,SEMA3C"
MIF,cytokine,6.91e-6,5.26e-5,"CXCL8,ICAM1,MMP1,MMP9,SQSTM1"
IFNA2,cytokine,8.51e-6,6.26e-5,"HBEGF,LYN,MMP9,SOCS1,TNFSF10,TYMP"
IL36B,cytokine,9.55e-6,6.78e-5,"CCL20,CD83,CXCL8"
MSTN,growth factor,9.95e-6,7.03e-5,"BMP2,IGFBP3,INHBA,MMP10,SEMA3C"
CCL25,cytokine,2.91e-5,1.76e-4,"CXCL8,MMP1"
NAMPT,cytokine,3.81e-5,2.24e-4,"CCL20,CXCL8,MMP1,MMP9"
TGFB2,growth factor,4.02e-5,2.33e-4,"CXCL8,HBEGF,INHBA,MMP9,TMEFF1"
CCL15,cytokine,4.37e-5,2.47e-4,"CXCL8,ICAM1"
INHBA,growth factor,4.66e-5,2.61e-4,"BMP2,CCL20,CXCL8,INHBA,SOCS1"
WNT5A,growth factor,4.96e-5,2.75e-4,"CXCL8,MMP1,MMP10,MMP9,TNFSF10"
THPO,cytokine,5.03e-5,2.79e-4,"ICAM1,INHBA,NFKB2,TNFAIP3"
LIF,cytokine,5.27e-5,2.91e-4,"BMP2,CXCL8,HBEGF,MMP1,SOCS1"
CCL11,cytokine,7.44e-5,3.86e-4,"CXCL5,CXCL8,ICAM1"
IL36RN,cytokine,8.13e-5,4.13e-4,"CXCL8,IL36G"
TGFB3,growth factor,8.29e-5,4.2e-4,"MMP1,MMP10,MMP9,PLAUR"
KITLG,growth factor,9.62e-5,4.8e-4,"CSF2,CXCL8,IGFBP3,NFKB2,SOCS1"
IL17D,cytokine,1.04e-4,5.14e-4,"CSF2,CXCL8"
IL32,cytokine,2.05e-4,9.13e-4,"CXCL8,ICAM1,MMP9"
CXCL16,cytokine,2.25e-4,9.84e-4,"CXCL8,SAA2"
LTA,cytokine,2.65e-4,0.00113,"CCL20,NFKB2,RELB"
AIMP1,cytokine,3.03e-4,0.00126,"CXCL8,ICAM1"
CCL5,cytokine,3.89e-4,0.00155,"CXCL8,MMP9,PLAUR"
FLT3LG,cytokine,4.03e-4,0.00159,"CD83,ICAM1,SOCS1"
IFNL1,cytokine,5.12e-4,0.00193,"CD83,CXCL8,PSMB9"
CXCL1,cytokine,5.45e-4,0.00203,"ICAM1,MMP1"
IL25,cytokine,6.37e-4,0.0023,"CSF2,CXCL8,IL1R2"
BMP2,growth factor,0.00156,0.00491,"BMP2,IGFBP3,INHBA,MMP9"
TNFRSF11B,transmembrane receptor,0.00187,0.00543,"BMP2,MMP9"
NRG1,growth factor,0.00189,0.00549,"CXCL8,HBEGF,MMP9,PLAUR"
CTF1,cytokine,0.00198,0.00568,"MMP1,SOCS1"
IL12A,cytokine,0.00198,0.00568,"ICAM1,SOCS1"
TNFSF9,cytokine,0.00219,0.0062,"CXCL8,ICAM1"
BMP4,growth factor,0.00249,0.00694,"BMP2,INHBA,LYN,S100P"
GPR15LG,cytokine,0.00252,0.007,"CSF2,RELB"
CX3CL1,cytokine,0.00254,0.00704,"ICAM1,MMP9,SAA2"
FASLG,cytokine,0.0034,0.0087,"CSF2,CXCL8"
GH1,growth factor,0.00356,0.00894,"BMP2,IGFBP3,SOCS1"
EBI3,cytokine,0.00518,0.0118,"ICAM1,TNFSF10"
BMP1,peptidase,0.00518,0.0118,IGFBP3
CXCL11,cytokine,0.00518,0.0118,MMP9
INHBC,growth factor,0.00518,0.0118,INHBA
GRN,growth factor,0.00589,0.0132,"C3,ICAM1,SQSTM1"
CNTF,cytokine,0.00644,0.0144,"CXCL8,MMP1,SOCS1"
CRLF1,cytokine,0.0069,0.0145,ICAM1
GDF11,growth factor,0.00749,0.0156,"BMP2,ICAM1"
BMP10,growth factor,0.0118,0.0212,"CD83,ICAM1"
IL17B,cytokine,0.012,0.0212,MMP9
CCL21,cytokine,0.0137,0.0233,CXCL8
CCL18,cytokine,0.0137,0.0233,MMP9
BMP6,growth factor,0.014,0.0237,"HBEGF,INHBA"
CXCL9,cytokine,0.0155,0.0253,MMP9
CCL7,cytokine,0.0155,0.0253,ICAM1
CXCL13,cytokine,0.0172,0.0273,MMP1
SCG2,cytokine,0.0189,0.0291,MMP9
CXCL5,cytokine,0.0239,0.0345,MMP1
CCL19,cytokine,0.0256,0.0361,CSF2
CXCL10,cytokine,0.029,0.0395,MMP9
GPI,enzyme,0.0307,0.0413,CXCL8
IFNL3,other,0.0323,0.043,MMP9
IFNW1,cytokine,0.034,0.0447,CD83
FAM3B,cytokine,0.039,0.0496,IGFBP3
IFNK,cytokine,0.039,0.0496,CD83
