Upstream.Regulator,Molecule.Type,p.value.of.overlap,B.H.corrected.p.value,Target.Molecules.in.Dataset
TNFSF13B,cytokine,1.22e-9,7.2e-7,"CD83,CSF2,INHBA,MMP9,NFKB2"
CSF2,cytokine,1.2e-8,5.32e-6,"CD83,CSF2,INHBA,MMP9,NFKB2,SQSTM1"
IL1B,cytokine,8.39e-8,1.99e-5,"CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SQSTM1"
TNF,cytokine,1.59e-7,2.84e-5,"CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SEMA3C,SQSTM1"
IFNG,cytokine,5.08e-7,6.09e-5,"CD83,CSF2,INHBA,MMP9,NFKB2,SEMA3C,SQSTM1"
IL17A,cytokine,5.46e-7,6.09e-5,"CD83,CSF2,IGFBP3,MMP9,SQSTM1"
TIMP1,cytokine,9.3e-7,7.34e-5,"CSF2,IGFBP3,MMP9"
TNFSF14,cytokine,1.21e-6,8.44e-5,"CSF2,INHBA,MMP9"
TSLP,cytokine,2.38e-6,1.3e-4,"CD83,CSF2,SQSTM1"
TGFB1,growth factor,2.42e-6,1.3e-4,"CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SQSTM1"
TNFSF15,cytokine,4e-6,1.75e-4,"CD83,CSF2,MMP9"
IL1A,cytokine,4.17e-6,1.8e-4,"CD83,CSF2,INHBA,MMP9"
PF4,cytokine,5.68e-6,2.24e-4,"CD83,INHBA,NFKB2"
HMGB1,transcription regulator,1.08e-5,3.55e-4,"CD83,MMP9,SQSTM1"
IL33,cytokine,1.4e-5,4.19e-4,"CD83,CSF2,MMP9,NFKB2"
TNFSF12,cytokine,1.49e-5,4.32e-4,"CSF2,MMP9,NFKB2"
GDF2,growth factor,2e-5,4.97e-4,"MMP9,NRCAM,SEMA3C"
IL10,cytokine,2.1e-5,5.08e-4,"CD83,CSF2,INHBA,MMP9"
FGF2,growth factor,2.57e-5,5.74e-4,"IGFBP3,INHBA,MMP9,SQSTM1"
MSTN,growth factor,2.6e-5,5.75e-4,"IGFBP3,INHBA,SEMA3C"
IL36G,cytokine,3.59e-5,7.17e-4,"CD83,CSF2,MMP9"
IL18,cytokine,5.93e-5,9.55e-4,"CD83,CSF2,MMP9"
IL4,cytokine,6.16e-5,9.68e-4,"CD83,CSF2,MMP9,NFKB2,SQSTM1"
TGFB2,growth factor,6.17e-5,9.68e-4,"INHBA,MMP9,TMEFF1"
KITLG,growth factor,1.07e-4,0.00143,"CSF2,IGFBP3,NFKB2"
BMP2,growth factor,1.35e-4,0.00165,"IGFBP3,INHBA,MMP9"
TNFSF11,cytokine,1.39e-4,0.00167,"CD83,MMP9,NFKB2"
VEGFA,growth factor,1.96e-4,0.00209,"CD83,CSF2,MMP9"
IL6,cytokine,2.12e-4,0.00216,"CD83,CSF2,IGFBP3,MMP9"
IFNB1,cytokine,2.33e-4,0.0023,"CD83,CSF2,MMP9"
CSF1,cytokine,2.68e-4,0.00248,"CD83,MMP9,NFKB2"
CD40LG,cytokine,3.77e-4,0.00299,"CD83,INHBA,NFKB2"
THPO,cytokine,8.07e-4,0.00483,"INHBA,NFKB2"
BMP1,peptidase,0.0011,0.00568,IGFBP3
CXCL11,cytokine,0.0011,0.00568,MMP9
INHBC,growth factor,0.0011,0.00568,INHBA
OSM,cytokine,0.00117,0.00594,"CSF2,IGFBP3,MMP9"
IL17F,cytokine,0.0013,0.00648,"CSF2,IGFBP3"
IL7,cytokine,0.00132,0.00652,"CSF2,MMP9"
MIF,cytokine,0.00139,0.00652,"MMP9,SQSTM1"
CCL2,cytokine,0.0015,0.00662,"INHBA,MMP9"
IL21,cytokine,0.00204,0.00786,"CSF2,MMP9"
IL2,cytokine,0.00252,0.00856,"CD83,CSF2,MMP9"
IL17B,cytokine,0.00257,0.00856,MMP9
EDN1,cytokine,0.00269,0.00886,"INHBA,MMP9"
CXCL12,cytokine,0.00288,0.00924,"MMP9,SQSTM1"
CCL18,cytokine,0.00294,0.00924,MMP9
CXCL9,cytokine,0.00331,0.00975,MMP9
IL17D,cytokine,0.00331,0.00975,CSF2
BMP7,growth factor,0.00333,0.00982,"IGFBP3,MMP9"
SCG2,cytokine,0.00404,0.0108,MMP9
SPP1,cytokine,0.00404,0.0108,"MMP9,NRCAM"
IL5,cytokine,0.00492,0.0121,"CSF2,MMP9"
CCL19,cytokine,0.0055,0.0126,CSF2
CXCL10,cytokine,0.00623,0.0134,MMP9
IFNL3,other,0.00697,0.0143,MMP9
IFNW1,cytokine,0.00733,0.0147,CD83
IL19,cytokine,0.00733,0.0147,MMP9
FAM3B,cytokine,0.00843,0.0157,IGFBP3
IFNK,cytokine,0.00843,0.0157,CD83
IL3,cytokine,0.00877,0.016,"CD83,CSF2"
IL36A,cytokine,0.00879,0.016,CSF2
IL36B,cytokine,0.00879,0.016,CD83
WNT7A,cytokine,0.00989,0.0173,MMP9
IL20,cytokine,0.0135,0.0212,MMP9
TNFRSF11B,transmembrane receptor,0.0135,0.0212,MMP9
IL37,cytokine,0.0139,0.0216,CSF2
IL15,cytokine,0.0146,0.0224,"CD83,CSF2"
TNFSF13,cytokine,0.0146,0.0224,CSF2
GDF9,growth factor,0.0146,0.0224,INHBA
GPR15LG,cytokine,0.0157,0.0234,CSF2
IFNE,cytokine,0.0157,0.0234,CD83
IL23A,cytokine,0.0161,0.0239,CSF2
FASLG,cytokine,0.0182,0.0259,CSF2
NDP,growth factor,0.0215,0.029,IGFBP3
IL12B,cytokine,0.0218,0.0293,CSF2
IL32,cytokine,0.024,0.0314,MMP9
LTA,cytokine,0.0262,0.0335,NFKB2
CCL5,cytokine,0.0298,0.0368,MMP9
FLT3LG,cytokine,0.0301,0.0372,CD83
IFNL1,cytokine,0.0326,0.0394,CD83
BMP10,growth factor,0.0344,0.0411,CD83
IL25,cytokine,0.0351,0.0416,CSF2
IL11,cytokine,0.0369,0.0434,MMP9
BMP6,growth factor,0.0376,0.0441,INHBA
AREG,growth factor,0.038,0.0445,MMP9
NAMPT,cytokine,0.0394,0.0456,MMP9
INHA,growth factor,0.0401,0.0461,INHBA
IL22,cytokine,0.0415,0.0474,MMP9
