regulator,p_adj,n_overlap,overlap_genes
IL36G,1.106554937297489e-5,6,"ALOX12B,CXCL6,DEFB4A,SERPINB3,SERPINB4,SPRR3"
IL36RN,1.1006896227739912e-4,5,"ALOX12B,DEFB4A,SERPINB3,SERPINB4,SPRR3"
IL1RN,1.7223529601769212e-4,6,"CXCL6,DEFB4A,SERPINB3,SERPINB4,SPRR3,TFRC"
TSLP,4.5011299512281224e-4,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,SPRR3"
CCL18,4.721788930814811e-4,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL36A,8.416333295448175e-4,4,"ALOX12B,CXCL6,DEFB4A,SERPINB4"
CCL27,8.839533362755711e-4,4,"CXCL6,DEFB4A,SERPINB3,SERPINB4"
CCL26,0.0012313854338919551,4,"CXCL6,DEFB4A,SERPINB4,SPRR3"
CXCL13,0.0013602325405886893,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL22,0.0016443430763294798,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL5,0.0022049007607524854,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL33,0.00250731929569351,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CXCL9,0.002705437691898356,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CCL20,0.003661395006159853,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL9,0.005665728698598268,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
CXCL1,0.006296597689772842,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL13,0.006711728325117198,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CCL17,0.0071283055172919885,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
IL36B,0.007529425672323948,3,"CXCL6,DEFB4A,SERPINB4"
CCL22,0.008212762343620731,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
CXCL10,0.009375783086161263,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CSF2,0.010530547610942187,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CXCL5,0.011368821132532564,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
IL19,0.011953137123405354,3,"CXCL6,DEFB4A,SERPINB4"
CCL5,0.012160429198272905,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL17A,0.012860388176798177,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL4,0.02536234394222004,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL1A,0.028584463729741463,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL24,0.02962800000027618,3,"CXCL6,DEFB4A,SERPINB4"
CXCL8,0.03462023980791174,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CCL2,0.04096276245983988,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL17F,0.043505596900206486,3,"CXCL6,DEFB4A,SERPINB4"
CSF3,0.04661197980301378,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
TIMP1,0.04705289685182487,4,"CXCL6,SERPINB3,SERPINB4,TFRC"
