regulator,p_adj,n_overlap,overlap_genes
IFNL2,2.4889082119289816e-7,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNL3,2.9487846239701777e-7,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNL1,5.548133211117046e-7,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNE,2.212915470790976e-6,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNK,2.283735365220867e-6,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
TNFSF10,2.562995747491562e-6,7,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC"
CCL8,4.897016520011951e-6,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA2,8.193040803121108e-6,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
CCL19,1.814138107144212e-5,6,"CMPK2,IFI44L,IFIT1,IFIT3,MX2,PLAC8"
CXCL11,2.8477533609857657e-5,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IL1RN,3.637113857908648e-5,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA16,4.598612773374896e-5,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA10,4.748547054833203e-5,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA7,4.786581173626809e-5,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA21,5.442303205017878e-5,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
CXCL9,5.551978355640583e-5,6,"CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA4,5.5695192749201916e-5,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA5,5.615264081724352e-5,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNA8,5.908386756548053e-5,5,"HERC5,IFI44L,IFIT1,IFIT3,MX2"
CCL4,7.67880903321643e-5,6,"CMPK2,IFI44L,IFIT1,IFIT3,MX2,RGCC"
CCL20,7.991246943585956e-5,6,"HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC"
