regulator,p_adj,n_overlap,overlap_genes
FGF2,1.1397324139755852e-4,9,"CD83,CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SEMA3C,SQSTM1,TMEFF1"
TGFB2,1.1458616218866555e-4,8,"CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SEMA3C,SQSTM1,TMEFF1"
TGFB1,1.957525577472817e-4,9,"CD83,CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SEMA3C,SQSTM1,TMEFF1"
TNFRSF11B,1.957525577472817e-4,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CCL19,4.644519514187486e-4,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SEMA3C"
CXCL2,5.28808078025664e-4,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CCL7,6.199438322881956e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
TNFSF10,6.199438322881956e-4,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
GDF15,6.48929784778562e-4,6,"CSF2,IGFBP3,MMP9,NFKB2,SQSTM1,TMEFF1"
IL17F,6.781866477232387e-4,5,"CD83,CSF2,MMP9,NFKB2,SQSTM1"
CCL8,7.276858860981955e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
XCL1,7.276858860981955e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CXCL16,8.137000600120305e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CCL17,9.156541279126309e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
LTA,9.163969802362339e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CXCL1,0.0010991740944848978,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
TNFSF11,0.0010991740944848978,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
IL16,0.0011081456407928886,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
