regulator,p_adj,n_overlap,overlap_genes
CXCL10,1.6242414437875051e-111,234,"ACE2,ACP5,ADAM8,AIM2,ANGPTL4,APOBEC3A,APOBEC3B,APOBEC3G,APOL1,APOL3,APOL6,ATF3,B2M,B3GNT3,BAK1,BDKRB1,BIRC3,BMP2,BST2,BTN3A1,BTN3A3,C1R,C1S,C3,CADM1,CALM3,CALML3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CDCP1,CEACAM1,CEBPD,CFB,CFH,CFLAR,CIITA,CLCF1,CLDN7,CLEC2B,CLU,CREM,CTSB,CTSC,CTSS,CX3CL1,CXCL11,CXCL2,CXCL9,CYLD,CYP1B1,CYP27B1,DDX60,DEFB1,EDN1,EDNRA,EFNB2,ERAP1,ETV7,FAP,GBP1,GBP2,GCH1,GCLM,GSDMD,HBEGF,HDAC9,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HRH1,HSD11B1,ICAM1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,JUNB,KLF4,KLF6,KRT19,LAMP3,LAP3,LGALS3BP,LGMN,LY75,LY96,LYN,MAFB,MAP3K8,MBP,MICB,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NCF2,NDRG1,NFE2L3,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OASL,OCLN,PANX1,PARP12,PDCD1LG2,PDGFRA,PDPN,PHF11,PLAUR,PLSCR1,PMAIP1,PML,PPP1R15A,PRDM1,PROCR,PROS1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RARRES1,RELB,RHBDF2,RIPK1,RIPK2,RNF19B,RRAD,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMD9,SAMHD1,SECTM1,SERPINB1,SERPINB9,SERPING1,SLC15A3,SLC2A6,SLC44A4,SMAD7,SOCS1,SOD2,SP100,SP110,SPHK1,STAT1,STAT2,STAT3,STEAP4,TAP1,TAP2,TAPBP,TDRD7,TGFA,TGM1,TICAM1,TLR2,TLR3,TMC6,TNFAIP2,TNFAIP3,TNFRSF14,TNFRSF25,TNFSF10,TNIP1,TRADD,TRAFD1,TRIM21,TRIM22,TRIM38,TYMP,UBA7,UBD,UBE2L6,ULBP2,USP18,VEGFC,XAF1,ZC3H12A,ZC3HAV1"
TNFSF10,3.158293423552708e-105,196,"ACE2,ACP5,ACSL5,ADAM8,AIM2,ANGPTL4,APOBEC3G,APOL1,APOL3,APOL6,ATF3,B2M,BAK1,BIRC3,BLNK,BMP2,BNIP3,BST2,BTN3A1,BTN3A2,BTN3A3,C1GALT1C1,C1R,C1RL,C1S,C3,CADM1,CALML3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CEACAM1,CFB,CFLAR,CIITA,CLEC2B,CLU,CTSB,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,CYP1B1,DDX60,DRAM1,EDN1,GBP1,GBP2,GSDMD,HBEGF,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LAP3,LGALS3BP,LY75,LY96,LYN,MAFB,MAP3K8,MICB,MMP1,MUC1,MVP,MX1,MX2,MYD88,NCF2,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PDZD2,PDZK1IP1,PHF11,PLAUR,PLEKHF1,PLOD2,PLSCR1,PMAIP1,PML,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RAB27A,RBCK1,RELB,RHOB,RIPK1,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SECTM1,SERPINB1,SERPING1,SMAD7,SOCS1,SOD2,SP100,SP110,SPHK1,STAT1,STAT2,STAT3,TAP1,TAPBP,TDRD7,TGFA,TICAM1,TLR2,TLR3,TNFAIP2,TNFAIP3,TNFRSF14,TNFRSF25,TNIP1,TP53BP2,TRADD,TRAFD1,TRIM21,TRIM22,TRIM38,TYMP,UBA7,UBD,UBE2L6,ULBP2,USP18,VAMP8,VEGFC,XAF1,ZC3HAV1"
CXCL11,1.4373000787796779e-100,183,"ACE2,ADAM8,ADCY7,AIM2,ALOX12,APOBEC3A,APOBEC3G,APOL1,APOL2,APOL3,APOL6,ATF3,B2M,BAK1,BIRC3,BMP2,BST2,BTN3A3,C1R,C1S,C3,CADM1,CASP1,CASP4,CASP7,CBR3,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CDCP1,CEACAM1,CFB,CFH,CFLAR,CIITA,CLU,CTSB,CTSC,CTSS,CX3CL1,CXCL10,CXCL2,CXCL9,DDX60,DEFB1,EDN1,ETV7,FAP,GBP1,GBP2,GCH1,HBEGF,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,HSD17B2,ICAM1,ID1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LAP3,LGALS3BP,LY75,LY96,LYN,MAP3K8,MBP,MICB,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NFE2L3,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OASL,OCLN,PARP12,PDCD1LG2,PDGFRA,PDPN,PLAUR,PLSCR1,PMAIP1,PML,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RELB,RIPK1,RIPK2,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMD9,SAMHD1,SECTM1,SERPINB9,SERPING1,SLC15A3,SMAD7,SOCS1,SOD2,SP100,SPHK1,STAT1,STAT2,STAT3,TAP1,TAP2,TAPBP,TGFA,TGM1,TICAM1,TLR2,TLR3,TNFAIP2,TNFAIP3,TNFRSF14,TNFRSF25,TNFSF10,TRAFD1,TRIM21,TRIM22,TYMP,UBD,UBE2L6,USP18,VEGFC,XAF1"
IFNG,5.880140025442389e-91,286,"ACE2,ACP5,ADAM8,AIM2,ALOX12,ANGPTL4,APOBEC3A,APOBEC3B,APOBEC3F,APOBEC3G,APOL1,APOL2,APOL6,ATF3,B2M,B3GNT3,BAK1,BBOX1,BDKRB1,BHLHE40,BIRC3,BLNK,BMP2,BNIP3,BST2,BTN2A2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,C3,CA2,CADM1,CALCOCO2,CALM3,CALML3,CAPN3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CEACAM1,CEACAM6,CEBPD,CFB,CFH,CFLAR,CIITA,CLCF1,CLDN7,CLEC2B,CLU,CREM,CTSB,CTSC,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,CYP1B1,CYP27B1,DDX60,DEFB1,DRAM1,DUSP10,EDN1,EDNRA,EFNB2,ELF4,ERAP1,ERAP2,ETV7,FAP,FUT2,GABARAPL1,GABBR1,GBP1,GBP2,GCH1,GCLM,GOLM1,GSDMB,GSDMD,GTPBP1,HBEGF,HDAC9,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HRH1,HSD11B1,ICAM1,ID1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,ITPKC,JAK2,JUNB,KLF4,KLF6,KRT19,KRT8,LAMP3,LAP3,LGALS3BP,LGALS8,LGMN,LIMK1,LMO2,LY75,LY96,LYN,MAFB,MAP2,MAP3K8,MBP,MICB,MMP1,MMP10,MR1,MUC1,MVP,MX1,MX2,MYD88,MYO1B,NCF2,NDRG1,NEK7,NFKBIA,NFKBIE,NMI,NRG1,OAS1,OAS2,OAS3,OASL,OCLN,OPTN,PANX1,PDCD1LG2,PDGFRA,PDLIM4,PDPN,PHF11,PLAUR,PLD2,PLSCR1,PMAIP1,PML,PPP1R15A,PRDM1,PRKD2,PROCR,PROS1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,QPCT,RAB27A,RALA,RBCK1,RELB,RFX5,RHOB,RIPK1,RIPK2,RNF19B,RRAD,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMD9,SAMHD1,SECTM1,SERPINB1,SERPINB6,SERPINB9,SERPING1,SLC2A3,SLC2A6,SLC44A4,SMAD7,SMURF1,SOCS1,SOCS6,SOD2,SORT1,SP100,SP110,SPHK1,SPTLC2,STAT1,STAT2,STAT3,STX4,SYNPO,TAP1,TAP2,TAPBP,TAPBPL,TCIRG1,TGFA,TGM1,TICAM1,TINF2,TLR2,TLR3,TMC6,TNFAIP2,TNFAIP3,TNFAIP8,TNFRSF14,TNFRSF25,TNFSF10,TNIP1,TOP1,TRADD,TRAFD1,TRIM21,TRIM22,TRIM38,TYMP,UBA7,UBD,UBE2L6,ULBP2,USP18,VAMP8,VEGFC,VLDLR,XAF1,ZC3H12A,ZC3HAV1"
CCL5,4.701109379564481e-90,218,"ACE2,ACP5,ADAM8,ADCY7,AIM2,ALOX12,ANGPTL4,APOBEC3A,APOBEC3G,APOL1,ARHGAP25,ATF3,B2M,BDKRB1,BHLHE40,BIRC3,BLNK,BMP2,BST2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,C3,CADM1,CALM3,CALML3,CASP1,CASP4,CASP7,CCL2,CCL7,CCL8,CD40,CD47,CD74,CEACAM1,CEBPD,CFB,CFH,CFLAR,CIITA,CLDN7,CLEC2B,CLU,CTSB,CTSC,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,CYP27B1,DDX60,DEFB1,EDN1,EDNRA,ELF4,ERAP1,FAP,GBP1,GBP2,GSDMD,HBEGF,HDAC9,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HRH1,ICAM1,ID1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,JUNB,KLF4,KLF6,KRT19,KRT8,LAMP3,LGALS3BP,LGMN,LY75,LY96,LYN,MAFB,MAP3K8,MBP,MICB,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NCF2,NFKBIA,NFKBIE,OAS1,OAS2,OAS3,OASL,OCLN,OPTN,PANX1,PDCD1LG2,PDGFRA,PDPN,PHF11,PLAUR,PLEKHF1,PLSCR1,PMAIP1,PRDM1,PROCR,PROS1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RAB27A,RELB,RIPK1,RIPK2,RPS6KA5,RRAD,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMHD1,SERPINB1,SERPINB6,SERPINB9,SERPING1,SLC15A3,SLC2A3,SMAD7,SOCS1,SOD2,SP100,SP110,SPHK1,STAT1,STAT2,STAT3,STEAP4,TAP1,TAPBP,TCIRG1,TGFA,TICAM1,TLR2,TLR3,TMC6,TNFAIP2,TNFAIP3,TNFAIP8,TNFRSF14,TNFRSF25,TNFSF10,TNIP1,TOP1,TRADD,TRIM21,TRIM22,TYMP,UBA7,UBD,UBE2L6,ULBP2,USP18,VEGFC,XAF1,ZC3H12A,ZC3HAV1"
CXCL9,1.805611873278566e-89,183,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3G,APOL1,APOL2,APOL3,APOL6,ATF3,B2M,BIRC3,BLNK,BST2,BTN3A1,BTN3A2,BTN3A3,C1R,C1RL,C1S,C3,CADM1,CASP1,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CDCP1,CEACAM1,CFB,CFH,CFLAR,CIITA,CLDN7,CTSB,CTSC,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CYP27B1,DDX60,DEFB1,EDN1,ERAP1,ERAP2,ETV7,FAP,GBP1,GBP2,GSDMD,HBEGF,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LAP3,LGMN,LY75,LY96,LYN,MAFB,MAP3K8,MBP,MICB,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NCF2,NFE2L3,NFKBIA,OAS1,OAS2,OAS3,OASL,OCLN,PDCD1LG2,PDGFRA,PDPN,PHF11,PLAUR,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RARRES1,RELB,RIPK1,RIPK2,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMHD1,SECTM1,SERPINB9,SERPING1,SLC15A3,SLC44A4,SMAD7,SOCS1,SOD2,SPHK1,STAT1,STAT2,STAT3,TAP1,TAP2,TAPBP,TGFA,TICAM1,TLR2,TLR3,TNFAIP2,TNFAIP3,TNFRSF14,TNFRSF25,TNFSF10,TRAFD1,TRIM21,TRIM22,TYMP,UBA7,UBD,UBE2L6,ULBP2,USP18,VEGFC,XAF1"
IFNA1,1.9211827435867324e-87,203,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3B,APOBEC3F,APOBEC3G,APOL1,ATF3,B2M,B3GNT3,BBOX1,BIRC3,BLNK,BST2,C1R,C1S,C3,CADM1,CALCOCO2,CALM3,CALML3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CEACAM1,CEBPD,CFB,CFH,CFLAR,CIITA,CLDN7,CLU,CREM,CTSB,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,CYP27B1,DDX60,DEFB1,EDN1,ERAP1,FUT2,GBP1,GBP2,GSDMD,GTPBP1,HBEGF,HDAC9,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,ICAM1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,KLF4,KRT19,LAMP3,LGALS3BP,LY75,LY96,LYN,MAFB,MAP3K8,MBP,MICB,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NCF2,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OASL,OCLN,OPTN,PANX1,PARP12,PCDH7,PDCD1LG2,PDGFRA,PDPN,PLAUR,PLSCR1,PMAIP1,PML,PPP1R15A,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RAB27A,RBCK1,RELB,RIPK1,RIPK2,RRAD,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMD9,SAMHD1,SERPINB9,SERPING1,SLC44A4,SLFN12,SMAD7,SOCS1,SOCS6,SOD2,SP100,SPHK1,STAT1,STAT2,STAT3,TAP1,TAPBP,TGFA,TICAM1,TLR2,TLR3,TMC6,TNFAIP3,TNFRSF14,TNFRSF25,TNFSF10,TNIP1,TOP1,TRADD,TRAFD1,TRIM17,TRIM21,TRIM22,TRIM38,TYMP,UBA7,UBD,UBE2L6,ULBP2,USP18,VEGFC,XAF1,ZC3H12A,ZC3HAV1"
TYPE_I_INTERFERON_COLLAPSED,1.9211827435867324e-87,224,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3B,APOBEC3F,APOBEC3G,APOL1,ATF3,B2M,B3GNT3,BAK1,BBOX1,BIRC3,BLNK,BST2,C15orf39,C1R,C1S,C3,CADM1,CALCOCO2,CALM3,CALML3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CEACAM1,CEBPD,CFB,CFH,CFLAR,CIITA,CLDN7,CLU,CPM,CREM,CTSB,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,CYP27B1,DCP1A,DDX60,DEFB1,DTX4,EDN1,ELF4,ERAP1,FUT2,GABARAPL1,GBP1,GBP2,GSDMD,GTPBP1,HBEGF,HDAC9,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,HS3ST1,ICAM1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,JUNB,KLF4,KRT19,LAMP3,LGALS3BP,LGALS8,LY75,LY96,LYN,MAFB,MAP3K8,MBP,MICB,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NCF2,NDST2,NEK7,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OASL,OCLN,OPTN,PANX1,PARP12,PCDH7,PDCD1LG2,PDGFRA,PDPN,PLAUR,PLSCR1,PMAIP1,PML,PPP1R15A,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RAB27A,RBCK1,RELB,RHBDF2,RIPK1,RIPK2,RNF19B,RRAD,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMD9,SAMHD1,SERPINB1,SERPINB9,SERPING1,SLC44A4,SLFN12,SMAD7,SMURF1,SOCS1,SOCS6,SOD2,SP100,SPHK1,STAT1,STAT2,STAT3,TAP1,TAPBP,TGFA,TGM1,TICAM1,TLR2,TLR3,TMC6,TNFAIP2,TNFAIP3,TNFRSF14,TNFRSF25,TNFSF10,TNIP1,TNIP2,TOP1,TP53BP2,TRADD,TRAFD1,TRIM17,TRIM21,TRIM22,TRIM38,TYMP,UBA7,UBD,UBE2L6,ULBP2,USP15,USP18,VEGFC,XAF1,ZC3H12A,ZC3HAV1"
IFN_ALPHA_COLLAPSED,1.9211827435867324e-87,206,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3B,APOBEC3F,APOBEC3G,APOL1,ATF3,B2M,B3GNT3,BBOX1,BIRC3,BLNK,BST2,C15orf39,C1R,C1S,C3,CADM1,CALCOCO2,CALM3,CALML3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CEACAM1,CEBPD,CFB,CFH,CFLAR,CIITA,CLDN7,CLU,CPM,CREM,CTSB,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,CYP27B1,DDX60,DEFB1,EDN1,ERAP1,FUT2,GBP1,GBP2,GSDMD,GTPBP1,HBEGF,HDAC9,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,ICAM1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,KLF4,KRT19,LAMP3,LGALS3BP,LY75,LY96,LYN,MAFB,MAP3K8,MBP,MICB,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NCF2,NDST2,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OASL,OCLN,OPTN,PANX1,PARP12,PCDH7,PDCD1LG2,PDGFRA,PDPN,PLAUR,PLSCR1,PMAIP1,PML,PPP1R15A,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RAB27A,RBCK1,RELB,RIPK1,RIPK2,RRAD,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMD9,SAMHD1,SERPINB9,SERPING1,SLC44A4,SLFN12,SMAD7,SOCS1,SOCS6,SOD2,SP100,SPHK1,STAT1,STAT2,STAT3,TAP1,TAPBP,TGFA,TICAM1,TLR2,TLR3,TMC6,TNFAIP3,TNFRSF14,TNFRSF25,TNFSF10,TNIP1,TOP1,TRADD,TRAFD1,TRIM17,TRIM21,TRIM22,TRIM38,TYMP,UBA7,UBD,UBE2L6,ULBP2,USP18,VEGFC,XAF1,ZC3H12A,ZC3HAV1"
IFNB1,1.9716658665031906e-86,205,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3B,APOBEC3F,APOBEC3G,APOL1,ATF3,B2M,B3GNT3,BAK1,BBOX1,BIRC3,BST2,C1R,C1S,C3,CADM1,CALCOCO2,CALM3,CALML3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CEACAM1,CFB,CFH,CFLAR,CIITA,CLDN7,CREM,CTSB,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,CYP27B1,DCP1A,DDX60,DEFB1,DTX4,EDN1,ELF4,ERAP1,GABARAPL1,GBP1,GBP2,GSDMD,GTPBP1,HBEGF,HDAC9,HERC6,HLA-A,HLA-B,HLA-C,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,ICAM1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,JUNB,KLF4,LGALS3BP,LGALS8,LY75,LY96,LYN,MAFB,MAP3K8,MBP,MICB,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NEK7,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OASL,OCLN,OPTN,PANX1,PARP12,PDCD1LG2,PDGFRA,PDPN,PLAUR,PLSCR1,PMAIP1,PML,PPP1R15A,PRDM1,PSMB10,PSMB8,PSMB9,PTGS2,RBCK1,RELB,RHBDF2,RIPK1,RIPK2,RNF19B,RRAD,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMD9,SAMHD1,SERPINB1,SERPINB9,SERPING1,SLFN12,SMAD7,SMURF1,SOCS1,SOCS6,SOD2,SP100,SPHK1,STAT1,STAT2,STAT3,TAP1,TAPBP,TGFA,TGM1,TICAM1,TLR2,TLR3,TMC6,TNFAIP2,TNFAIP3,TNFRSF14,TNFRSF25,TNFSF10,TNIP1,TNIP2,TOP1,TP53BP2,TRADD,TRAFD1,TRIM17,TRIM21,TRIM22,TRIM38,UBA7,UBD,UBE2L6,ULBP2,USP15,USP18,VEGFC,XAF1,ZC3H12A,ZC3HAV1"
