regulator,p_adj,n_overlap,overlap_genes
IL1RN,8.520602474659112e-31,35,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,HBEGF,ICAM1,IGFBP3,IL1R2,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,RHCG,S100A7,S100P,SAA1,SAA2,SERPINB1,SOCS1,TNFAIP3,TNFSF10,TYMP"
CXCL1,5.184377326580155e-28,36,"BIRC3,BMP2,C3,CCL20,CD83,CEACAM6,CSF2,CXCL3,CXCL5,HBEGF,ICAM1,IGFBP3,IL1R2,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SERPINB1,SLC6A14,SOCS1,SQSTM1,TNFAIP3,TNFSF10,TYMP"
CXCL2,7.965456556007311e-27,32,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,HBEGF,ICAM1,IGFBP3,IL1R2,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SOCS1,SQSTM1,TNFAIP3,TNFSF10"
CCL8,1.5248577201316257e-25,28,"C3,CCL20,CD83,CSF2,CXCL3,CXCL5,HBEGF,ICAM1,IGFBP3,IL1R2,INHBA,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,SAA1,SAA2,SOCS1,TNFAIP3,TNFSF10,TYMP"
CXCL11,1.8578304631043884e-25,31,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,HBEGF,ICAM1,IGFBP3,IL1R2,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SOCS1,TNFAIP3,TNFSF10,TYMP"
CSF3,3.1720821880058924e-25,34,"BIRC3,BMP2,C3,CCL20,CD83,CEACAM6,CSF2,CXCL3,CXCL5,HBEGF,ICAM1,IGFBP3,IL1R2,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SERPINB1,SOCS1,TNFAIP3,TNFSF10,TYMP"
CXCL10,3.1720821880058924e-25,35,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,HBEGF,HDAC9,ICAM1,IGFBP3,IL1R2,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SERPINB1,SOCS1,SQSTM1,TNFAIP3,TNFSF10,TYMP"
IL32,3.1720821880058924e-25,26,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,ICAM1,IL1R2,INHBA,MMP1,MMP10,MMP9,MUC1,NFKB2,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SOCS1,TNFAIP3,TNFSF10"
CCL4,1.5958858137179486e-24,32,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,HBEGF,ICAM1,IGFBP3,IL1R2,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SOCS1,TNFAIP3,TNFSF10,TYMP"
CXCL3,1.7828409942365902e-24,26,"BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL5,HBEGF,ICAM1,IL1R2,INHBA,MMP1,MMP10,MMP9,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SOCS1,TNFAIP3,TNFSF10"
