regulator,Molecule.Type,p.value.of.overlap,p_adj,overlap_genes,n_overlap
IFNL1,cytokine,4.2e-42,1.07e-39,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,LGALS3BP,MX1,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,UBE2L6,USP18",NA
IFNA2,cytokine,2.3299999999999997e-40,3.78e-38,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18",NA
TYPE_I_INTERFERON_COLLAPSED,NA,NA,3.78e-38,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TIMP1,TRIM21,UBE2L6,USP18",29
IFN_ALPHA_COLLAPSED,NA,NA,3.78e-38,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18",27
CSF1,cytokine,3.77e-37,4.49e-35,"BST2,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18",NA
IFNG,cytokine,1.38e-26,6.86e-25,"BST2,CFB,CMPK2,DDX60,DKK1,HCP5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RIGI,RSAD2,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18",NA
IFNB1,cytokine,6.97e-25,2.96e-23,"BST2,CMPK2,HERC5,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,PARP9,RIGI,RSAD2,TIMP1,TRIM21,USP18",NA
IL4,cytokine,1.38e-24,5.73e-23,"BST2,CARD16,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TIMP1,TRIM21,UBE2L6,USP18",NA
IL27,cytokine,2.11e-24,8.549999999999999e-23,"BST2,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,TRIM21,UBE2L6",NA
IL1RN,cytokine,5.730000000000001e-21,1.86e-19,"IFI44L,IFI6,IFIT3,IRF7,MX1,MX2,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,TIMP1,USP18",NA
TNF,cytokine,8.5e-20,2.62e-18,"BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GAST,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RIGI,RSAD2,SLC40A1,TIMP1,TRIM21",NA
