regulator,p_adj,n_overlap,overlap_genes
TNFSF10,1.1687445395775235e-82,118,"ACE2,ACP5,ACSL5,AIM2,APOBEC3G,APOL1,APOL3,APOL6,ATF3,BLNK,BST2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CIITA,CLEC2B,CLU,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,CYP1B1,DDX60,GBP1,GBP2,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LAP3,LY75,LY96,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PLOD2,PML,PSMB10,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SECTM1,SERPING1,SP100,SP110,STAT1,STAT2,TAP1,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1"
CXCL11,1.0427486932435623e-81,113,"ACE2,AIM2,APOBEC3A,APOBEC3G,APOL1,APOL2,APOL3,APOL6,ATF3,BST2,BTN3A3,C1R,C1S,CASP1,CASP4,CASP7,CBR3,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLU,CTSS,CX3CL1,CXCL10,CXCL9,DDX60,ETV7,FAP,GBP1,GBP2,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,HSD17B2,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LAP3,LY75,LY96,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PML,PSMB10,PSMB8,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SECTM1,SERPINB9,SERPING1,SLC15A3,SP100,STAT1,STAT2,TAP1,TAP2,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBD,UBE2L6,USP18,XAF1"
CXCL9,1.0407194864500424e-79,117,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3G,APOL1,APOL2,APOL3,APOL6,ATF3,BLNK,BST2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,CASP1,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CTSS,CX3CL1,CXCL10,CXCL11,DDX60,ERAP1,ERAP2,ETV7,FAP,GBP1,GBP2,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LAP3,LGMN,LY75,LY96,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PSMB10,PSMB8,RARRES1,RIPK2,RSAD2,RTP4,SAMHD1,SECTM1,SERPINB9,SERPING1,SLC15A3,SLC44A4,STAT1,STAT2,TAP1,TAP2,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1"
CXCL10,1.603833153255805e-76,128,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3G,APOL1,APOL3,APOL6,ATF3,BST2,BTN3A1,BTN3A3,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLEC2B,CLU,CREM,CTSS,CX3CL1,CXCL11,CXCL9,CYP1B1,DDX60,EDNRA,ERAP1,ETV7,FAP,GBP1,GBP2,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HSD11B1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LAP3,LGMN,LY75,LY96,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PML,PSMB10,PSMB8,RARRES1,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SECTM1,SERPINB9,SERPING1,SLC15A3,SLC44A4,SP100,SP110,STAT1,STAT2,STEAP4,TAP1,TAP2,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1"
IL15,7.294038418096177e-66,111,"ACE2,ACP5,AIM2,APOBEC3F,APOBEC3G,APOL1,APOL3,ATF3,BST2,BTN2A2,BTN3A1,BTN3A2,BTN3A3,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLEC2B,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,ERAP1,ETV7,FAP,GBP1,GBP2,GSDMD,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LY75,LY96,MR1,MX1,MX2,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PDGFRA,PML,PSMB10,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMHD1,SECTM1,SERPINB9,SERPING1,SLC2A3,SLFN12,STAT1,STAT2,TAP1,TLR2,TLR3,TNFRSF14,TRIM21,TRIM22,UBD,USP18,XAF1"
TNFSF13B,3.758463833377582e-65,109,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3G,ARHGAP25,BLNK,BST2,BTN3A2,C1R,C1S,CASP1,CASP10,CASP4,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLEC2B,CLU,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,DPYD,ERAP2,ETV7,GBP1,GBP2,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,LAMP3,LAP3,LMO2,LY75,LY96,MR1,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,OGFR,PDCD1LG2,PDGFRA,PSMB10,PSMB8,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SERPING1,SLC15A3,SP100,SP110,STAT1,STAT2,TAP1,TAP2,TLR2,TLR3,TNFRSF14,TRIM21,TRIM22,UBA7,UBE2L6,USP18,XAF1"
CCL8,4.816931169846896e-65,87,"ACE2,AIM2,APOBEC3A,ATF3,BST2,C1S,CASP1,CASP4,CCL2,CCL5,CCL7,CD40,CD74,CFB,CFH,CIITA,CLU,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,ETV7,GBP1,GBP2,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-G,HSD11B1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,LAMP3,LAP3,LGMN,LY96,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PDCD1LG2,PSMB8,RIPK2,RSAD2,RTP4,SECTM1,SERPING1,SLC15A3,STAT1,STAT2,TLR2,TLR3,TNFRSF14,TRIM21,TRIM22,UBD,USP18,XAF1"
IFNA1,2.748569561120728e-63,114,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3F,APOBEC3G,APOL1,ATF3,BBOX1,BLNK,BST2,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLU,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,ERAP1,GBP1,GBP2,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LY75,LY96,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PML,PSMB10,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SERPINB9,SERPING1,SLC44A4,SLFN12,SP100,STAT1,STAT2,TAP1,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1"
TYPE_I_INTERFERON_COLLAPSED,2.748569561120728e-63,116,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3F,APOBEC3G,APOL1,ATF3,BBOX1,BLNK,BST2,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLU,CPM,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,ERAP1,GABARAPL1,GBP1,GBP2,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LY75,LY96,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PML,PSMB10,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SERPINB9,SERPING1,SLC44A4,SLFN12,SP100,STAT1,STAT2,TAP1,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1"
IFN_ALPHA_COLLAPSED,2.748569561120728e-63,115,"ACE2,ACP5,AIM2,APOBEC3A,APOBEC3F,APOBEC3G,APOL1,ATF3,BBOX1,BLNK,BST2,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLU,CPM,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,ERAP1,GBP1,GBP2,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LY75,LY96,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PDGFRA,PML,PSMB10,PSMB8,RAB27A,RIPK2,RSAD2,RTP4,SAMD9,SAMHD1,SERPINB9,SERPING1,SLC44A4,SLFN12,SP100,STAT1,STAT2,TAP1,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1"
