regulator,p_adj,n_overlap,overlap_genes
IL36G,1.106554937297489e-5,6,"ALOX12B,CXCL6,DEFB4A,SERPINB3,SERPINB4,SPRR3"
IL36RN,1.1006896227739912e-4,5,"ALOX12B,DEFB4A,SERPINB3,SERPINB4,SPRR3"
IL1RN,1.7223529601769212e-4,6,"CXCL6,DEFB4A,SERPINB3,SERPINB4,SPRR3,TFRC"
TSLP,4.5011299512281224e-4,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,SPRR3"
CCL18,4.721788930814811e-4,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL36A,8.416333295448175e-4,4,"ALOX12B,CXCL6,DEFB4A,SERPINB4"
CCL27,8.839533362755711e-4,4,"CXCL6,DEFB4A,SERPINB3,SERPINB4"
CCL26,0.00123138543389195,4,"CXCL6,DEFB4A,SERPINB4,SPRR3"
CXCL13,0.00136023254058868,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL22,0.00164434307632947,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL5,0.00220490076075248,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL33,0.00250731929569351,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CXCL9,0.00270543769189835,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CCL20,0.00366139500615985,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL9,0.00566572869859826,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
CXCL1,0.00629659768977284,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL13,0.00671172832511719,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CCL17,0.00712830551729198,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
IL36B,0.00752942567232394,3,"CXCL6,DEFB4A,SERPINB4"
CCL22,0.00821276234362073,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
CXCL10,0.00937578308616126,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CSF2,0.01053054761094218,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CXCL5,0.01136882113253256,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
IL19,0.01195313712340535,3,"CXCL6,DEFB4A,SERPINB4"
CCL5,0.0121604291982729,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL17A,0.01286038817679817,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL4,0.02536234394222004,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL1A,0.02858446372974146,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL24,0.02962800000027618,3,"CXCL6,DEFB4A,SERPINB4"
CXCL8,0.03462023980791174,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
CCL2,0.04096276245983988,5,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL17F,0.04350559690020648,3,"CXCL6,DEFB4A,SERPINB4"
CSF3,0.04661197980301378,4,"CXCL6,DEFB4A,SERPINB4,TFRC"
TIMP1,0.04705289685182487,4,"CXCL6,SERPINB3,SERPINB4,TFRC"
