regulator,p_adj,n_overlap,overlap_genes
FGF2,1.1397324139755852e-4,9,"CD83,CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SEMA3C,SQSTM1,TMEFF1"
TGFB2,1.1458616218866556e-4,8,"CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SEMA3C,SQSTM1,TMEFF1"
TGFB1,1.957525577472817e-4,9,"CD83,CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SEMA3C,SQSTM1,TMEFF1"
TNFRSF11B,1.957525577472817e-4,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CCL19,4.644519514187486e-4,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SEMA3C"
CXCL2,5.28808078025664e-4,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CCL7,6.199438322881956e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
TNFSF10,6.199438322881956e-4,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
GDF15,6.48929784778562e-4,6,"CSF2,IGFBP3,MMP9,NFKB2,SQSTM1,TMEFF1"
IL17F,6.781866477232387e-4,5,"CD83,CSF2,MMP9,NFKB2,SQSTM1"
CCL8,7.276858860981955e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
XCL1,7.276858860981955e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CXCL16,8.137000600120305e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CCL17,9.156541279126308e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
LTA,9.16396980236234e-4,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CXCL1,0.00109917409448489,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
TNFSF11,0.00109917409448489,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
IL16,0.00110814564079288,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
IL13,0.00115378490956869,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CSF1,0.00116073457319324,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CCL4L2,0.00118975331640065,4,"CD83,CSF2,MMP9,NFKB2"
IFNA1,0.00129783718754625,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
TYPE_I_INTERFERON_COLLAPSED,0.00129783718754625,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
IFN_ALPHA_COLLAPSED,0.00129783718754625,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
IL23A,0.00131071435394479,4,"CD83,CSF2,MMP9,NFKB2"
CCL2,0.00131478027343083,7,"CD83,CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SQSTM1"
IL36G,0.00140970767739998,4,"CD83,CSF2,MMP9,NFKB2"
CXCL5,0.00143292767982017,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
IFNL1,0.00143959198228286,4,"CD83,CSF2,MMP9,NFKB2"
WNT5A,0.00147615769080479,6,"CSF2,IGFBP3,MMP9,NRCAM,SEMA3C,TMEFF1"
CXCL10,0.00153413189058683,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
TNFSF9,0.00153413189058683,4,"CD83,CSF2,MMP9,NFKB2"
CCL21,0.00157119822196251,5,"CD83,CSF2,MMP9,NFKB2,SEMA3C"
CCL23,0.00157119822196251,4,"CD83,CSF2,IGFBP3,MMP9"
IL18,0.00158109620181164,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CXCL13,0.00168682079290081,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CCL24,0.00170351227393358,4,"CD83,CSF2,IGFBP3,MMP9"
SPP1,0.00177665086252613,6,"CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SQSTM1"
CCL5,0.00190054685134992,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CXCL11,0.00192797721879832,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
FASLG,0.00199838483766693,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
IL17A,0.00203500810101939,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CCL13,0.0021074509702705,4,"CD83,CSF2,IGFBP3,MMP9"
IL34,0.00215332478359084,4,"CSF2,IGFBP3,MMP9,NRCAM"
IL1RN,0.00216989402372055,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
BMP4,0.002237338023836,6,"CSF2,IGFBP3,MMP9,NRCAM,SEMA3C,TMEFF1"
IL24,0.00226035063302046,4,"CD83,CSF2,MMP9,NFKB2"
CX3CL1,0.00230738625108915,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
IL32,0.00245040902202873,4,"CD83,CSF2,MMP9,NFKB2"
IL3,0.00250560970189546,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
IL5,0.0025058833215164,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
GDF2,0.00254177741775618,4,"IGFBP3,MMP9,SEMA3C,TMEFF1"
IL7,0.0025753211378653,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CXCL6,0.00260370824420265,4,"CSF2,IGFBP3,MMP9,NFKB2"
IL33,0.00276568597549664,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
TNFSF14,0.00280910950059474,4,"CD83,CSF2,MMP9,NFKB2"
AREG,0.00291707685573168,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CXCL9,0.00291707685573168,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
NRG1,0.00293949727995425,5,"CSF2,IGFBP3,MMP9,NRCAM,SEMA3C"
CXCL3,0.00298043083281091,4,"CD83,CSF2,MMP9,NFKB2"
CNTF,0.00304272576430191,4,"CSF2,IGFBP3,MMP9,NRCAM"
BMP5,0.0031690914552272,4,"IGFBP3,MMP9,SEMA3C,TMEFF1"
TNFSF15,0.0032590372120294,4,"CD83,CSF2,MMP9,NFKB2"
CXCL12,0.00339820646979779,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SEMA3C"
CCL4,0.0034730045106088,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CCL20,0.00353465238836952,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
IL4,0.00358273672232884,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
TNFSF4,0.0036611509504033,4,"CD83,CSF2,MMP9,NFKB2"
TNFSF8,0.00370679870761292,4,"CD83,CSF2,MMP9,NFKB2"
IFNA17,0.00387523453555427,4,"CD83,CSF2,MMP9,NFKB2"
KITLG,0.00394394092676764,5,"CD83,CSF2,IGFBP3,MMP9,SEMA3C"
IL1A,0.00397423541034779,6,"CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1"
CCL15,0.00407375206485705,3,"CSF2,IGFBP3,MMP9"
IL9,0.00412165144627605,4,"CD83,CSF2,MMP9,NFKB2"
IL15,0.00416536107706017,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CCL18,0.00426362431037134,4,"CD83,CSF2,IGFBP3,MMP9"
WNT7B,0.00450453151969716,4,"CSF2,IGFBP3,MMP9,SEMA3C"
CXCL14,0.00452603002175405,4,"CSF2,IGFBP3,MMP9,SEMA3C"
CCL3,0.00453242290545853,5,"CD83,CSF2,IGFBP3,MMP9,NFKB2"
CCL11,0.00465690243762199,4,"CD83,CSF2,IGFBP3,MMP9"
