regulator,Molecule.Type,p.value.of.overlap,p_adj,overlap_genes,n_overlap
IFNG,cytokine,4.549999999999999e-101,2.08e-97,"ACE2,ACSL5,AIM2,APOBEC3G,APOL1,APOL2,APOL6,ATF3,BLNK,BST2,BTN3A1,BTN3A2,BTN3A3,C1R,CAPN3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,EDNRA,ERAP1,ERAP2,ETV7,GBP1,GBP2,GSDMB,GSDMD,HCP5,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LY75,LY96,MARCKSL1,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,OGFR,PDCD1LG2,PLAAT4,PML,PSMB10,PSMB8,RAB27A,RARRES1,RIGI,RIPK2,RNF114,RSAD2,RTP4,SAMD9,SAMHD1,SBNO2,SCNN1A,SERPINB9,SERPING1,SHFL,SLC15A3,SP100,SP110,STAT1,STAT2,TAP1,TAP2,TAPBPL,TLR2,TLR3,TMEM158,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,VSNL1,WARS1,XAF1,ZC3HAV1",NA
IFNA2,cytokine,2.86e-78,2.62e-75,"APOL6,BST2,C1R,C1S,CCL2,CCL5,CCL8,CEACAM1,CIITA,CXCL10,CXCL11,CXCL9,DDX60,GBP1,GBP2,HERC6,HLA-A,HLA-C,HLA-DRB1,HLA-E,IDO1,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IRF1,IRF7,ISG15,ISG20,LAMP3,MX1,MX2,OAS1,OAS2,OAS3,OASL,OGFR,PARP12,PLAAT4,PML,RIGI,RSAD2,SAMD9,SAMHD1,SHFL,SLC15A3,SLFN12,SP100,SP110,STAT1,TAP1,TLR3,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1",NA
TYPE_I_INTERFERON_COLLAPSED,NA,NA,2.62e-75,"ACP5,APOBEC3G,APOL1,APOL2,APOL3,APOL6,BST2,BTN3A3,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CCL8,CD40,CEACAM1,CIITA,CREM,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,GBP1,GBP2,HERC6,HLA-A,HLA-C,HLA-DRB1,HLA-E,HSD11B1,IDO1,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IRF1,IRF7,ISG15,ISG20,LAMP3,MX1,MX2,NMI,NNMT,OAS1,OAS2,OAS3,OASL,OGFR,PARP12,PARP8,PLAAT4,PML,RIGI,RIPK2,RSAD2,SAMD9,SAMHD1,SHFL,SLC15A3,SLFN12,SP100,SP110,STAT1,STAT2,TAP1,TLR3,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1",83
IFN_ALPHA_COLLAPSED,NA,NA,2.62e-75,"APOL6,BST2,C1R,C1S,CCL2,CCL5,CCL8,CEACAM1,CIITA,CXCL10,CXCL11,CXCL9,DDX60,GBP1,GBP2,HERC6,HLA-A,HLA-C,HLA-DRB1,HLA-E,IDO1,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IRF1,IRF7,ISG15,ISG20,LAMP3,MX1,MX2,OAS1,OAS2,OAS3,OASL,OGFR,PARP12,PLAAT4,PML,RIGI,RSAD2,SAMD9,SAMHD1,SHFL,SLC15A3,SLFN12,SP100,SP110,STAT1,TAP1,TLR3,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1",66
IL27,cytokine,4.11e-74,2.68e-71,"APOBEC3F,APOBEC3G,APOL1,BST2,CCL2,CCL5,CCL7,CCL8,CD74,CIITA,CX3CL1,CXCL10,CXCL11,CXCL9,GBP1,GBP2,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-E,IDO1,IFI27,IFI35,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL32,IRF1,ISG15,ISG20,JAK2,MX1,MX2,OAS1,OAS2,OAS3,OASL,PLAAT4,PML,PSMB10,PSMB8,RSAD2,SAMHD1,SP100,STAT1,STAT2,TAP1,TLR3,TRIM21,TRIM22,UBD,UBE2L6,XAF1",NA
IFNL1,cytokine,7.370000000000001e-73,4.21e-70,"APOL6,ATF3,BST2,CD40,CXCL10,CXCL11,CXCL9,DDX60,GBP1,HERC6,HLA-C,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,ISG15,ISG20,LAMP3,MX1,OAS1,OAS2,OAS3,OASL,PLAAT4,PML,RIGI,RSAD2,RTP4,SAMD9,SHFL,SLC15A3,SP100,SP110,STAT1,STAT2,TLR2,TRIM22,UBE2L6,USP18,XAF1,ZC3HAV1",NA
TNF,cytokine,1.41e-64,5.85e-62,"ACE2,ACP5,ACSL5,APOL1,APOL2,APOL6,ATF3,BBOX1,BPGM,BST2,BTN3A3,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CBR3,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLU,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,CYP1B1,DDX60,ETV7,GBP1,GBP2,GSDMB,GSDMD,HLA-A,HLA-C,HLA-DMB,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-E,HLA-F,HLA-G,HLA-J,HSD11B1,IDO1,IFI27,IFI30,IFI35,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL15,IL15RA,IL32,IRF1,IRF7,ISG15,ISG20,KLF4,LAMP3,LY96,MARCKSL1,MX1,MX2,NNMT,OAS1,OAS2,OAS3,OASL,PCYT1A,PDCD1LG2,PDGFRA,PLA2G3,PLAAT4,PLOD2,PML,PSMB10,PSMB8,RARRES1,RIGI,RIPK2,RSAD2,RTP4,SAMD9,SCNN1A,SERPINB9,SERPING1,SHFL,SLC15A3,SPSB1,STAT1,STAT2,STEAP4,TAP1,TAP2,TAPBPL,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,UBA7,UBD,VSNL1,WARS1,XAF1",NA
IL1B,cytokine,3.1699999999999996e-56,7.63e-54,"APOL1,APOL2,APOL6,ATF3,BTN3A3,C1R,CASP10,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CFB,CIITA,CLU,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,CYP1B1,DDX60,GBP1,GBP2,GSDMB,GSDMD,HERC6,HLA-A,HLA-C,HLA-DMB,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-E,HLA-F,HLA-G,HSD11B1,HSD17B2,IDO1,IFI30,IFIT2,IFIT3,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,KLF4,LY96,MAN1A1,MARCKSL1,MX1,NMI,OAS1,OAS2,OAS3,PDCD1LG2,PDGFRA,PLA2G3,PSMB10,PSMB8,RARRES1,RIGI,RIPK2,RSAD2,SCNN1A,SERPINB9,SERPING1,SHFL,SPSB1,STAT1,TAP2,TAPBPL,TLR2,TLR3,TRAFD1,TRIM21,UBA7,UBD,UBE2L6,USP18,VSNL1,WARS1",NA
IL1RN,cytokine,1.3e-54,2.9799999999999998e-52,"ATF3,BTN3A1,CCL2,CIITA,CTSS,CXCL11,ERAP2,GBP1,GSDMD,HERC6,HLA-DQB1,HSD11B1,IFI27,IFI44,IFI44L,IFIH1,IFIT3,IFIT5,IL32,IRF1,IRF7,ISG20,LAMP3,MX1,MX2,OAS1,OAS2,OAS3,OASL,PML,RARRES1,RIGI,RIPK2,RSAD2,RTP4,SAMD9,SLC15A3,SP100,STAT2,TRIM22,UBD,USP18",NA
IFNB1,cytokine,9.67e-49,1.7e-46,"ACP5,APOL1,APOL2,APOL3,APOL6,BST2,BTN3A3,CASP1,CCL2,CCL5,CCL7,CD40,CREM,CX3CL1,CXCL10,CXCL11,CXCL9,GBP1,HLA-A,HLA-C,IDO1,IFI27,IFIH1,IFIT2,IFIT3,IFITM1,IRF1,IRF7,ISG15,ISG20,MX1,MX2,NMI,NNMT,OAS1,OAS2,PARP12,PARP8,PLAAT4,PML,RIGI,RIPK2,RSAD2,STAT1,STAT2,TLR3,TRIM21,UBA7,USP18,XAF1,ZC3HAV1",NA
