regulator,Molecule.Type,p.value.of.overlap,p_adj,overlap_genes
IL13,cytokine,1.05e-6,2.49e-4,"CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
IL4,cytokine,5.56e-6,6.56e-4,"CEP43,CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC"
OSM,cytokine,7.07e-5,0.00266,"CXCL6,DEFB4A,SERPINB4,SPRR2C"
IL1B,cytokine,1.14e-4,0.00359,"CXCL6,DEFB4A,SERPINB3,SLC11A2,TFRC"
IL1A,cytokine,2.69e-4,0.00636,"CXCL6,DEFB4A,SERPINB4"
IL10,cytokine,8.92e-4,0.0103,"CXCL6,DEFB4A,TFRC"
IL22,cytokine,9.51e-4,0.0104,"CXCL6,DEFB4A"
TNF,cytokine,0.00169,0.013,"CXCL6,DEFB4A,SERPINB4,SLC11A2,TFRC"
CX3CL1,cytokine,0.00176,0.0134,"SLC11A2,TFRC"
IFNG,cytokine,0.00414,0.0215,"CXCL6,DEFB4A,SLC11A2,TFRC"
IL6,cytokine,0.00487,0.0225,"CXCL6,DEFB4A,TFRC"
EPO,cytokine,0.00773,0.0276,"SLC11A2,TFRC"
IL17C,cytokine,0.0113,0.032,DEFB4A
IL37,cytokine,0.0153,0.0385,DEFB4A
GPR15LG,cytokine,0.0173,0.0407,SERPINB3
IL17A,cytokine,0.0175,0.041,"CXCL6,DEFB4A"
CCL11,cytokine,0.0189,0.0418,CXCL6
TIMP1,cytokine,0.022,0.0454,TFRC
