regulator,Molecule.Type,p.value.of.overlap,p_adj,overlap_genes,n_overlap
TNFSF13B,cytokine,1.22e-9,7.2e-7,"CD83,CSF2,INHBA,MMP9,NFKB2",NA
CSF2,cytokine,1.2e-8,5.32e-6,"CD83,CSF2,INHBA,MMP9,NFKB2,SQSTM1",NA
IL1B,cytokine,8.39e-8,1.99e-5,"CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SQSTM1",NA
TNF,cytokine,1.59e-7,2.84e-5,"CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SEMA3C,SQSTM1",NA
IFNG,cytokine,5.08e-7,6.09e-5,"CD83,CSF2,INHBA,MMP9,NFKB2,SEMA3C,SQSTM1",NA
IL17A,cytokine,5.46e-7,6.09e-5,"CD83,CSF2,IGFBP3,MMP9,SQSTM1",NA
TIMP1,cytokine,9.3e-7,7.34e-5,"CSF2,IGFBP3,MMP9",NA
TNFSF14,cytokine,1.21e-6,8.44e-5,"CSF2,INHBA,MMP9",NA
TSLP,cytokine,2.38e-6,1.3e-4,"CD83,CSF2,SQSTM1",NA
TGFB1,growth factor,2.42e-6,1.3e-4,"CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SQSTM1",NA
TNFSF15,cytokine,4e-6,1.75e-4,"CD83,CSF2,MMP9",NA
IL1A,cytokine,4.17e-6,1.8e-4,"CD83,CSF2,INHBA,MMP9",NA
PF4,cytokine,5.68e-6,2.24e-4,"CD83,INHBA,NFKB2",NA
HMGB1,transcription regulator,1.08e-5,3.55e-4,"CD83,MMP9,SQSTM1",NA
IL33,cytokine,1.4e-5,4.19e-4,"CD83,CSF2,MMP9,NFKB2",NA
TNFSF12,cytokine,1.49e-5,4.32e-4,"CSF2,MMP9,NFKB2",NA
GDF2,growth factor,2e-5,4.97e-4,"MMP9,NRCAM,SEMA3C",NA
IL10,cytokine,2.1e-5,5.08e-4,"CD83,CSF2,INHBA,MMP9",NA
FGF2,growth factor,2.57e-5,5.74e-4,"IGFBP3,INHBA,MMP9,SQSTM1",NA
MSTN,growth factor,2.6e-5,5.75e-4,"IGFBP3,INHBA,SEMA3C",NA
IL36G,cytokine,3.59e-5,7.17e-4,"CD83,CSF2,MMP9",NA
IL18,cytokine,5.93e-5,9.55e-4,"CD83,CSF2,MMP9",NA
IL4,cytokine,6.16e-5,9.68e-4,"CD83,CSF2,MMP9,NFKB2,SQSTM1",NA
TGFB2,growth factor,6.17e-5,9.68e-4,"INHBA,MMP9,TMEFF1",NA
KITLG,growth factor,1.07e-4,0.00143,"CSF2,IGFBP3,NFKB2",NA
BMP2,growth factor,1.35e-4,0.00165,"IGFBP3,INHBA,MMP9",NA
TNFSF11,cytokine,1.39e-4,0.00167,"CD83,MMP9,NFKB2",NA
VEGFA,growth factor,1.96e-4,0.00209,"CD83,CSF2,MMP9",NA
IL6,cytokine,2.12e-4,0.00216,"CD83,CSF2,IGFBP3,MMP9",NA
IFNB1,cytokine,2.33e-4,0.0023,"CD83,CSF2,MMP9",NA
TYPE_I_INTERFERON_COLLAPSED,NA,NA,0.0023,"CD83,CSF2,MMP9",3
CSF1,cytokine,2.68e-4,0.00248,"CD83,MMP9,NFKB2",NA
