© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset
IFNG	cytokine	4.07E-126	3.11E-122	ACE2,ACSL5,ADCY7,AIM2,ALOX12,ANGPTL4,APOBEC3G,APOL1,APOL2,APOL6,ATF3,B2M,BACH1,BAK1,BIRC3,BLNK,BMP2,BST2,BTN3A1,BTN3A2,BTN3A3,C1R,C3,CALCOCO2,CAPN3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CDCP1,CEACAM1,CEBPD,CFB,CFH,CFLAR,CIITA,CREM,CTSB,CTSC,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,DDX60,DEFB1,EDN1,EDNRA,EFNB2,ERAP1,ERAP2,ETV7,GBP1,GBP2,GCH1,GSDMB,GSDMD,HBEGF,HCAR3,HCP5,HDAC9,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,ID1,IDO1,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL12RB2,IL15,IL15RA,IL1B,IL22RA1,IL32,IRF1,IRF2,IRF7,ISG15,ISG20,JAK2,JUNB,KLF4,KLF6,KRT13,KRT19,LAMP3,LGALS3BP,LIMK1,LY75,LY96,LYN,MAP2,MAP3K8,MARCKSL1,MMP1,MMP10,MUC1,MX1,MX2,MYD88,NCF2,NEDD9,NFE2L3,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OASL,OCLN,OGFR,OPTN,PANX1,PDCD1LG2,PIM1,PLAAT4,PLAUR,PLSCR1,PMAIP1,PML,PPP1R15A,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RAB27A,RARRES1,RBCK1,RELB,RFX5,RHOB,RIGI,RIPK1,RIPK2,RNF114,RSAD2,RTP4,S100A7,SAMD9,SAMHD1,SBNO2,SCNN1A,SERPINB9,SERPING1,SHFL,SLC15A3,SLC25A22,SMAD7,SMURF1,SOCS1,SOD2,SORT1,SP100,SP110,STAT1,STAT2,STAT3,TAP1,TAP2,TAPBP,TAPBPL,TCIRG1,TGM1,TICAM1,TLR2,TLR3,TMEM158,TNFAIP2,TNFRSF14,TNFSF10,TOP1,TRAFD1,TRIM21,TRIM22,TYMP,UBA7,UBD,UBE2L6,USP18,VEGFC,VLDLR,VSNL1,WARS1,XAF1,ZC3HAV1
TNF	cytokine	1.69E-123	6.45E-120	ACE2,ACP5,ACSL5,ADAM8,ADCY7,ANGPTL4,APOBEC3B,APOL1,APOL2,APOL6,ARHGEF5,ATF3,B2M,BBOX1,BDKRB1,BHLHE40,BIRC3,BMP2,BPGM,BST2,BTN3A3,C1R,C1S,C3,CA2,CASP1,CASP10,CASP4,CASP7,CBR3,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CDC42EP4,CEACAM1,CEBPD,CFB,CFH,CFLAR,CIITA,CLCF1,CLDN7,CLU,CREM,CTSB,CTSC,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYLD,CYP1B1,CYP27B1,CYP2J2,DDX60,DRAM1,DSC2,DUSP10,EDN1,EFNB2,EHD1,EMP2,ETV7,FLNB,FZD5,GBP1,GBP2,GCH1,GCLM,GPRC5A,GSDMB,GSDMD,HBEGF,HCAR3,HDAC9,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-E,HLA-F,HLA-G,HLA-J,HSD11B1,ICAM1,ID1,IDO1,IFI27,IFI30,IFI35,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL15,IL15RA,IL1B,IL1R2,IL32,INAVA,IRF1,IRF2,IRF7,ISG15,ISG20,ITSN2,JUNB,KLF4,KLF6,KRT13,KRT34,KRT8,LAMP3,LGALS8,LIMK1,LY96,LYN,MAP3K8,MARCKSL1,MBP,MICB,MMP1,MMP10,MUC1,MVP,MX1,MX2,MYD88,MYO1B,NCF2,NEDD9,NFKBIA,NFKBIE,NINJ1,NNMT,NUAK2,OAS1,OAS2,OAS3,OASL,OCLN,OPTN,PANX1,PCDH7,PCYT1A,PDCD1LG2,PDGFRA,PDPN,PDZD2,PIM1,PLA2G3,PLAAT4,PLAGL2,PLAUR,PLOD2,PLSCR1,PMAIP1,PML,PPP1R15A,PRDM1,PROCR,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,QKI,QPCT,RARRES1,RELB,RFX5,RHBDF2,RHOB,RIGI,RIPK1,RIPK2,RRAD,RSAD2,RTP4,S100A7,SAA1,SAA2,SAMD9,SCNN1A,SERPINB1,SERPINB9,SERPING1,SHFL,SLC15A3,SLC25A22,SLC2A6,SMAD7,SMURF1,SOCS1,SOD2,SPHK1,SPSB1,STAT1,STAT2,STAT3,STEAP4,SUSD6,SYNPO,TAP1,TAP2,TAPBP,TAPBPL,TDRD7,TGFA,TICAM1,TLR2,TLR3,TMEM40,TNC,TNFAIP2,TNFAIP3,TNFAIP8,TNFRSF14,TNFRSF25,TNFSF10,TNIP1,TRADD,TRAFD1,TRIM21,TYMP,UBA7,UBD,VEGFC,VSNL1,WARS1,XAF1,ZC3H12A,ZNF267,ZNF750
INTERFERON ALPHA (family)	group	2.29E-94	3.50E-91	ACP2,AIM2,APOBEC3A,APOBEC3F,APOBEC3G,APOL1,APOL2,APOL3,ATF3,B2M,BAK1,BST2,C3,CADM1,CASP1,CCL2,CCL5,CCL7,CD40,CEACAM1,CIITA,CMTR1,CTSS,CXCL10,CXCL11,CXCL2,CXCL9,CYP1B1,DEFB1,GBP1,GBP2,HERC6,HLA-A,HLA-B,HLA-C,HLA-F,HLA-G,ICAM1,IDO1,IFI16,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFITM1,IFITM2,IL12RB2,IL15,IL15RA,IL1B,IL32,IRF1,IRF7,ISG15,ISG20,KRT19,LAMP3,LAP3,LGALS3BP,MARCKSL1,MMP1,MX1,MX2,MYD88,NFE2L3,NFKBIA,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PHF11,PIM1,PLAAT4,PLAUR,PLSCR1,PMAIP1,PML,PSMB10,PSMB8,PSMB9,PTGS2,RBCK1,RIGI,RIPK1,RSAD2,RTP4,SAMD9,SEC24A,SERPINB1,SERPINB9,SHFL,SLC2A3,SOCS1,SP100,SP110,STAP2,STAT1,STAT2,STAT3,TAP1,TAP2,TAPBP,TDRD7,TGM1,TICAM1,TLR2,TLR3,TNFAIP2,TNFSF10,TRAFD1,TRIM21,TRIM22,TYMP,UBA7,UBE2L6,ULBP2,USP18,WARS1,ZC3HAV1
IRF1	transcription regulator	4.16E-88	5.29E-85	ADAM8,APOL3,APOL6,B2M,BAK1,BST2,CASP1,CASP7,CCL2,CCL5,CD40,CD74,CEACAM1,CFB,CIITA,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,ERAP1,GBP2,GSDMD,HERC6,HLA-G,IDO1,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL1B,IRF1,IRF2,IRF7,ISG15,JAK2,LGALS3BP,MX1,NCF2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PCDH7,PDCD1LG2,PLAAT4,PLSCR1,PML,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RIGI,RSAD2,RTP4,SAMHD1,SOCS1,SP110,STAT1,STAT2,STAT3,TAP1,TAP2,TAPBP,TDRD7,TLR3,TNFSF10,TRADD,TRIM21,TRIM22,UBD,UBE2L6,USP18,XAF1
IL1B	cytokine	1.06E-81	1.16E-78	ADAM8,AKIP1,ALOX12,ANGPTL4,APOL1,APOL2,APOL6,ATF3,B2M,BDKRB1,BHLHE40,BIRC3,BMP2,BTN3A3,C1R,C3,CASP10,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD47,CD74,CEBPD,CFB,CFLAR,CIITA,CLU,CREM,CTSB,CTSS,CX3CL1,CXCL10,CXCL11,CXCL2,CXCL9,CYP1B1,CYP27B1,DDX60,EDN1,EHD1,FADS3,GBP1,GBP2,GCH1,GSDMB,GSDMD,HBEGF,HERC6,HLA-A,HLA-B,HLA-C,HLA-DMB,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-E,HLA-F,HLA-G,HSD11B1,HSD17B2,ICAM1,IDO1,IFI30,IFIT2,IFIT3,IFITM2,IL15,IL15RA,IL1B,IL1R2,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JUNB,KLF4,KRT19,KRT34,LY96,LYN,MAN1A1,MAP3K8,MARCKSL1,MMP1,MMP10,MUC1,MX1,MYD88,NFKBIA,NFKBIE,NMI,OAS1,OAS2,OAS3,OCLN,PCDH7,PDCD1LG2,PDGFRA,PDPN,PIM1,PLA2G3,PLAUR,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,QPCT,RARRES1,RELB,RHOB,RIGI,RIPK2,RSAD2,SAA1,SAA2,SCNN1A,SERPINB9,SERPING1,SHFL,SLC25A22,SLC2A6,SMAD7,SOCS1,SOD2,SPSB1,STAT1,STAT3,STXBP1,TAP2,TAPBP,TAPBPL,TGM1,TICAM1,TLR2,TLR3,TMEM132A,TNFAIP2,TNFAIP3,TNFSF10,TNIP1,TRAFD1,TRIM21,TYMP,UBA7,UBD,UBE2L6,USP18,VEGFC,VSNL1,WARS1,ZC3H12A
IFNA2	cytokine	2.67E-81	2.55E-78	APOL6,B2M,BST2,C1R,C1S,CCL2,CCL5,CCL8,CEACAM1,CIITA,CXCL10,CXCL11,CXCL9,DDX60,GBP1,GBP2,HBEGF,HERC6,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E,IDO1,IFI16,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL1B,IRF1,IRF7,ISG15,ISG20,LAMP3,LGALS3BP,LYN,MX1,MX2,OAS1,OAS2,OAS3,OASL,OGFR,PARP12,PHF11,PLAAT4,PLSCR1,PMAIP1,PML,PSME1,PSME2,RIGI,RSAD2,SAMD9,SAMHD1,SHFL,SLC15A3,SLFN12,SOCS1,SP100,SP110,STAT1,STAT3,TAP1,TDRD7,TLR3,TNFSF10,TRIM21,TRIM22,TYMP,UBA7,UBD,UBE2L6,USP18,VEGFC,XAF1,ZC3HAV1
IL27	cytokine	4.02E-80	3.41E-77	ANGPTL4,APOBEC3F,APOBEC3G,APOL1,B2M,BST2,CCL2,CCL5,CCL7,CCL8,CD74,CEBPD,CFLAR,CIITA,CX3CL1,CXCL10,CXCL11,CXCL9,EDN1,GBP1,GBP2,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-E,ICAM1,IDO1,IFI16,IFI27,IFI35,IFI6,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IL10RB,IL12RB2,IL15,IL15RA,IL1B,IL32,IRF1,ISG15,ISG20,JAK2,MX1,MX2,OAS1,OAS2,OAS3,OASL,PIM1,PLAAT4,PML,PRDM1,PSMB10,PSMB8,PSMB9,PSME1,PTGS2,RSAD2,SAMHD1,SOCS1,SP100,STAT1,STAT2,STAT3,TAP1,TGFA,TLR3,TNFSF10,TRIM21,TRIM22,UBD,UBE2L6,XAF1
CHROMR	other	1.71E-79	1.30E-76	APOL1,APOL6,BST2,BTN3A3,CASP7,CCL2,CCL8,CEBPD,CXCL10,CXCL11,CYP1B1,DDX60,ETV7,GBP1,GBP2,GCH1,HERC6,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IRF1,IRF2,ISG15,JAK2,JUNB,LAP3,MAFB,MX1,MX2,MYD88,N4BP1,OAS1,OAS2,OAS3,OASL,PARP12,PHF11,PLSCR1,PML,RAB27A,RIGI,RSAD2,RTP4,SAMHD1,SECTM1,SLC25A28,SP110,SPSB1,STAT1,STAT2,TDRD7,TENT5A,TLR3,TNFAIP3,TNFSF10,TYMP,UBA7,USP18,VEGFC,WARS1,XAF1,ZC3HAV1
STAT1	transcription regulator	2.77E-73	1.92E-70	APOBEC3G,APOL1,APOL2,APOL6,B2M,BST2,C1R,C1S,C3,CASP1,CCL2,CCL5,CD40,CEBPD,CFB,CIITA,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,EDN1,GBP1,GBP2,HBEGF,HERC6,HLA-E,ICAM1,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFITM1,IFITM2,IL12RB2,IL15,IL15RA,IL1B,IL1R2,IRF1,IRF2,IRF7,ISG15,JAK2,KLF4,LY96,MUC1,MX1,MYD88,OAS1,OAS2,OAS3,PDCD1LG2,PIM1,PLSCR1,PMAIP1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGS2,RSAD2,RTP4,SAA2,SAMHD1,SERPING1,SMAD7,SOCS1,SORT1,STAT1,STAT2,STAT3,TAP1,TAPBPL,TGFA,TLR3,TNC,TNFAIP3,TNFSF10,TP53BP2,TRAFD1,TRIM21,TRIM22,TYMP,UBD,USP18,WARS1,XAF1
IFNL1	cytokine	4.25E-70	2.70E-67	APOL6,ATF3,BST2,CD40,CXCL10,CXCL11,CXCL9,DDX60,GBP1,HERC6,HLA-B,HLA-C,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,ISG15,ISG20,LAMP3,LGALS3BP,MX1,OAS1,OAS2,OAS3,OASL,PHF11,PLAAT4,PLSCR1,PML,PSMB9,RIGI,RSAD2,RTP4,SAMD9,SHFL,SLC15A3,SP100,SP110,STAT1,STAT2,TDRD7,TLR2,TRIM22,UBE2L6,USP18,XAF1,ZC3HAV1
