© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset
IL1A	cytokine	6.10E-34	2.39E-30	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,IL36G,LCN2,LYN,NOD2,PDZK1IP1,PI3,RHCG,S100A7,S100A9,SAA1,SAA2,SERPINB4,SPRR2B,ZC3H12A
IL22	cytokine	5.55E-26	1.08E-22	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,IL36G,LCN2,PI3,S100A7,S100A9,SAA1
IL17A	cytokine	4.21E-24	5.49E-21	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,IL36G,LCN2,LYN,NOD2,PI3,S100A7,S100A9,SAA1,SPRR2B,TNFSF10,ZC3H12A
IL1B	cytokine	1.31E-22	1.28E-19	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,IL36G,IL36RN,KRT34,LCN2,LYN,MAP3K8,NOD2,PI3,S100A9,SAA1,SAA2,SERPINB3,SLC11A2,TFRC,TNFSF10,ZC3H12A
IL17C	cytokine	2.37E-22	1.86E-19	CCL20,CXCL8,DEFB4A,IL1B,IL36G,IL36RN,LCN2,PI3,S100A7,S100A9
IL17F	cytokine	3.65E-22	2.38E-19	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,IL1B,LCN2,LYN,PI3,S100A9,SAA1,TNFSF10
IL17R (complex)	complex	1.16E-21	6.49E-19	CCL20,CXCL1,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,S100A7,S100A9
OSM	cytokine	4.65E-21	2.28E-18	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,KRT34,LCN2,PDZK1IP1,PI3,S100A7,S100A9,S100P,SAA1,SERPINB4,SPRR2C
TNF	cytokine	2.29E-20	9.97E-18	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,IL36G,IL36RN,KRT34,LCN2,LYN,MAP3K8,NCF2,NOD2,PI3,S100A7,S100A9,SAA1,SAA2,SERPINB4,SLC11A2,SPRR2B,TFRC,TNFSF10,ZC3H12A
IL36A	cytokine	9.32E-18	3.65E-15	CCL20,CXCL1,CXCL8,IL1B,IL36G,LCN2,S100A7,S100A9
NFKB (complex)	complex	3.17E-17	1.13E-14	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,LCN2,MAP3K8,NCF2,SAA1,SLC11A2,TFRC,TNFSF10,ZC3H12A
TREM1	transmembrane receptor	1.25E-16	4.07E-14	ATP1B1,CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,DEFB4A,IL1B,IL36RN,MAP3K8,NOD2
OSCAR	other	2.28E-16	6.85E-14	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,MAP3K8,TNFSF10
NFKBIZ	transcription regulator	1.47E-15	3.59E-13	CCL20,CXCL8,DEFB4A,IL1B,IL36G,LCN2,S100A7,S100A9
COLLAGEN TYPE II (complex)	complex	2.67E-15	5.80E-13	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,IL1B,MAP3K8,TNFSF10
IFNG	cytokine	8.99E-15	1.67E-12	ATP1B1,CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,IL36G,LCN2,LYN,MAP3K8,NCF2,NOD2,S100A7,S100A9,SLC11A2,TFRC,TNFSF10
IL1RL2	transmembrane receptor	1.57E-14	2.79E-12	CCL20,CXCL1,CXCL2,CXCL8,IL1B,LCN2,S100A9
STING1	ion channel	3.15E-14	5.36E-12	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,IL1B,LCN2,NOD2,S100A9
EHF	transcription regulator	3.56E-14	5.80E-12	CCL20,IL1B,LYN,RHCG,S100A7,S100A9,SAA1,SAA2,SPRR3
NFKB1	transcription regulator	6.18E-14	9.02E-12	CCL20,CXCL1,CXCL2,CXCL3,CXCL8,DEFB4A,IL1B,LCN2,MAP3K8,NOD2,PI3,TNFSF10
IL6	cytokine	8.48E-14	1.14E-11	CCL20,CXCL1,CXCL2,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,LCN2,NCF2,S100A7,S100A9,SAA1,SAA2,TFRC,TNFSF10
IL1 (family)	group	1.22E-13	1.59E-11	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,DEFB4A,IL1B,S100A9,SAA1,SAA2,TNFSF10
CHD1	enzyme	1.47E-13	1.85E-11	CCL20,CXCL1,CXCL2,CXCL3,CXCL6,IL1B
IL10	cytokine	2.34E-13	2.86E-11	CCL20,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,LYN,MAP3K8,NOD2,S100A9,TFRC,TNFSF10
GNA13	enzyme	5.87E-13	6.76E-11	CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8
NFKB1-RELA (complex)	complex	1.31E-12	1.47E-10	CCL20,CXCL1,CXCL5,CXCL8,IL1B,LCN2,NOD2
HBB	enzyme	2.77E-12	2.78E-10	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,IL1B
CD36	transmembrane receptor	4.07E-12	3.89E-10	CCL20,CXCL1,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B
IL1R (family)	group	5.37E-12	5.00E-10	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,IL1B
IL13	cytokine	1.01E-11	9.15E-10	CCL20,CXCL1,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,S100A9,SERPINB3,SERPINB4,TFRC,TNFSF10
CAMP	other	1.25E-11	1.11E-09	CCL20,CXCL1,CXCL2,CXCL5,CXCL8,IL1B,IL36G,IL36RN
RELA	transcription regulator	1.40E-11	1.22E-09	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,DEFB4A,IL1B,LYN,NOD2,PI3,SAA2
MUC16	other	1.80E-11	1.53E-09	CCL20,CXCL1,CXCL3,CXCL5,CXCL8,IL1B
STAT3	transcription regulator	1.92E-11	1.60E-09	CCL20,CXCL2,CXCL3,CXCL6,CXCL8,IL1B,KRT34,LCN2,S100A7,S100A9,SAA1,SERPINB3,SERPINB4,TNFSF10
DDX5	enzyme	2.49E-11	1.97E-09	CCL20,CXCL1,CXCL2,CXCL8,DEFB4A,IL1B,LCN2,ZC3H12A
JAG2	growth factor	2.52E-11	1.97E-09	CCL20,CXCL1,CXCL3,CXCL5,CXCL6,IL1B
SERPINB3	other	2.61E-11	2.00E-09	CXCL1,CXCL8,IL1B,S100A9,SERPINB3
RBCK1	transcription regulator	3.46E-11	2.61E-09	CXCL1,CXCL3,CXCL5,CXCL8,IL36G,MAP3K8
TRAF6	enzyme	4.67E-11	3.38E-09	CCL20,CXCL1,CXCL5,CXCL8,DEFB4A,IL1B,NCF2
STAT1	transcription regulator	5.38E-11	3.76E-09	CCL20,CXCL1,CXCL8,DEFB4A,IL1B,LCN2,S100A9,SAA2,SERPINB3,SERPINB4,TNFSF10
MEOX2	transcription regulator	6.25E-11	4.29E-09	CCL20,CXCL1,CXCL2,CXCL3,CXCL6,CXCL8
HMGB2	transcription regulator	7.18E-11	4.76E-09	CCL20,CXCL1,CXCL2,CXCL5,CXCL8,IL1B
BTG2	transcription regulator	8.22E-11	5.36E-09	CCL20,CXCL1,CXCL2,CXCL3,CXCL8,IL1B
OGG1	enzyme	9.22E-11	5.92E-09	CCL20,CXCL1,CXCL2,CXCL8,IL1B
TRIM3	enzyme	1.21E-10	7.63E-09	CXCL3,CXCL5,CXCL6,CXCL8,IL1B
CCDC50	other	1.55E-10	9.63E-09	CXCL2,CXCL3,CXCL8,IL1B
IL17A DIMER (complex)	complex	2.00E-10	1.22E-08	CCL20,CXCL1,DEFB4A,IL1B,LCN2
MAP3K7	kinase	2.39E-10	1.44E-08	CCL20,CXCL8,DEFB4A,IL1B,NOD2,S100A9,SAA1,TNFSF10
IMMUNOGLOBULIN (complex)	complex	3.71E-10	2.20E-08	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,DEFB4A,IL1B,LCN2,LYN,NCF2,S100A9,SLC11A2,TFRC,TNFSF10
CHUK	kinase	3.85E-10	2.25E-08	CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,IL1B,LCN2,TNFSF10
SMPD1	enzyme	4.19E-10	2.41E-08	CCL20,CXCL1,CXCL2,CXCL8,IL1B,TNFSF10
IMMT	other	4.63E-10	2.59E-08	CCL20,CXCL1,CXCL2,CXCL3,CXCL6,CXCL8
MIR31HG	other	5.80E-10	3.06E-08	CXCL1,CXCL2,CXCL5,CXCL8,IL1B
TLR4	transmembrane receptor	8.13E-10	4.19E-08	CCL20,CXCL6,CXCL8,DEFB4A,IL1B,LCN2,NOD2,TFRC,TNFSF10,ZC3H12A
IKBKB	kinase	1.00E-09	5.08E-08	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,IL1B,LCN2
SERPINB7	other	1.18E-09	5.78E-08	CCL20,CXCL1,CXCL2,CXCL3,CXCL5,IL1B,S100A7
CES1	enzyme	1.18E-09	5.78E-08	CXCL1,CXCL2,CXCL3,CXCL8,IL1B
NFKBIA	transcription regulator	1.30E-09	6.28E-08	CCL20,CXCL1,CXCL2,CXCL8,IL1B,LCN2,NOD2,S100A9,TFRC,TNFSF10
IL1RN	cytokine	1.45E-09	6.86E-08	CCL20,CXCL1,CXCL5,CXCL8,IL1B,S100A9,TNFSF10
CXADR	transmembrane receptor	1.46E-09	6.86E-08	CXCL1,CXCL3,CXCL8,IL1B
MAPK14	kinase	1.68E-09	7.84E-08	CXCL1,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,IL1B,S100A9
PELP1	other	1.77E-09	8.14E-08	CXCL1,CXCL8,IL1B,KRT34,PI3,S100A9,SAA1
NOD2	other	1.90E-09	8.64E-08	CXCL2,CXCL3,CXCL8,DEFB4A,IL1B,MAP3K8
RNF31	enzyme	2.05E-09	9.24E-08	CCL20,CXCL1,CXCL8,IL1B,IL36G,IL36RN
TAB1	enzyme	2.55E-09	1.12E-07	CCL20,CXCL8,IL1B,SAA1,TNFSF10
FABP5	transporter	2.78E-09	1.21E-07	CXCL1,CXCL2,CXCL8,DEFB4A,IL1B,IL36G
IL37	cytokine	2.93E-09	1.26E-07	CXCL8,DEFB4A,IL1B,S100A7,S100A9
