© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset
ETV3	transcription regulator	1.15E-46	2.06E-43	BST2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IRF7,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,USP18
IRGM	enzyme	2.43E-46	2.17E-43	BST2,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,TRIM21,TRIM69,UBE2L6,USP18
TNF (family)	group	5.02E-45	2.99E-42	BST2,CARD16,CMPK2,DDX60,DKK1,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18
IRF7	transcription regulator	7.42E-43	3.31E-40	CARD16,CMPK2,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PLAC8,RIGI,RSAD2,TRIM21,UBE2L6,USP18
IFNL1	cytokine	4.20E-42	1.07E-39	BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,LGALS3BP,MX1,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,UBE2L6,USP18
IFNAR1	transmembrane receptor	1.32E-41	2.94E-39	BST2,CMPK2,DDX60,HELZ2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,PARP9,PNPT1,RSAD2,TRIM21,UBE2L6,USP18
NONO	transcription regulator	1.70E-41	3.37E-39	CMPK2,DDX60,HERC5,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,PNPT1,RIGI,RSAD2,UBE2L6,USP18
RNASEH2B	other	2.28E-41	4.07E-39	BST2,CFB,CMPK2,DDX60,HELZ2,IFI35,IFI44L,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,MX1,MX2,OAS1,OAS2,OAS3,PARP9,RIGI,RSAD2,TRIM21,USP18
IFNA2	cytokine	2.33E-40	3.78E-38	BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18
ETV6	transcription regulator	2.56E-39	3.80E-37	CMPK2,DDX60,IFI35,IFI44L,IFIT1,IFIT3,IFITM1,ISG15,LGALS3BP,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6
TREX1	enzyme	9.80E-39	1.35E-36	BST2,CFB,CMPK2,DDX60,HELZ2,IFI44L,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18
IRF1	transcription regulator	4.74E-38	6.04E-36	BST2,CFB,CMPK2,DDX60,HELZ2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,TRIM21,UBE2L6,USP18
CSF1	cytokine	3.77E-37	4.49E-35	BST2,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18
UBAP1	other	1.36E-35	1.52E-33	BST2,IFI35,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,USP18
INTERFERON ALPHA (family)	group	1.94E-34	2.04E-32	ADAMTS1,BST2,CMPK2,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,PNPT1,PPM1K,RIGI,RSAD2,TRIM21,UBE2L6,USP18
CHROMR	other	2.26E-34	2.24E-32	BST2,DDX60,IFI35,IFI44L,IFIT1,IFIT3,IFITM1,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PNPT1,PPM1K,RIGI,RSAD2,TIMP1,USP18
F3	transmembrane receptor	3.47E-34	3.27E-32	BST2,CMPK2,DDX60,HELZ2,IFI35,IFI44L,IFIT1,IFIT3,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,OAS1,OAS3,PARP9,PNPT1,RSAD2,TRIM21,UBE2L6,USP18
STAG2	other	3.92E-34	3.50E-32	CMPK2,DDX60,HELZ2,IFI35,IFI44L,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,OAS1,OASL,PARP9,RSAD2,UBE2L6,USP18
RIPK2	kinase	5.31E-33	4.51E-31	CMPK2,HELZ2,IFI35,IFI44L,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,TRIM21,TRIM69,USP18
BANF1	other	5.32E-32	4.32E-30	BST2,DDX60,HERC5,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX2,OAS1,OAS2,OASL,RIGI,RSAD2,TIMP1
TNIK	kinase	1.10E-31	8.52E-30	IFI35,IFI44L,IFI6,IFIT1,IFIT3,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OASL,RSAD2
STING1	ion channel	1.78E-30	1.27E-28	BST2,CMPK2,DDX60,IFI35,IFI44L,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM69,USP18
PRL	cytokine	1.91E-30	1.31E-28	BST2,CMPK2,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LY6E,MX2,OAS1,OAS2,OAS3,PNPT1,PPM1K,RIGI,RSAD2,TIMP1,USP18
RNY3	other	1.76E-29	1.16E-27	DDX60,HERC5,IFI44L,IFIT1,IFIT3,ISG15,LY6E,MX1,OAS1,OAS2,OAS3,OASL,RSAD2
CGAS	enzyme	3.98E-29	2.54E-27	BST2,DDX60,HERC5,IFI44L,IFIT1,IFIT3,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,RSAD2,USP18
ZNF750	transcription regulator	7.54E-29	4.64E-27	BST2,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2
IFN BETA (family)	group	3.82E-28	2.27E-26	BST2,CMPK2,HERC5,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PNPT1,RIGI,RSAD2,TRIM21,USP18
CNOT7	transcription regulator	4.98E-28	2.87E-26	BST2,CMPK2,IFI35,IFI44L,IFI6,IFITM1,ISG15,LGALS3BP,OAS1,OAS2,OAS3,PPM1K,UBE2L6
RC3H1	enzyme	3.03E-27	1.69E-25	BST2,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,ISG15,MX1,OAS1,OAS2,OAS3,PARP9,RIGI,RSAD2,TRIM21
PBRM1	other	6.82E-27	3.58E-25	BST2,CMPK2,DDX60,IFI35,IFI44L,IFIT3,IRF7,ISG15,LGALS3BP,LY6E,MX1,OASL,RSAD2,TRIM21,UBE2L6,USP18
IFNG	cytokine	1.38E-26	6.86E-25	BST2,CFB,CMPK2,DDX60,DKK1,HCP5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RIGI,RSAD2,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18
STAT1	transcription regulator	9.37E-26	4.52E-24	BST2,CFB,CMPK2,DDX60,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LY6E,MX1,OAS1,OAS2,OAS3,PARP9,RSAD2,TRIM21,USP18
IFN TYPE 1 (family)	group	1.06E-25	4.99E-24	BST2,HERC5,IFI44L,IFI6,IFIT1,IFIT3,ISG15,LY6E,MX1,OAS1,OAS2,OAS3,RIGI,RSAD2,USP18
MUC1	transmembrane receptor	1.83E-25	8.40E-24	BST2,CMPK2,DDX60,IFI35,IFI44L,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,OASL,RIGI,RSAD2,TRIM21,UBE2L6,USP18
IRF3	transcription regulator	2.82E-25	1.26E-23	BST2,CMPK2,HELZ2,IFI44L,IFI6,IFIT1,IFIT3,IFNK,IRF7,ISG15,MX1,OAS1,OAS3,PLAC8,RIGI,RSAD2,UBE2L6,USP18
TLR3	transmembrane receptor	5.67E-25	2.47E-23	CFB,CMPK2,HERC5,IFI44L,IFI6,IFIT1,IFIT3,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OASL,RIGI,RSAD2,TIMP1,TRIM69,USP18
IFNB1	cytokine	6.97E-25	2.96E-23	BST2,CMPK2,HERC5,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,PARP9,RIGI,RSAD2,TIMP1,TRIM21,USP18
IL4	cytokine	1.38E-24	5.73E-23	BST2,CARD16,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TIMP1,TRIM21,UBE2L6,USP18
IL27	cytokine	2.11E-24	8.55E-23	BST2,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,TRIM21,UBE2L6
IRF9	transcription regulator	5.28E-24	2.10E-22	CMPK2,HELZ2,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,MX1,OAS2,OAS3,RIGI,RSAD2,USP18
MAPK1	kinase	8.90E-24	3.38E-22	BST2,CFB,HERC5,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,MX2,OAS1,OAS2,OAS3,OASL,RIGI,TRIM21,UBE2L6,USP18
STAT2	transcription regulator	1.09E-23	4.07E-22	IFI35,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX1,OAS1,OAS2,RSAD2,USP18
PRKCA	kinase	2.48E-23	9.05E-22	BST2,IFI35,IFI6,IFIT1,IFIT3,IFITM1,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,SLC40A1,USP18
MAVS	other	1.16E-22	4.15E-21	CFB,CMPK2,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,OAS1,OAS3,OASL,RIGI,RSAD2,UBE2L6,USP18
EIF2AK2	kinase	2.07E-22	7.26E-21	IFI35,IFI6,IFIT1,IFITM1,IFITM2,ISG15,LGALS3BP,MX1,OAS1,OAS3,PARP9,RIGI,UBE2L6,USP18
IMMUNOGLOBULIN (complex)	complex	1.87E-21	6.41E-20	BST2,CMPK2,EVA1A,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PLAC8,RIGI,RSAD2,TIMP1,UBE2L6,USP18
TTC39A-AS1	other	4.09E-21	1.38E-19	IFI35,IRF7,ISG15,LGALS3BP,LY6E,MX1,OAS3,PARP9,RIGI,RSAD2,UBE2L6,USP18
IL1RN	cytokine	5.73E-21	1.86E-19	IFI44L,IFI6,IFIT3,IRF7,MX1,MX2,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,TIMP1,USP18
IFNAR2	transmembrane receptor	8.62E-21	2.75E-19	HERC5,IFI6,IFITM1,ISG15,MX1,MX2,OAS1,OAS2,RIGI,UBE2L6,USP18
RIGI	enzyme	1.92E-20	6.01E-19	CFB,HERC5,IFI35,IFIT1,IFIT3,IFITM1,IRF7,ISG15,MX1,OAS1,OAS3,RIGI,RSAD2,USP18
