© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset
IL1B	cytokine	3.51E-34	1.53E-30	BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,IL1R2,IL36G,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,SAA1,SAA2,SOCS1,SQSTM1,TMEM132A,TNFAIP3,TNFSF10,TYMP
IL1A	cytokine	4.56E-32	9.96E-29	BIRC3,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,IL1R2,IL36G,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NOD2,RHCG,S100A7,SAA1,SAA2,TNFAIP3
TNF	cytokine	7.56E-32	1.10E-28	BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,HDAC9,ICAM1,IGFBP3,IL1R2,IL36G,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SAA1,SAA2,SEMA3C,SERPINB1,SOCS1,SQSTM1,TNFAIP3,TNFSF10,TYMP
IL17A	cytokine	2.61E-29	2.84E-26	C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,IL36G,LYN,MMP1,MMP9,MUC1,NOD2,PLAUR,S100A7,SAA1,SOCS1,SQSTM1,TNFAIP3,TNFSF10,TYMP
IFNG	cytokine	2.74E-27	2.39E-24	BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,HDAC9,ICAM1,IL36G,INHBA,LYN,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,NFKBIE,NOD2,PLAUR,PSMB9,RELB,S100A7,SEMA3C,SOCS1,SQSTM1,TNFSF10,TYMP
IL1 (family)	group	9.59E-26	6.98E-23	BMP2,C3,CCL20,CEACAM6,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,IL1R2,INHBA,MMP1,MMP10,MMP9,RELB,SAA1,SAA2,TNFAIP3,TNFSF10,TYMP
NFKB (complex)	complex	6.27E-25	3.42E-22	BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HDAC9,ICAM1,MMP1,MMP9,NCF2,NFKB2,NFKBIE,PLAUR,PSMB9,RELB,SAA1,SOCS1,TNFAIP3,TNFSF10
CHUK	kinase	5.70E-24	2.26E-21	BIRC3,BMP2,C3,CD83,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,MMP10,MMP9,NFKB2,NFKBIE,RELB,SEMA3C,SQSTM1,TNFAIP3,TNFSF10
STING1	ion channel	6.97E-24	2.54E-21	CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,IGFBP3,INHBA,MMP1,MMP10,NFKB2,NOD2,PLAUR,PSMB9,SOCS1,SQSTM1
RELA	transcription regulator	7.85E-24	2.64E-21	BIRC3,BMP2,C3,CCL20,CSF2,CXCL3,CXCL5,CXCL8,HDAC9,ICAM1,LYN,MMP1,MMP9,MUC1,NFKB2,NFKBIE,NOD2,PSMB9,RELB,SAA2,TNFAIP3
NFKB1	transcription regulator	9.94E-23	3.10E-20	BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL8,ICAM1,IGFBP3,MMP10,MMP9,NFKB2,NOD2,RELB,SQSTM1,TNFAIP3,TNFSF10
IL10	cytokine	2.81E-21	8.19E-19	BMP2,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HDAC9,ICAM1,IL1R2,INHBA,LYN,MMP1,MMP9,MUC1,NOD2,PSMB9,SOCS1,TNFSF10
ERK1/2 (family)	group	5.54E-21	1.51E-18	BIRC3,BMP2,C3,CCL20,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,MMP1,MMP10,MMP9,PLAUR,PSMB9,TYMP
NFKB1-RELA (complex)	complex	6.66E-21	1.71E-18	CCL20,CSF2,CXCL5,CXCL8,ICAM1,MMP1,MMP9,NFKB2,NFKBIE,NOD2,RELB
F2	peptidase	1.65E-20	4.00E-18	BIRC3,CCL20,CXCL3,CXCL5,CXCL8,HBEGF,HDAC9,ICAM1,MMP1,MMP10,MMP9,NCF2,PLAUR,RELB,TNFAIP3,TNFSF10
IL1R (family)	group	6.70E-20	1.48E-17	CCL20,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,IGFBP3,MMP1,MMP10,MMP9,PLAUR
IKBKB	kinase	1.06E-19	2.19E-17	BIRC3,BMP2,C3,CCL20,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,MMP1,MMP9,NFKB2,RELB,SEMA3C,SOCS1,TNFAIP3
OSM	cytokine	1.17E-19	2.33E-17	CCL20,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,IL1R2,MMP1,MMP10,MMP9,PSMB9,S100A7,S100P,SAA1,SERPINB1,SOCS1,TYMP
CD40LG	cytokine	1.40E-19	2.66E-17	BIRC3,CCL20,CD83,CXCL5,CXCL8,ICAM1,INHBA,MMP10,NFKB2,NFKBIE,PLAUR,PSMB9,RELB,SOCS1,TNFAIP3,TNFSF10,TYMP
STAT3	transcription regulator	2.25E-19	4.09E-17	BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL8,ICAM1,MMP1,MMP10,MMP9,MUC1,NFKB2,NFKBIE,PLAUR,PSMB9,S100A7,SAA1,SERPINB1,SOCS1,TNFSF10
IL17F	cytokine	2.82E-19	4.92E-17	CCL20,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IGFBP3,LYN,MMP1,PLAUR,SAA1,TNFSF10
RIGI	enzyme	3.08E-19	5.18E-17	CCL20,CD83,CSF2,CXCL5,CXCL8,ICAM1,NFKB2,NOD2,PLAUR,RELB,SOCS1,TNFAIP3,TNFSF10
TLR4	transmembrane receptor	4.79E-19	7.75E-17	BMP2,C3,CCL20,CSF2,CXCL8,HBEGF,ICAM1,INHBA,MMP1,MMP9,NFKB2,NOD2,RELB,SOCS1,SQSTM1,TNFAIP3,TNFSF10
JUN	transcription regulator	5.15E-19	8.03E-17	BIRC3,C3,CCL20,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,IGFBP3,MMP1,MMP10,MMP9,NCF2,NFKB2,NRCAM,PLAUR,RELB,SAA1
IL22	cytokine	8.37E-19	1.26E-16	C3,CCL20,CXCL3,CXCL5,CXCL8,HBEGF,IL36G,MMP1,MMP9,MUC1,S100A7,SAA1
JUNB	transcription regulator	1.19E-18	1.73E-16	C3,CCL20,CSF2,CXCL3,CXCL8,INHBA,MMP1,MMP10,MMP9,NCF2,NFKB2,PLAUR,RELB
TNFSF14	cytokine	6.03E-18	7.98E-16	BIRC3,CCL20,CSF2,CXCL3,CXCL5,ICAM1,IL1R2,INHBA,MMP1,MMP9
IMMUNOGLOBULIN (complex)	complex	7.16E-18	9.20E-16	BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,ICAM1,IL1R2,INHBA,LYN,MMP1,MMP9,NCF2,NFKB2,PSMB9,RELB,SOCS1,SQSTM1,TNFSF10,TYMP
ESR1	ligand-dependent nuclear receptor	8.17E-18	9.80E-16	BIRC3,BMP2,C3,CCL20,CD83,CEACAM6,CSF2,CXCL3,CXCL8,HBEGF,ICAM1,IGFBP3,MMP1,MMP9,NCF2,NFKB2,NFKBIE,NRCAM,PLAUR,RELB,S100P,SEMA3C,SQSTM1,TNFAIP3,TNFSF10
IL6	cytokine	8.30E-18	9.80E-16	BMP2,C3,CCL20,CD83,CSF2,CXCL5,CXCL8,ICAM1,IGFBP3,MMP1,MMP10,MMP9,MUC1,NCF2,PSMB9,S100A7,SAA1,SAA2,SOCS1,TNFSF10
IKBKG	kinase	1.05E-17	1.20E-15	BIRC3,BMP2,C3,CCL20,CSF2,CXCL8,ICAM1,NFKB2,RELB,SEMA3C,TNFAIP3,TNFSF10
CSF2	cytokine	1.52E-17	1.70E-15	BIRC3,C3,CD83,CSF2,CXCL8,HBEGF,ICAM1,IL36G,INHBA,MMP1,MMP9,NFKB2,PLAUR,RELB,SOCS1,SQSTM1,TNFAIP3
NFKBIA	transcription regulator	3.57E-17	3.71E-15	BIRC3,BMP2,C3,CCL20,CSF2,CXCL8,ICAM1,MMP1,MMP9,NFKB2,NFKBIE,NOD2,RELB,SEMA3C,TNFAIP3,TNFSF10
MYD88	other	6.15E-16	5.89E-14	C3,CD83,CSF2,CXCL8,ICAM1,INHBA,MMP10,MMP9,NFKB2,NFKBIE,NOD2,RELB,SOCS1,TNFAIP3
MAP3K14	kinase	6.20E-16	5.89E-14	BIRC3,CXCL8,ICAM1,IL1R2,MMP9,NFKB2,NFKBIE,RELB,TNFAIP3,TNFSF10
TREM1	transmembrane receptor	7.95E-16	7.23E-14	CCL20,CD83,CSF2,CXCL3,CXCL5,CXCL8,HBEGF,INHBA,MMP1,MMP10,NFKB2,NOD2
STAT1	transcription regulator	8.81E-16	7.85E-14	C3,CCL20,CSF2,CXCL8,HBEGF,ICAM1,IL1R2,MMP9,MUC1,PSMB9,SAA2,SOCS1,TNFAIP3,TNFSF10,TYMP
KLF6	transcription regulator	9.90E-16	8.48E-14	BMP2,CD83,CXCL8,ICAM1,LYN,MMP9,NFKB2,NFKBIE,NOD2,RELB,SOCS1,SQSTM1,TNFAIP3
HBB	enzyme	1.79E-15	1.47E-13	C3,CCL20,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,MMP9,RELB,TNFAIP3
EHF	transcription regulator	1.79E-15	1.47E-13	CCL20,CSF2,LYN,MMP1,MUC1,PLAUR,RHCG,S100A7,SAA1,SAA2
LDL (complex)	complex	2.65E-15	2.10E-13	BMP2,C3,CCL20,CSF2,CXCL5,CXCL8,ICAM1,IGFBP3,MMP1,MMP9,SOCS1,SQSTM1,TNFAIP3,TNFSF10
EGF	growth factor	3.20E-15	2.41E-13	CCL20,CXCL3,CXCL5,CXCL8,HBEGF,HDAC9,ICAM1,IGFBP3,IL1R2,INHBA,MMP1,MMP10,MMP9,MUC1,PLAUR,S100A7,TNFAIP3
ERBB2	kinase	1.02E-14	7.34E-13	BIRC3,CCL20,CSF2,CXCL8,HBEGF,ICAM1,IGFBP3,MMP1,MMP10,MMP9,MUC1,NCF2,NFKB2,PLAUR,PSMB9,S100P,SLC6A14,TMEM132A,TNFAIP3
MAP3K7	kinase	1.04E-14	7.36E-13	BIRC3,CCL20,CSF2,CXCL8,HBEGF,MMP1,MMP9,NOD2,SAA1,TNFAIP3,TNFSF10
REL	transcription regulator	1.10E-14	7.62E-13	BIRC3,CCL20,CSF2,CXCL3,CXCL8,HBEGF,ICAM1,MMP9,NFKB2,RELB,TNFAIP3,TNFSF10
CAMP	other	1.21E-14	8.22E-13	CCL20,CD83,CSF2,CXCL5,CXCL8,HBEGF,ICAM1,IL1R2,IL36G,TNFAIP3
PRKN	enzyme	1.81E-14	1.19E-12	CCL20,CSF2,CXCL8,ICAM1,IGFBP3,MMP1,MMP10,MMP9,PLAUR,SQSTM1
TGFB1	growth factor	2.02E-14	1.32E-12	BIRC3,BMP2,C3,CCL20,CD83,CSF2,CXCL3,CXCL8,HBEGF,HDAC9,ICAM1,IGFBP3,INHBA,MMP1,MMP10,MMP9,NCF2,NFKB2,PLAUR,SOCS1,SQSTM1,TNFAIP3,TNFSF10,TYMP
TRAF6	enzyme	2.28E-14	1.46E-12	BIRC3,CCL20,CSF2,CXCL5,CXCL8,ICAM1,NCF2,RELB,TNFAIP3
NR3C1	ligand-dependent nuclear receptor	2.36E-14	1.50E-12	BIRC3,BMP2,CCL20,CD83,CSF2,CXCL3,CXCL8,ICAM1,IL36G,INHBA,MMP1,MMP10,MMP9,NFKB2,NOD2,S100P,SEMA3C,TNFAIP3
ECSIT	transcription regulator	3.32E-14	1.97E-12	CD83,CXCL8,NFKB2,NFKBIE,PLAUR,RELB,TNFAIP3
INTERFERON ALPHA (family)	group	6.43E-14	3.60E-12	C3,CD83,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,MMP1,NFKB2,PLAUR,PSMB9,SERPINB1,SOCS1,TNFSF10,TYMP
TNFSF11	cytokine	7.01E-14	3.82E-12	CD83,CXCL8,ICAM1,MMP1,MMP9,NFKB2,NFKBIE,PLAUR,RELB,SAA1,SAA2,SOCS1
IL17R (complex)	complex	9.40E-14	5.01E-12	CCL20,CSF2,CXCL3,CXCL5,CXCL8,MMP1,S100A7
CYTOKINE (family)	group	1.33E-13	6.90E-12	CSF2,CXCL8,ICAM1,MMP1,MMP9,PLAUR,SAA1,SAA2,SOCS1,TYMP
HGF	growth factor	1.45E-13	7.43E-12	BIRC3,BMP2,CSF2,CXCL8,HBEGF,ICAM1,IGFBP3,INHBA,MMP1,MMP10,MMP9,NRCAM,PLAUR,TNFAIP3
OSCAR	other	1.50E-13	7.61E-12	CCL20,CD83,CXCL3,CXCL5,CXCL8,ICAM1,TNFSF10
CD36	transmembrane receptor	2.10E-13	1.04E-11	CCL20,CSF2,CXCL3,CXCL5,CXCL8,ICAM1,MMP1,MMP10,PLAUR
IL4	cytokine	2.79E-13	1.35E-11	C3,CCL20,CD83,CSF2,CXCL8,HBEGF,ICAM1,IL1R2,MMP1,MMP10,MMP9,MUC1,NFKB2,NFKBIE,PSMB9,SOCS1,SQSTM1,TNFAIP3,TYMP
TNFRSF1A	transmembrane receptor	2.79E-13	1.35E-11	BIRC3,CCL20,CD83,CSF2,CXCL8,ICAM1,MMP1,MMP9,SQSTM1,TNFAIP3
NPM1	transcription regulator	3.74E-13	1.77E-11	BMP2,CXCL3,CXCL8,HBEGF,HDAC9,ICAM1,IGFBP3,INHBA,MMP9,TNFAIP3
RBCK1	transcription regulator	6.21E-13	2.91E-11	CXCL3,CXCL5,CXCL8,ICAM1,IL36G,NFKB2,TNFAIP3
HMGB1	transcription regulator	7.47E-13	3.47E-11	CCL20,CD83,CXCL5,CXCL8,ICAM1,MMP1,MMP9,RELB,SQSTM1
TNF (family)	group	9.57E-13	4.35E-11	BIRC3,CXCL3,CXCL8,ICAM1,IL1R2,INHBA,MMP9,NOD2,PSMB9,TNFAIP3,TYMP
IGG (complex)	complex	1.15E-12	5.06E-11	C3,CD83,CSF2,CXCL8,ICAM1,IL1R2,INHBA,MMP9,NFKBIE,PLAUR,RELB,TNFAIP3
MEOX2	transcription regulator	1.25E-12	5.44E-11	CCL20,CXCL3,CXCL8,HBEGF,ICAM1,MMP10,TNFAIP3
PRKCD	kinase	1.30E-12	5.61E-11	BIRC3,CCL20,CSF2,CXCL8,ICAM1,MMP1,MMP9,NFKB2,RELB,SOCS1
