© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset
IFNG	cytokine	4.55E-101	2.08E-97	ACE2,ACSL5,AIM2,APOBEC3G,APOL1,APOL2,APOL6,ATF3,BLNK,BST2,BTN3A1,BTN3A2,BTN3A3,C1R,CAPN3,CASP1,CASP10,CASP4,CASP7,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,EDNRA,ERAP1,ERAP2,ETV7,GBP1,GBP2,GSDMB,GSDMD,HCP5,HERC6,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB5,HLA-E,HLA-F,HLA-G,IDO1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL22RA1,IL32,IRF1,IRF7,ISG15,ISG20,JAK2,KLF4,LAMP3,LY75,LY96,MARCKSL1,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,OGFR,PDCD1LG2,PLAAT4,PML,PSMB10,PSMB8,RAB27A,RARRES1,RIGI,RIPK2,RNF114,RSAD2,RTP4,SAMD9,SAMHD1,SBNO2,SCNN1A,SERPINB9,SERPING1,SHFL,SLC15A3,SP100,SP110,STAT1,STAT2,TAP1,TAP2,TAPBPL,TLR2,TLR3,TMEM158,TNFRSF14,TRAFD1,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,VSNL1,WARS1,XAF1,ZC3HAV1
IRF1	transcription regulator	4.50E-85	6.86E-82	APOL3,APOL6,BST2,CASP1,CASP7,CCL2,CCL5,CD40,CD74,CEACAM1,CFB,CIITA,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,DDX60,ERAP1,GBP2,GSDMD,HERC6,HLA-G,IDO1,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IRF1,IRF7,ISG15,JAK2,MX1,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PLAAT4,PML,PSMB10,PSMB8,RIGI,RSAD2,RTP4,SAMHD1,SP110,STAT1,STAT2,TAP1,TAP2,TLR3,TRIM21,TRIM22,UBD,UBE2L6,USP18,XAF1
INTERFERON ALPHA (family)	group	1.13E-82	1.30E-79	ACP2,AIM2,APOBEC3A,APOBEC3F,APOBEC3G,APOL1,APOL2,APOL3,ATF3,BST2,CASP1,CCL2,CCL5,CCL7,CD40,CEACAM1,CIITA,CTSS,CXCL10,CXCL11,CXCL9,CYP1B1,GBP1,GBP2,HERC6,HLA-A,HLA-C,HLA-F,HLA-G,IDO1,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM1,IL12RB2,IL15,IL15RA,IL32,IRF1,IRF7,ISG15,ISG20,LAMP3,LAP3,MARCKSL1,MX1,MX2,NMI,OAS1,OAS2,OAS3,OASL,PARP12,PDCD1LG2,PLAAT4,PML,PSMB10,PSMB8,RIGI,RSAD2,RTP4,SAMD9,SEC24A,SERPINB9,SHFL,SLC2A3,SP100,SP110,STAT1,STAT2,TAP1,TAP2,TLR2,TLR3,TRAFD1,TRIM21,TRIM22,UBA7,UBE2L6,USP18,WARS1,ZC3HAV1
IFNA2	cytokine	2.86E-78	2.62E-75	APOL6,BST2,C1R,C1S,CCL2,CCL5,CCL8,CEACAM1,CIITA,CXCL10,CXCL11,CXCL9,DDX60,GBP1,GBP2,HERC6,HLA-A,HLA-C,HLA-DRB1,HLA-E,IDO1,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IRF1,IRF7,ISG15,ISG20,LAMP3,MX1,MX2,OAS1,OAS2,OAS3,OASL,OGFR,PARP12,PLAAT4,PML,RIGI,RSAD2,SAMD9,SAMHD1,SHFL,SLC15A3,SLFN12,SP100,SP110,STAT1,TAP1,TLR3,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1,ZC3HAV1
CHROMR	other	1.61E-76	1.23E-73	APOL1,APOL6,BST2,BTN3A3,CASP7,CCL2,CCL8,CXCL10,CXCL11,CYP1B1,DDX60,ETV7,GBP1,GBP2,HERC6,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IRF1,ISG15,JAK2,LAP3,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP12,PML,RAB27A,RIGI,RSAD2,RTP4,SAMHD1,SECTM1,SLC25A28,SP110,SPSB1,STAT1,STAT2,TENT5A,TLR3,UBA7,USP18,WARS1,XAF1,ZC3HAV1
IL27	cytokine	4.11E-74	2.68E-71	APOBEC3F,APOBEC3G,APOL1,BST2,CCL2,CCL5,CCL7,CCL8,CD74,CIITA,CX3CL1,CXCL10,CXCL11,CXCL9,GBP1,GBP2,HLA-A,HLA-C,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-E,IDO1,IFI27,IFI35,IFIT2,IFIT3,IFIT5,IFITM1,IL12RB2,IL15,IL15RA,IL32,IRF1,ISG15,ISG20,JAK2,MX1,MX2,OAS1,OAS2,OAS3,OASL,PLAAT4,PML,PSMB10,PSMB8,RSAD2,SAMHD1,SP100,STAT1,STAT2,TAP1,TLR3,TRIM21,TRIM22,UBD,UBE2L6,XAF1
IFNL1	cytokine	7.37E-73	4.21E-70	APOL6,ATF3,BST2,CD40,CXCL10,CXCL11,CXCL9,DDX60,GBP1,HERC6,HLA-C,IFI27,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,ISG15,ISG20,LAMP3,MX1,OAS1,OAS2,OAS3,OASL,PLAAT4,PML,RIGI,RSAD2,RTP4,SAMD9,SHFL,SLC15A3,SP100,SP110,STAT1,STAT2,TLR2,TRIM22,UBE2L6,USP18,XAF1,ZC3HAV1
TREX1	enzyme	2.00E-65	9.14E-63	APOL6,BST2,CASP1,CCL5,CD40,CFB,CFH,CXCL10,CXCL9,DDX60,GSDMD,HERC6,HLA-DRB1,IFI27,IFI44L,IFIH1,IFIT2,IFIT3,IFITM1,IL15,IRF1,IRF7,ISG15,ISG20,LGMN,MX1,MX2,OAS1,OAS2,OAS3,OASL,PML,PSMB8,RIGI,RNF114,RSAD2,RTP4,SAMD9,SAMHD1,SP100,SP110,STAT1,STAT2,TAP1,TENT5A,TRAFD1,TRIM21,UBA7,UBE2L6,USP18,XAF1,ZC3HAV1
TNF	cytokine	1.41E-64	5.85E-62	ACE2,ACP5,ACSL5,APOL1,APOL2,APOL6,ATF3,BBOX1,BPGM,BST2,BTN3A3,C1R,C1S,CASP1,CASP10,CASP4,CASP7,CBR3,CCL2,CCL5,CCL7,CCL8,CD40,CD74,CEACAM1,CFB,CFH,CIITA,CLU,CREM,CTSS,CX3CL1,CXCL10,CXCL11,CXCL9,CYP1B1,DDX60,ETV7,GBP1,GBP2,GSDMB,GSDMD,HLA-A,HLA-C,HLA-DMB,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-E,HLA-F,HLA-G,HLA-J,HSD11B1,IDO1,IFI27,IFI30,IFI35,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IL15,IL15RA,IL32,IRF1,IRF7,ISG15,ISG20,KLF4,LAMP3,LY96,MARCKSL1,MX1,MX2,NNMT,OAS1,OAS2,OAS3,OASL,PCYT1A,PDCD1LG2,PDGFRA,PLA2G3,PLAAT4,PLOD2,PML,PSMB10,PSMB8,RARRES1,RIGI,RIPK2,RSAD2,RTP4,SAMD9,SCNN1A,SERPINB9,SERPING1,SHFL,SLC15A3,SPSB1,STAT1,STAT2,STEAP4,TAP1,TAP2,TAPBPL,TLR2,TLR3,TNFRSF14,TRAFD1,TRIM21,UBA7,UBD,VSNL1,WARS1,XAF1
IFNAR1	transmembrane receptor	6.23E-64	2.37E-61	ATF3,BST2,CCL2,CCL5,CD40,CIITA,CXCL10,CXCL11,CXCL9,DDX60,FAP,GBP2,HERC6,HLA-A,IDO1,IFI35,IFI44,IFI44L,IFIH1,IFIT2,IFIT3,IFITM1,IL15,IRF1,IRF7,ISG15,LAMP3,LAP3,MX1,MX2,OAS1,OAS2,OAS3,OGFR,PARP12,RSAD2,RTP4,SAMD9,SLC25A28,SP100,SP110,STAT1,STAT2,TAPBPL,TLR2,TLR3,TRIM21,TRIM22,UBA7,UBD,UBE2L6,USP18,XAF1
