© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset
ZBED5-AS1	other	1.49E-07	7.02E-05	SLC11A2,TFRC
IL13	cytokine	1.05E-06	2.49E-04	CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC
FBXL5	enzyme	4.16E-06	6.54E-04	SLC11A2,TFRC
IL4	cytokine	5.56E-06	6.56E-04	CEP43,CXCL6,DEFB4A,SERPINB3,SERPINB4,TFRC
IRP (family)	group	8.17E-06	7.71E-04	SLC11A2,TFRC
METTL4	other	1.35E-05	7.97E-04	SLC11A2,TFRC
OSM	cytokine	7.07E-05	2.66E-03	CXCL6,DEFB4A,SERPINB4,SPRR2C
IL17R (complex)	complex	7.33E-05	2.66E-03	CXCL6,DEFB4A
NFKB (complex)	complex	1.04E-04	3.52E-03	CXCL6,DEFB4A,SLC11A2,TFRC
IL1B	cytokine	1.14E-04	3.59E-03	CXCL6,DEFB4A,SERPINB3,SLC11A2,TFRC
IGF2BP2	translation regulator	1.59E-04	4.39E-03	SLC11A2,TFRC
NF2	other	1.80E-04	4.48E-03	SLC11A2,TFRC
IL1A	cytokine	2.69E-04	6.36E-03	CXCL6,DEFB4A,SERPINB4
SERPINB4	other	4.05E-04	7.07E-03	SERPINB3
ACBD3	other	4.05E-04	7.07E-03	SLC11A2
LNCRNA-IUR	other	4.05E-04	7.07E-03	TFRC
TFEB	transcription regulator	5.66E-04	8.90E-03	CEP43,CXCL6,SLC11A2
TLR4	transmembrane receptor	6.34E-04	9.60E-03	CXCL6,DEFB4A,TFRC
STAT1	transcription regulator	7.04E-04	9.72E-03	DEFB4A,SERPINB3,SERPINB4
SOAT1	enzyme	7.06E-04	9.72E-03	SLC11A2,TFRC
SLC9A9	transporter	8.09E-04	9.79E-03	TFRC
NUBP1	other	8.09E-04	9.79E-03	TFRC
CD36	transmembrane receptor	8.40E-04	9.91E-03	CXCL6,DEFB4A
IL10	cytokine	8.92E-04	1.03E-02	CXCL6,DEFB4A,TFRC
IL22	cytokine	9.51E-04	1.04E-02	CXCL6,DEFB4A
STAT6	transcription regulator	1.08E-03	1.16E-02	CEP43,SERPINB3,SERPINB4
NUF2	other	1.21E-03	1.19E-02	TFRC
ZSCAN20	transcription regulator	1.21E-03	1.19E-02	CXCL6
FTMT	enzyme	1.21E-03	1.19E-02	TFRC
ACUTE PHASE (family)	group	1.21E-03	1.19E-02	TFRC
SLC40A1	transporter	1.55E-03	1.27E-02	SLC11A2,TFRC
TMEM97	other	1.62E-03	1.27E-02	ALOX12B
FDX2	transporter	1.62E-03	1.27E-02	TFRC
GLRX3	enzyme	1.62E-03	1.27E-02	TFRC
PGD	enzyme	1.62E-03	1.27E-02	TFRC
TNF	cytokine	1.69E-03	1.30E-02	CXCL6,DEFB4A,SERPINB4,SLC11A2,TFRC
CX3CL1	cytokine	1.76E-03	1.34E-02	SLC11A2,TFRC
IL12 (family)	group	1.85E-03	1.39E-02	DEFB4A,TFRC
FDXR	enzyme	2.02E-03	1.40E-02	TFRC
FTL	other	2.42E-03	1.59E-02	TFRC
SPRR5	other	2.42E-03	1.59E-02	SPRR3
IMMUNOGLOBULIN (complex)	complex	2.64E-03	1.71E-02	CXCL6,DEFB4A,SLC11A2,TFRC
SLC11A1	transporter	2.83E-03	1.76E-02	SLC11A2
MEFV	other	2.83E-03	1.76E-02	DEFB4A
ABCB7	transporter	2.83E-03	1.76E-02	TFRC
VHL	transcription regulator	2.89E-03	1.77E-02	SLC11A2,TFRC
YAP1	transcription regulator	2.94E-03	1.78E-02	CXCL6,SLC11A2,TFRC
MAP3K21	kinase	3.23E-03	1.88E-02	CXCL6
MARCHF2	enzyme	3.64E-03	1.97E-02	TFRC
GLA	enzyme	3.64E-03	1.97E-02	TFRC
MIR320 (family)	group	4.04E-03	2.12E-02	TFRC
IFNG	cytokine	4.14E-03	2.15E-02	CXCL6,DEFB4A,SLC11A2,TFRC
SOD2	enzyme	4.21E-03	2.16E-02	ALOX12B,TFRC
PIK3CA	kinase	4.25E-03	2.16E-02	CXCL6,DEFB4A
ZC3H12A	enzyme	4.52E-03	2.22E-02	SERPINB3,SERPINB4
STAT3	transcription regulator	4.57E-03	2.22E-02	CXCL6,SERPINB3,SERPINB4
miR-142-5p (and other miRNAs w/seed AUAAAGU)	mature microRNA	4.84E-03	2.25E-02	TFRC
SLC27A5	transporter	4.84E-03	2.25E-02	TFRC
NDFIP1	other	4.84E-03	2.25E-02	SLC11A2
