© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset
IRGM	enzyme	1.96E-16	9.84E-14	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
ETV3	transcription regulator	7.45E-15	1.25E-12	BST2,HERC5,IFI44L,IFIT1,IFIT3,MX2
IRF7	transcription regulator	2.69E-14	3.38E-12	CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2,PLAC8
IFNL1	cytokine	9.24E-14	9.30E-12	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3
CGAS	enzyme	2.25E-13	1.89E-11	BST2,HERC5,IFI44L,IFIT1,IFIT3,MX2
TNF (family)	group	3.11E-13	2.24E-11	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
IFNA2	cytokine	4.03E-13	2.53E-11	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
RNASEH2B	other	5.41E-13	3.02E-11	BST2,CMPK2,IFI44L,IFIT1,IFIT3,MX2
PRL	cytokine	1.55E-12	7.80E-11	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
NONO	transcription regulator	1.79E-12	8.19E-11	CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
CSF1	cytokine	2.61E-12	1.09E-10	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
TREX1	enzyme	8.06E-12	3.12E-10	BST2,CMPK2,IFI44L,IFIT1,IFIT3,MX2
BANF1	other	1.51E-11	4.48E-10	BST2,HERC5,IFIT1,IFIT3,MX2
ETV6	transcription regulator	1.51E-11	4.48E-10	CMPK2,IFI44L,IFIT1,IFIT3,MX2
IFNAR1	transmembrane receptor	1.72E-11	4.81E-10	BST2,CMPK2,IFI44L,IFIT1,IFIT3,MX2
IRF3	transcription regulator	1.98E-11	5.25E-10	BST2,CMPK2,IFI44L,IFIT1,IFIT3,PLAC8
ZNF750	transcription regulator	2.58E-11	6.49E-10	BST2,IFI44L,IFIT1,IFIT3,MX2
STING1	ion channel	2.82E-11	6.75E-10	BST2,CMPK2,IFI44L,IFIT1,IFIT3,MX2
IFN TYPE 1 (family)	group	4.95E-11	1.13E-09	BST2,HERC5,IFI44L,IFIT1,IFIT3
UBAP1	other	8.24E-11	1.73E-09	BST2,IFIT1,IFIT3,MX2
TLR3	transmembrane receptor	9.45E-11	1.84E-09	CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
RNY3	other	9.67E-11	1.84E-09	HERC5,IFI44L,IFIT1,IFIT3
INTERFERON ALPHA (family)	group	9.90E-11	1.84E-09	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
IFN BETA (family)	group	1.27E-10	2.27E-09	BST2,CMPK2,HERC5,IFIT1,IFIT3,MX2
IFNB1	cytokine	3.42E-10	5.93E-09	BST2,CMPK2,HERC5,IFIT1,IFIT3,MX2
RIPK2	kinase	4.32E-10	7.25E-09	CMPK2,IFI44L,IFIT1,IFIT3,MX2
TNIK	kinase	5.57E-10	9.04E-09	IFI44L,IFIT1,IFIT3,MX2
TCR (complex)	complex	6.28E-10	9.87E-09	HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC
CHROMR	other	6.53E-10	9.96E-09	BST2,IFI44L,IFIT1,IFIT3,MX2
IMMUNOGLOBULIN (complex)	complex	1.04E-09	1.54E-08	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2,PLAC8
IFIH1	enzyme	1.61E-09	2.31E-08	BST2,IFI44L,IFIT1,IFIT3
F3	transmembrane receptor	2.10E-09	2.86E-08	BST2,CMPK2,IFI44L,IFIT1,IFIT3
IRF1	transcription regulator	6.29E-09	7.92E-08	BST2,CMPK2,IFI44L,IFIT1,IFIT3
RC3H1	enzyme	6.30E-09	7.92E-08	BST2,IFI44L,IFIT1,IFIT3
IL4	cytokine	2.44E-08	2.99E-07	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2
PBRM1	other	2.60E-08	3.12E-07	BST2,CMPK2,IFI44L,IFIT3
TNF	cytokine	3.44E-08	4.03E-07	BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC
BTK	kinase	4.47E-08	5.11E-07	IFI44L,IFIT1,IFIT3,MX2
YTHDC2	enzyme	7.30E-08	8.16E-07	CMPK2,IFIT3,MX2
MAPK1	kinase	7.57E-08	8.28E-07	BST2,HERC5,IFIT1,IFIT3,MX2
STAT3	transcription regulator	8.67E-08	9.28E-07	BST2,CMPK2,HERC5,IFIT1,IFIT3,MX2
CNOT7	transcription regulator	1.36E-07	1.40E-06	BST2,CMPK2,IFI44L
STAT1	transcription regulator	1.56E-07	1.57E-06	BST2,CMPK2,IFI44L,IFIT1,IFIT3
IFNG	cytokine	1.62E-07	1.59E-06	BST2,CMPK2,IFI44L,IFIT1,IFIT3,MX2,RGCC
PML	transcription regulator	1.81E-07	1.75E-06	BST2,IFI44L,IFIT1,IFIT3
PRKCA	kinase	1.86E-07	1.76E-06	BST2,IFIT1,IFIT3,MX2
STAG2	other	2.86E-07	2.61E-06	CMPK2,IFI44L,IFIT3
IFNE	cytokine	3.07E-07	2.76E-06	BST2,HERC5,MX2
mir-96	microRNA	3.78E-07	3.33E-06	CMPK2,IFI44L,IFIT1
