© 2000-2026 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset
STING1	ion channel	7.00E-11	1.66E-07	CD83,CSF2,IGFBP3,INHBA,NFKB2,SQSTM1
CHUK	kinase	2.71E-10	3.21E-07	CD83,CSF2,MMP9,NFKB2,SEMA3C,SQSTM1
NFKB1	transcription regulator	6.98E-10	5.51E-07	CD83,CSF2,IGFBP3,MMP9,NFKB2,SQSTM1
TNFSF13B	cytokine	1.22E-09	7.20E-07	CD83,CSF2,INHBA,MMP9,NFKB2
CSF2	cytokine	1.20E-08	5.32E-06	CD83,CSF2,INHBA,MMP9,NFKB2,SQSTM1
ESR1	ligand-dependent nuclear receptor	1.35E-08	5.32E-06	CD83,CSF2,IGFBP3,MMP9,NFKB2,NRCAM,SEMA3C,SQSTM1
MAP3K8	kinase	3.44E-08	1.15E-05	CD83,CSF2,IGFBP3,INHBA,MMP9
MYD88	other	8.20E-08	1.99E-05	CD83,CSF2,INHBA,MMP9,NFKB2
IL1B	cytokine	8.39E-08	1.99E-05	CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SQSTM1
PRKN	enzyme	9.93E-08	2.14E-05	CSF2,IGFBP3,MMP9,SQSTM1
TNF	cytokine	1.59E-07	2.84E-05	CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SEMA3C,SQSTM1
TLR4	transmembrane receptor	2.58E-07	4.04E-05	CSF2,INHBA,MMP9,NFKB2,SQSTM1
JUNB	transcription regulator	2.73E-07	4.04E-05	CSF2,INHBA,MMP9,NFKB2
TNFRSF1A	transmembrane receptor	2.94E-07	4.09E-05	CD83,CSF2,MMP9,SQSTM1
NR3C1	ligand-dependent nuclear receptor	4.64E-07	6.09E-05	CD83,CSF2,INHBA,MMP9,NFKB2,SEMA3C
IFNG	cytokine	5.08E-07	6.09E-05	CD83,CSF2,INHBA,MMP9,NFKB2,SEMA3C,SQSTM1
IL17A	cytokine	5.46E-07	6.09E-05	CD83,CSF2,IGFBP3,MMP9,SQSTM1
TREM1	transmembrane receptor	5.88E-07	6.09E-05	CD83,CSF2,INHBA,NFKB2
HGF	growth factor	5.89E-07	6.09E-05	CSF2,IGFBP3,INHBA,MMP9,NRCAM
JUN	transcription regulator	7.23E-07	6.64E-05	CSF2,IGFBP3,MMP9,NFKB2,NRCAM
VEGF (family)	group	7.30E-07	6.64E-05	CSF2,IGFBP3,INHBA,MMP9,NRCAM
NFKB1-RELA (complex)	complex	7.84E-07	6.87E-05	CSF2,MMP9,NFKB2
FN1	other	8.43E-07	7.12E-05	CD83,CSF2,MMP9,SQSTM1
TIMP1	cytokine	9.30E-07	7.34E-05	CSF2,IGFBP3,MMP9
TNFSF14	cytokine	1.21E-06	8.44E-05	CSF2,INHBA,MMP9
IL1R (family)	group	1.41E-06	8.75E-05	CSF2,IGFBP3,MMP9
FCER1 (complex)	complex	1.41E-06	8.75E-05	CD83,CSF2,INHBA
BMPR2	kinase	1.69E-06	1.03E-04	CSF2,INHBA,SEMA3C
COLLAGEN TYPE I (complex)	complex	2.02E-06	1.17E-04	CD83,CSF2,MMP9
KLF6	transcription regulator	2.11E-06	1.19E-04	CD83,MMP9,NFKB2,SQSTM1
TSLP	cytokine	2.38E-06	1.30E-04	CD83,CSF2,SQSTM1
TGFB1	growth factor	2.42E-06	1.30E-04	CD83,CSF2,IGFBP3,INHBA,MMP9,NFKB2,SQSTM1
AKT2	kinase	2.68E-06	1.35E-04	CSF2,MMP9,NFKB2
TRAF2	enzyme	3.48E-06	1.65E-04	CSF2,MMP9,SQSTM1
IKBKB	kinase	3.78E-06	1.71E-04	CSF2,MMP9,NFKB2,SEMA3C
TNFSF15	cytokine	4.00E-06	1.75E-04	CD83,CSF2,MMP9
IL1A	cytokine	4.17E-06	1.80E-04	CD83,CSF2,INHBA,MMP9
STK11	kinase	5.15E-06	2.16E-04	MMP9,NFKB2,NRCAM,SQSTM1
HDAC10	transcription regulator	5.47E-06	2.19E-04	MMP9,SQSTM1
PF4	cytokine	5.68E-06	2.24E-04	CD83,INHBA,NFKB2
IMMUNOGLOBULIN (complex)	complex	6.32E-06	2.45E-04	CD83,CSF2,INHBA,MMP9,NFKB2,SQSTM1
IGG (complex)	complex	6.64E-06	2.53E-04	CD83,CSF2,INHBA,MMP9
TP53	transcription regulator	6.84E-06	2.57E-04	CSF2,IGFBP3,INHBA,MMP9,NFKB2,SEMA3C,SQSTM1
DRD2	G-protein coupled receptor	7.78E-06	2.83E-04	CSF2,IGFBP3,NFKB2
LDL (complex)	complex	8.09E-06	2.90E-04	CSF2,IGFBP3,MMP9,SQSTM1
BCL2	transporter	8.43E-06	2.96E-04	CSF2,MMP9,SQSTM1
P38 MAPK (family)	group	8.51E-06	2.96E-04	CD83,CSF2,INHBA,MMP9
HMGB1	transcription regulator	1.08E-05	3.55E-04	CD83,MMP9,SQSTM1
mir-34 (includes others)	microRNA	1.22E-05	3.85E-04	MMP9,SEMA3C,SQSTM1
NFKB (family)	group	1.37E-05	4.15E-04	CSF2,MMP9,SQSTM1
IL33	cytokine	1.40E-05	4.19E-04	CD83,CSF2,MMP9,NFKB2
ST14	peptidase	1.46E-05	4.31E-04	CSF2,TMEFF1
TNFSF12	cytokine	1.49E-05	4.32E-04	CSF2,MMP9,NFKB2
IKBKG	kinase	1.59E-05	4.53E-04	CSF2,NFKB2,SEMA3C
NFKBIA	transcription regulator	1.61E-05	4.53E-04	CSF2,MMP9,NFKB2,SEMA3C
PARP1	enzyme	1.77E-05	4.81E-04	CD83,CSF2,MMP9
Il36a	cytokine	1.86E-05	4.88E-04	CSF2,MMP9
S100A7	other	1.86E-05	4.88E-04	CSF2,MMP9
RIGI	enzyme	1.92E-05	4.88E-04	CD83,CSF2,NFKB2
GDF2	growth factor	2.00E-05	4.97E-04	MMP9,NRCAM,SEMA3C
PAEP	other	2.07E-05	5.06E-04	CD83,CSF2
BCL10	transcription regulator	2.07E-05	5.06E-04	CSF2,NFKB2
IL10	cytokine	2.10E-05	5.08E-04	CD83,CSF2,INHBA,MMP9
TGF BETA (family)	group	2.28E-05	5.35E-04	CSF2,IGFBP3,MMP9,SQSTM1
CTNNB1	transcription regulator	2.30E-05	5.35E-04	MMP9,NFKB2,NRCAM,SEMA3C,SQSTM1
